# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.50
metadata : {}


# id : NWRW1800000041.50.1.1
친러 무장세력, 우크라 크림반도 정부청사-의사당 점거

친러	친/XPN+러/NNP
무장세력,	무장/NNG+세력/NNG+,/SP
우크라	우크라/NNP
크림반도	크림반도/NNP
정부청사-의사당	정부/NNG+청사/NNG+-/SO+의사당/NNG
점거	점거/NNG


# id : NWRW1800000041.50.2.1
우크라, 군경에 비상사태 발령 러시아 국방장관 “전투준비 완료”… 크림반도서 내전 일어날 조짐 크림의회 “자치共 미래 주민투표”… 야누코비치, 러에 신변보호 요청

우크라,	우크라/NNP+,/SP
군경에	군경/NNG+에/JKB
비상사태	비상사태/NNG
발령	발령/NNG
러시아	러시아/NNP
국방장관	국방/NNG+장관/NNG
“전투준비	“/SS+전투/NNG+준비/NNG
완료”…	완료/NNG+”/SS+…/SE
크림반도서	크림반도/NNP+서/JKB
내전	내전/NNG
일어날	일어나/VV+ㄹ/ETM
조짐	조짐/NNG
크림의회	크림의회/NNP
“자치共	“/SS+자치/NNG+共/SH
미래	미래/NNG
주민투표”…	주민/NNG+투표/NNG+”/SS+…/SE
야누코비치,	야누코비치/NNP+,/SP
러에	러/NNP+에/JKB
신변보호	신변/NNG+보호/NNG
요청	요청/NNG


# id : NWRW1800000041.50.3.1
우크라이나 크림자치공화국(크림반도)의 수도 심페로폴에서 27일 소총과 기관총으로 무장한 괴한들이 정부청사와 의사당을 점거하고 러시아 국기를 게양했다.

우크라이나	우크라이나/NNP
크림자치공화국(크림반도)의	크림자치공화국/NNP+(/SS+크림반도/NNP+)/SS+의/JKG
수도	수도/NNG
심페로폴에서	심페로폴/NNP+에서/JKB
27일	27/SN+일/NNB
소총과	소총/NNG+과/JC
기관총으로	기관총/NNG+으로/JKB
무장한	무장/NNG+하/XSV+ㄴ/ETM
괴한들이	괴한/NNG+들/XSN+이/JKS
정부청사와	정부/NNG+청사/NNG+와/JC
의사당을	의사당/NNG+을/JKO
점거하고	점거/NNG+하/XSV+고/EC
러시아	러시아/NNP
국기를	국기/NNG+를/JKO
게양했다.	게양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.3.2
이에 맞서 우크라이나는 군경에 비상경계령을 발령하는 등 크림반도를 둘러싼 긴장이 고조되고 있다.

이에	이/NP+에/JKB
맞서	맞서/VV+어/EC
우크라이나는	우크라이나/NNP+는/JX
군경에	군경/NNG+에/JKB
비상경계령을	비상경계령/NNG+을/JKO
발령하는	발령/NNG+하/XSV+는/ETM
등	등/NNB
크림반도를	크림반도/NNP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
긴장이	긴장/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.50.4.1
자치공화국의 아나톨리 모히요프 총리는 이날 60여 명의 무장괴한이 이날 새벽 심페로폴의 청사와 의회 건물에 유리창을 깨고 진입해 바리케이드를 친 뒤 출입을 막았다고 밝혔다.

자치공화국의	자치/NNG+공화국/NNG+의/JKG
아나톨리	아나톨리/NNP
모히요프	모히요프/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
60여	60/SN+여/XSN
명의	명/NNB+의/JKG
무장괴한이	무장/NNG+괴한/NNG+이/JKS
새벽	새벽/NNG
심페로폴의	심페로폴/NNP+의/JKG
청사와	청사/NNG+와/JC
의회	의회/NNG
건물에	건물/NNG+에/JKB
유리창을	유리창/NNG+을/JKO
깨고	깨/VV+고/EC
진입해	진입/NNG+하/XSV+아/EC
바리케이드를	바리케이드/NNG+를/JKO
친	치/VV+ㄴ/ETM
뒤	뒤/NNG
출입을	출입/NNG+을/JKO
막았다고	막/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.50.4.2
검은 옷에 오렌지색 리본을 단 괴한들은 의회 건물 밖에 러시아 국기를 올렸으며 ‘크림은 러시아’라는 현수막도 내걸었다.

검은	검/VA+은/ETM
옷에	옷/NNG+에/JKB
오렌지색	오렌지색/NNG
리본을	리본/NNG+을/JKO
단	달/VV+ㄴ/ETM
괴한들은	괴한/NNG+들/XSN+은/JX
의회	의회/NNG
건물	건물/NNG
밖에	밖/NNG+에/JKB
러시아	러시아/NNP
국기를	국기/NNG+를/JKO
올렸으며	올리/VV+었/EP+으며/EC
‘크림은	‘/SS+크림/NNP+은/JX
러시아’라는	러시아/NNP+’/SS+이/VCP+라는/ETM
현수막도	현수막/NNG+도/JX
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.50.5.1
이들은 크림반도를 러시아로 합병할지, 우크라이나에 남길지를 결정하는 주민투표를 실시하라고 요구하고 있다.

이들은	이/NP+들/XSN+은/JX
크림반도를	크림반도/NNP+를/JKO
러시아로	러시아/NNP+로/JKB
합병할지,	합병/NNG+하/XSV+ㄹ지/EC+,/SP
우크라이나에	우크라이나/NNP+에/JKB
남길지를	남기/VV+ㄹ지/EC+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
주민투표를	주민/NNG+투표/NNG+를/JKO
실시하라고	실시/NNG+하/XSV+라고/EC
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.50.5.2
이 지역 인종 구성은 러시아계가 58.5%로 절반을 넘어 야권의 빅토르 야누코비치 전 대통령 축출을 쿠데타로 보고 있다.

이	이/MMD
지역	지역/NNG
인종	인종/NNG
구성은	구성/NNG+은/JX
러시아계가	러시아/NNP+계/XSN+가/JKS
58.5%로	58/SN+./SP+5/SN+%/SW+로/JKB
절반을	절반/NNG+을/JKO
넘어	넘/VV+어/EC
야권의	야권/NNG+의/JKG
빅토르	빅토르/NNP
야누코비치	야누코비치/NNP
전	전/MMD
대통령	대통령/NNG
축출을	축출/NNG+을/JKO
쿠데타로	쿠데타/NNG+로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.50.5.3
반면에 야권을 지지하는 우크라이나계(24.4%)와 이슬람계인 크림 타타르계(12.1%)도 적지 않다.

반면에	반면/NNG+에/JKB
야권을	야권/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
우크라이나계(24.4%)와	우크라이나/NNP+계/XSN+(/SS+24/SN+./SP+4/SN+%/SW+)/SS+와/JC
이슬람계인	이슬람/NNG+계/XSN+이/VCP+ㄴ/ETM
크림	크림/NNP
타타르계(12.1%)도	타타르/NNP+계/XSN+(/SS+12/SN+./SP+1/SN+%/SW+)/SS+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.50.5.4
이런 가운데 크림자치공화국 의회는 27일 공화국 지위에 관한 주민투표를 실시하기로 결정했다.

이런	이런/MMD
가운데	가운데/NNG
크림자치공화국	크림자치공화국/NNP
의회는	의회/NNG+는/JX
27일	27/SN+일/NNB
공화국	공화국/NNG
지위에	지위/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
주민투표를	주민/NNG+투표/NNG+를/JKO
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.50.6.1
야누코비치 전 대통령이 축출된 뒤 크림반도에서는 분리주의가 발호할 수 있다는 우려가 제기됐다.

야누코비치	야누코비치/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
축출된	축출/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
크림반도에서는	크림반도/NNP+에서/JKB+는/JX
분리주의가	분리주의/NNG+가/JKS
발호할	발호/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.50.6.2
러시아가 2008년 조지아를 침공한 전례에 따라 이 지역에 군을 투입할 가능성을 배제할 수 없다는 것이다.

러시아가	러시아/NNP+가/JKS
2008년	2008/SN+년/NNB
조지아를	조지아/NNP+를/JKO
침공한	침공/NNG+하/XSV+ㄴ/ETM
전례에	전례/NNG+에/JKB
따라	따르/VV+아/EC
이	이/MMD
지역에	지역/NNG+에/JKB
군을	군/NNG+을/JKO
투입할	투입/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.50.6.3
러시아가 크림반도에 거주하는 러시아계 주민 보호를 명분으로 군대를 동원하면 양측의 충돌은 불가피해진다.

러시아가	러시아/NNP+가/JKS
크림반도에	크림반도/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
러시아계	러시아/NNP+계/XSN
주민	주민/NNG
보호를	보호/NNG+를/JKO
명분으로	명분/NNG+으로/JKB
군대를	군대/NNG+를/JKO
동원하면	동원/NNG+하/XSV+면/EC
양측의	양측/NNG+의/JKG
충돌은	충돌/NNG+은/JX
불가피해진다.	불가피하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.50.7.1
러시아군은 블라디미르 푸틴 대통령의 지시로 26일부터 다음 달 3일까지 크림반도에서 가까운 러시아 서부지역에서 서부군, 공수부대, 항공수송부대 등 15만 병력과 전투기 90대, 헬기 120대, 탱크 870대, 군함 80여 척이 동원되는 비상 전투태세 훈련에 돌입했다.

러시아군은	러시아군/NNG+은/JX
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
대통령의	대통령/NNG+의/JKG
