# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.16
metadata : {}


# id : NWRW1800000052.16.1.1
“한국경제, 소비재 중심 산업으로 개편을”

“한국경제,	“/SS+한국/NNP+경제/NNG+,/SP
소비재	소비재/NNG
중심	중심/NNG
산업으로	산업/NNG+으로/JKB
개편을”	개편/NNG+을/JKO+”/SS


# id : NWRW1800000052.16.2.1
정규철 KDI 연구위원 보고서

정규철	정규철/NNP
KDI	KDI/SL
연구위원	연구/NNG+위원/NNG
보고서	보고서/NNG


# id : NWRW1800000052.16.3.1
“금융위기 뒤 소비보다 투자 더 위축

“금융위기	“/SS+금융/NNG+위기/NNG
뒤	뒤/NNG
소비보다	소비/NNG+보다/JKB
투자	투자/NNG
더	더/MAG
위축	위축/NNG


# id : NWRW1800000052.16.4.1
중간재 비중 높은 한국 타격 더 커”

중간재	중간재/NNG
비중	비중/NNG
높은	높/VA+은/ETM
한국	한국/NNP
타격	타격/NNG
더	더/MAG
커”	크/VA+어/EF+”/SS


# id : NWRW1800000052.16.5.1
자본재·중간재 중심의 한국 산업 구조를 소비재 중심으로 바꿔야 한다는 진단이 잇따르고 있다.

자본재·중간재	자본재/NNG+·/SP+중간재/NNG
중심의	중심/NNG+의/JKG
한국	한국/NNP
산업	산업/NNG
구조를	구조/NNG+를/JKO
소비재	소비재/NNG
중심으로	중심/NNG+으로/JKB
바꿔야	바꾸/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
진단이	진단/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.16.6.1
정규철 한국개발연구원(KDI) 연구위원은 10일 <글로벌 투자 부진이 우리 경제에 미치는 영향>이란 보고서에서 “2008년 금융위기 이후 세계 경제는 소비보다 투자 위축이 더 도드라졌다”며 “세계 경제의 투자 부진이 장기간 지속될 가능성이 크다는 점을 염두에 두고 소비재 중심의 산업 구조 개편이 시급하다”고 밝혔다.

정규철	정규철/NNP
한국개발연구원(KDI)	한국개발연구원/NNP+(/SS+KDI/SL+)/SS
연구위원은	연구/NNG+위원/NNG+은/JX
10일	10/SN+일/NNB
<글로벌	</SS+글로벌/NNG
투자	투자/NNG
부진이	부진/NNG+이/JKS
우리	우리/NP
경제에	경제/NNG+에/JKB
미치는	미치/VV+는/ETM
영향>이란	영향/NNG+>/SS+이/VCP+란/ETM
보고서에서	보고서/NNG+에서/JKB
“2008년	“/SS+2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
세계	세계/NNG
경제는	경제/NNG+는/JX
소비보다	소비/NNG+보다/JKB
위축이	위축/NNG+이/JKS
더	더/MAG
도드라졌다”며	도드라지/VV+었/EP+다/EF+”/SS+며/EC
“세계	“/SS+세계/NNG
경제의	경제/NNG+의/JKG
장기간	장기간/NNG
지속될	지속/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
점을	점/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
소비재	소비재/NNG
중심의	중심/NNG+의/JKG
산업	산업/NNG
구조	구조/NNG
개편이	개편/NNG+이/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.16.7.1
보고서를 보면, 2014년 현재 정부소비와 민간소비가 세계 총생산에서 차지하는 비중은 2007년 대비 각각 0.82%포인트, 0.91%포인트 커졌다.

보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2014년	2014/SN+년/NNB
현재	현재/MAG
정부소비와	정부/NNG+소비/NNG+와/JC
민간소비가	민간/NNG+소비/NNG+가/JKS
세계	세계/NNG
총생산에서	총생산/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
2007년	2007/SN+년/NNB
대비	대비/NNG
각각	각각/MAG
0.82%포인트,	0/SN+./SP+82/SN+%포인트/NNG+,/SP
0.91%포인트	0/SN+./SP+91/SN+%포인트/NNG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.16.7.2
반면 같은 기간 기업의 설비투자 등을 포함하는 고정자산투자는 1.74%포인트 감소했다.

반면	반면/NNG
같은	같/VA+은/ETM
기간	기간/NNG
기업의	기업/NNG+의/JKG
설비투자	설비/NNG+투자/NNG
등을	등/NNB+을/JKO
포함하는	포함/NNG+하/XSV+는/ETM
고정자산투자는	고정/NNG+자산/NNG+투자/NNG+는/JX
1.74%포인트	1/SN+./SP+74/SN+%포인트/NNG
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.16.8.1
이런 세계 경제의 성장 구조는 반도체나 자동차 같은 중간재와 자본재 수출 비중이 높은 우리 경제에 불리한 것으로 분석됐다.

이런	이런/MMD
세계	세계/NNG
경제의	경제/NNG+의/JKG
성장	성장/NNG
구조는	구조/NNG+는/JX
반도체나	반도체/NNG+나/JC
자동차	자동차/NNG
같은	같/VA+은/ETM
중간재와	중간재/NNG+와/JC
자본재	자본재/NNG
수출	수출/NNG
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
우리	우리/NP
경제에	경제/NNG+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.16.8.2
실제로 정 위원이 세계 경제 성장의 구성 변화에 따른 우리 경제의 영향을 살펴봤더니, 세계 성장률이 똑같이 1%포인트 하락하더라도 소비 중심으로 성장률이 떨어지면 우리 경제 성장률은 0.25~0.41%포인트 하락하는 데 그치지만, 투자 중심으로 세계 경제가 나빠지면 우리 경제 성장률은 최대 1.17%포인트나 하락하는 것으로 나타났다.

실제로	실제로/MAG
정	정/NNP
위원이	위원/NNG+이/JKS
세계	세계/NNG
경제	경제/NNG
성장의	성장/NNG+의/JKG
구성	구성/NNG
변화에	변화/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
우리	우리/NP
경제의	경제/NNG+의/JKG
영향을	영향/NNG+을/JKO
살펴봤더니,	살펴보/VV+았/EP+더니/EC+,/SP
성장률이	성장/NNG+률/XSN+이/JKS
똑같이	똑같이/MAG
1%포인트	1/SN+%포인트/NNG
하락하더라도	하락/NNG+하/XSV+더라도/EC
소비	소비/NNG
중심으로	중심/NNG+으로/JKB
떨어지면	떨어지/VV+면/EC
성장률은	성장/NNG+률/XSN+은/JX
0.25~0.41%포인트	0/SN+./SP+25/SN+~/SO+0/SN+./SP+41/SN+%포인트/NNG
하락하는	하락/NNG+하/XSV+는/ETM
데	데/NNB
그치지만,	그치/VV+지만/EC+,/SP
투자	투자/NNG
경제가	경제/NNG+가/JKS
나빠지면	나빠지/VV+면/EC
최대	최대/NNG
1.17%포인트나	1/SN+./SP+17/SN+%포인트/NNG+나/JX
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.16.9.1
정 위원은 “우리나라의 주된 수출 품목을 보면 세계 경제의 투자 규모에 영향을 크게 받는 중간재와 자본재 비중이 매우 높다”며 “특히 세계 성장률이 투자 부진으로 1%포인트 하락할 때 전기전자업종과 기계업종은 3%포인트 이상 생산이 감소할 것으로 예측됐다”고 말했다.

정	정/NNP
위원은	위원/NNG+은/JX
“우리나라의	“/SS+우리나라/NNG+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
수출	수출/NNG
품목을	품목/NNG+을/JKO
보면	보/VV+면/EC
세계	세계/NNG
경제의	경제/NNG+의/JKG
투자	투자/NNG
규모에	규모/NNG+에/JKB
영향을	영향/NNG+을/JKO
크게	크/VA+게/EC
받는	받/VV+는/ETM
중간재와	중간재/NNG+와/JC
자본재	자본재/NNG
비중이	비중/NNG+이/JKS
매우	매우/MAG
높다”며	높/VA+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
성장률이	성장/NNG+률/XSN+이/JKS
부진으로	부진/NNG+으로/JKB
1%포인트	1/SN+%포인트/NNG
하락할	하락/NNG+하/XSV+ㄹ/ETM
때	때/NNG
전기전자업종과	전기/NNG+전자/NNG+업종/NNG+과/JC
기계업종은	기계/NNG+업종/NNG+은/JX
3%포인트	3/SN+%포인트/NNG
이상	이상/NNG
생산이	생산/NNG+이/JKS
감소할	감소/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측됐다”고	예측/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.16.10.1
이런 경고는 국제통화기금(IMF)에서도 나왔다.

이런	이런/MMD
경고는	경고/NNG+는/JX
국제통화기금(IMF)에서도	국제통화기금/NNP+(/SS+IMF/SL+)/SS+에서/JKB+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.16.10.2
국제통화기금은 지난 3일(현지시각) 발표한 ‘아시아·태평양 경제전망보고서’에서 “수출·제조업·투자 중심에서 내수·서비스업·소비 중심으로 산업 구조를 개편하고 있는 중국을 염두에 둘 때 그간 중국에 자본재와 중간재를 많이 수출하는 한국과 대만이 받을 충격이 매우 큰 것으로 나타났다”고 밝혔다.

국제통화기금은	국제통화기금/NNP+은/JX
지난	지나/VV+ㄴ/ETM
3일(현지시각)	3/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘아시아·태평양	‘/SS+아시아/NNP+·/SP+태평양/NNP
경제전망보고서’에서	경제/NNG+전망/NNG+보고서/NNG+’/SS+에서/JKB
“수출·제조업·투자	“/SS+수출/NNG+·/SP+제조업/NNG+·/SP+투자/NNG
중심에서	중심/NNG+에서/JKB
내수·서비스업·소비	내수/NNG+·/SP+서비스업/NNG+·/SP+소비/NNG
중심으로	중심/NNG+으로/JKB
산업	산업/NNG
구조를	구조/NNG+를/JKO
개편하고	개편/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
중국을	중국/NNP+을/JKO
염두에	염두/NNG+에/JKB
둘	두/VV+ㄹ/ETM
때	때/NNG
그간	그/NP+간/XSN
중국에	중국/NNP+에/JKB
자본재와	자본재/NNG+와/JC
중간재를	중간재/NNG+를/JKO
많이	많이/MAG
수출하는	수출/NNG+하/XSV+는/ETM
한국과	한국/NNP+과/JC
대만이	대만/NNP+이/JKS
받을	받/VV+을/ETM
충격이	충격/NNG+이/JKS
매우	매우/MAG
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다”고	나타나/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.16.11.1
구체적으로 중국 경제가 소비는 1%포인트 증가하고, 투자는 1%포인트 하락할 경우 한국 경제 성장률은 0.11%포인트 하락할 것으로 국제통화기금은 분석했다.

구체적으로	구체/NNG+적/XSN+으로/JKB
중국	중국/NNP
경제가	경제/NNG+가/JKS
소비는	소비/NNG+는/JX
1%포인트	1/SN+%포인트/NNG
증가하고,	증가/NNG+하/XSV+고/EC+,/SP
투자는	투자/NNG+는/JX
하락할	하락/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
한국	한국/NNP
경제	경제/NNG
성장률은	성장/NNG+률/XSN+은/JX
0.11%포인트	0/SN+./SP+11/SN+%포인트/NNG
것으로	것/NNB+으로/JKB
국제통화기금은	국제통화기금/NNP+은/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.16.11.2
중국 성장률이 유지되더라도 소비의 성장 기여 몫이 커질수록 한국 경제는 타격을 입는다는 것이다.

중국	중국/NNP
성장률이	성장/NNG+률/XSN+이/JKS
유지되더라도	유지/NNG+되/XSV+더라도/EC
소비의	소비/NNG+의/JKG
성장	성장/NNG
기여	기여/NNG
몫이	몫/NNG+이/JKS
커질수록	커지/VV+ㄹ수록/EC
한국	한국/NNP
경제는	경제/NNG+는/JX
타격을	타격/NNG+을/JKO
입는다는	입/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.16.11.3
이창용 국제통화기금 아시아태평양 담당 국장은 지난달 14일 <한겨레>와 한 인터뷰에서 “중국 경제가 좋아지더라도 그 효과는 국가별로 다르다”며 “소비재를 (중국에) 파는 국가는 이득을, 중간재를 파는 나라는 충격을 받는다.

이창용	이창용/NNP
국제통화기금	국제통화기금/NNP
아시아태평양	아시아/NNP+태평양/NNP
담당	담당/NNG
국장은	국장/NNG+은/JX
지난달	지난달/NNG
14일	14/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
인터뷰에서	인터뷰/NNG+에서/JKB
“중국	“/SS+중국/NNP
경제가	경제/NNG+가/JKS
좋아지더라도	좋/VA+아/EC+지/VX+더라도/EC
그	그/MMD
효과는	효과/NNG+는/JX
국가별로	국가/NNG+별/XSN+로/JKB
다르다”며	다르/VA+다/EF+”/SS+며/EC
“소비재를	“/SS+소비재/NNG+를/JKO
(중국에)	(/SS+중국/NNP+에/JKB+)/SS
파는	팔/VV+는/ETM
국가는	국가/NNG+는/JX
