# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.254
metadata : {}


# id : NWRW1800000054.254.1.1
김진수, 수비 구멍을 메워줘

김진수,	김진수/NNP+,/SP
수비	수비/NNG
구멍을	구멍/NNG+을/JKO
메워줘	메우/VV+어/EC+주/VX+어/EF


# id : NWRW1800000054.254.2.1
월드컵 중국·시리아戰 24명 발표

월드컵	월드컵/NNG
중국·시리아戰	중국/NNP+·/SP+시리아/NNP+戰/SH
24명	24/SN+명/NNB
발표	발표/NNG


# id : NWRW1800000054.254.3.1
독일에서 K리그로 돌아온 측면 수비수 김진수(25·전북 현대·사진)가 축구 대표팀에 긴급 호출됐다.

독일에서	독일/NNP+에서/JKB
K리그로	K/SL+리그/NNG+로/JKB
돌아온	돌아오/VV+ㄴ/ETM
측면	측면/NNG
수비수	수비수/NNG
김진수(25·전북	김진수/NNP+(/SS+25/SN+·/SP+전북/NNP
현대·사진)가	현대/NNP+·/SP+사진/NNG+)/SS+가/JKS
축구	축구/NNG
대표팀에	대표/NNG+팀/NNG+에/JKB
긴급	긴급/NNG
호출됐다.	호출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.254.3.2
K리그 개막 두 경기만이다.

K리그	K/SL+리그/NNG
개막	개막/NNG
두	두/MMN
경기만이다.	경기/NNG+만/JX+이/VCP+다/EF+./SF


# id : NWRW1800000054.254.3.3
김진수는 지난해 3월 이후 약 1년 만에 대표팀에 복귀한다.

김진수는	김진수/NNP+는/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
이후	이후/NNG
약	약/MMA
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
대표팀에	대표/NNG+팀/NNG+에/JKB
복귀한다.	복귀/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.254.3.4
수비 고민 해결이 그의 임무다.

수비	수비/NNG
고민	고민/NNG
해결이	해결/NNG+이/JKS
그의	그/NP+의/JKG
임무다.	임무/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.254.4.1
