# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.17
metadata : {}


# id : NWRW1800000029.17.1.1
日 8.8강진-쓰나미 대재앙 / 항공-여행업계 직격탄?

日	日/SH
8.8강진-쓰나미	8/SN+./SP+8/SN+강진/NNG+-/SO+쓰나미/NNG
대재앙	대/XPN+재앙/NNG
/	//SP
항공-여행업계	항공/NNG+-/SO+여행업/NNG+계/XSN
직격탄?	직격탄/NNG+?/SF


# id : NWRW1800000029.17.1.2
‘정유’는 반사이익?

‘정유’는	‘/SS+정유/NNG+’/SS+는/JX
반사이익?	반사/NNG+이익/NNG+?/SF


# id : NWRW1800000029.17.1.3
‘전자’는 불투명

‘전자’는	‘/SS+전자/NNG+’/SS+는/JX
불투명	불/XPN+투명/NNG


# id : NWRW1800000029.17.2.1
항공-여행업계 직격탄… ‘정유’는 반사이익… ‘전자’는 불투명

항공-여행업계	항공/NNG+-/SO+여행업/NNG+계/XSN
직격탄…	직격탄/NNG+…/SE
‘정유’는	‘/SS+정유/NNG+’/SS+는/JX
반사이익…	반사/NNG+이익/NNG+…/SE
‘전자’는	‘/SS+전자/NNG+’/SS+는/JX
불투명	불/XPN+투명/NNG


# id : NWRW1800000029.17.3.1
우리 기업들은 11일 일본에서 일어난 강진으로 피해는 없는지, 또 앞으로 어떤 영향을 받게 될지 파악하는 데 분주한 하루를 보냈다.

우리	우리/NP
기업들은	기업/NNG+들/XSN+은/JX
11일	11/SN+일/NNB
일본에서	일본/NNP+에서/JKB
일어난	일어나/VV+ㄴ/ETM
강진으로	강진/NNG+으로/JKB
피해는	피해/NNG+는/JX
없는지,	없/VA+는지/EC+,/SP
또	또/MAG
앞으로	앞/NNG+으로/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
받게	받/VV+게/EC
될지	되/VV+ㄹ지/EC
파악하는	파악/NNG+하/XSV+는/ETM
데	데/NNB
분주한	분주/NNG+하/XSA+ㄴ/ETM
하루를	하루/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.17.3.2
일본에 진출해 있는 한국 기업은 287개사로, 주재원 900여 명과 현지 직원 5500여 명이 근무하고 있다.

일본에	일본/NNP+에/JKB
진출해	진출/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
한국	한국/NNP
기업은	기업/NNG+은/JX
287개사로,	287/SN+개사/NNB+로/JKB+,/SP
주재원	주재원/NNG
900여	900/SN+여/XSN
명과	명/NNB+과/JC
현지	현지/NNG
직원	직원/NNG
5500여	5500/SN+여/XSN
명이	명/NNB+이/JKS
근무하고	근무/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.17.3.3
일본에 법인이나 공장을 둔 기업들은 연락망을 가동했으나 오후 내내 통신상태가 좋지 않아 애를 태웠다.

일본에	일본/NNP+에/JKB
법인이나	법인/NNG+이나/JC
공장을	공장/NNG+을/JKO
둔	두/VV+ㄴ/ETM
기업들은	기업/NNG+들/XSN+은/JX
연락망을	연락망/NNG+을/JKO
가동했으나	가동/NNG+하/XSV+았/EP+으나/EC
오후	오후/NNG
내내	내내/MAG
통신상태가	통신/NNG+상태/NNG+가/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
애를	애/NNG+를/JKO
태웠다.	태우/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.17.3.4
KOTRA는 도쿄KBC 사무실 집기가 부서지고 유리창이 깨졌지만 현지 우리 기업에 심각한 인적, 물적 피해는 없는 것으로 파악했다.

KOTRA는	KOTRA/SL+는/JX
도쿄KBC	도쿄KBC/NNP
사무실	사무실/NNG
집기가	집기/NNG+가/JKS
부서지고	부서지/VV+고/EC
유리창이	유리창/NNG+이/JKS
깨졌지만	깨지/VV+었/EP+지만/EC
현지	현지/NNG
우리	우리/NP
기업에	기업/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
인적,	인/NNG+적/XSN+,/SP
물적	물/NNG+적/XSN
피해는	피해/NNG+는/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
파악했다.	파악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.17.4.1
국내에서는 삼성전자가 진동에 민감한 장비의 오작동을 막기 위해 이날 오후 2시 54분부터 기흥 및 화성 반도체공장, 천안 및 탕정 LCD 생산장비의 가동을 1시간 30분가량 중단하기도 했다.

국내에서는	국내/NNG+에서/JKB+는/JX
삼성전자가	삼성전자/NNP+가/JKS
진동에	진동/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
장비의	장비/NNG+의/JKG
오작동을	오작동/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
이날	이날/NNG
오후	오후/NNG
2시	2/SN+시/NNB
54분부터	54/SN+분/NNB+부터/JX
기흥	기흥/NNP
및	및/MAG
화성	화성/NNP
반도체공장,	반도체/NNG+공장/NNG+,/SP
천안	천안/NNP
탕정	탕정/NNP
LCD	LCD/SL
생산장비의	생산/NNG+장비/NNG+의/JKG
가동을	가동/NNG+을/JKO
1시간	1/SN+시간/NNB
