# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.189
metadata : {}


# id : NWRW1800000021.189.1.1
[충북] ‘노근리 59주년’ 인권평화캠프 열린다

[충북]	[/SS+충북/NNP+]/SS
‘노근리	‘/SS+노근리/NNP
59주년’	59/SN+주년/NNB+’/SS
인권평화캠프	인권/NNG+평화/NNG+캠프/NNG
열린다	열리/VV+ㄴ다/EF


# id : NWRW1800000021.189.2.1
6·25전쟁 초기에 발생한 ‘노근리 사건’의 현장인 충북 영동군 황간면 노근리에서 국내외 대학생들이 참가하는 인권평화캠프가 열린다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
초기에	초기/NNG+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
‘노근리	‘/SS+노근리/NNP
사건’의	사건/NNG+’/SS+의/JKG
현장인	현장/NNG+이/VCP+ㄴ/ETM
충북	충북/NNP
영동군	영동군/NNP
황간면	황간면/NNP
노근리에서	노근리/NNP+에서/JKB
국내외	국내외/NNG
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
인권평화캠프가	인권/NNG+평화/NNG+캠프/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.189.3.1
노근리 사건 발생 59주기를 맞아 22∼26일 학살 현장인 경부선 철도 쌍굴과 인근 영동대 등에서 열리는 ‘제4회 세계대학생 인권평화캠프’에는 한국과 필리핀, 대만, 몽골, 러시아 등 5개국 대학생 30여 명이 참가할 예정이다.

노근리	노근리/NNP
사건	사건/NNG
발생	발생/NNG
59주기를	59/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
22∼26일	22/SN+∼/SO+26/SN+일/NNB
학살	학살/NNG
현장인	현장/NNG+이/VCP+ㄴ/ETM
경부선	경부선/NNP
철도	철도/NNG
쌍굴과	쌍굴/NNG+과/JC
인근	인근/NNG
영동대	영동대/NNP
등에서	등/NNB+에서/JKB
열리는	열리/VV+는/ETM
‘제4회	‘/SS+제/XPN+4/SN+회/NNB
세계대학생	세계/NNG+대학/NNG+생/XSN
인권평화캠프’에는	인권/NNG+평화/NNG+캠프/NNG+’/SS+에/JKB+는/JX
한국과	한국/NNP+과/JC
필리핀,	필리핀/NNP+,/SP
대만,	대만/NNP+,/SP
몽골,	몽골/NNP+,/SP
러시아	러시아/NNP
등	등/NNB
5개국	5/SN+개국/NNB
