# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.24
metadata : {}


# id : NWRW1800000054.24.1.1
"中이 美사령관 경질 요구했다는 日보도는 이간질"

"中이	"/SS+中/SH+이/JKS
美사령관	美/SH+사령관/NNG
경질	경질/NNG
요구했다는	요구/NNG+하/XSV+았/EP+다는/ETM
日보도는	日/SH+보도/NNG+는/JX
이간질"	이간/NNG+질/XSN+"/SS


# id : NWRW1800000054.24.2.1
中환구시보, 日교도통신 비난

中환구시보,	中/SH+환구시보/NNP+,/SP
日교도통신	日/SH+교도통신/NNP
비난	비난/NNG


# id : NWRW1800000054.24.3.1
중국 관영 환구시보는 중국이 북한 압박의 대가로 대중(對中) 강경파인 해리 해리스 미 태평양함대 사령관 경질을 미국에 요구했다는 일본 언론 보도에 대해 "황당한 주장"이라며 "민감한 시점에 나온 이런 자극적 보도는 미·중 관계를 훼손하려는 '이간계'에 불과하다"고 8일 보도했다.

중국	중국/NNP
관영	관영/NNG
환구시보는	환구시보/NNP+는/JX
중국이	중국/NNP+이/JKS
북한	북한/NNP
압박의	압박/NNG+의/JKG
대가로	대가/NNG+로/JKB
대중(對中)	대중/NNG+(/SS+對中/SH+)/SS
강경파인	강경파/NNG+이/VCP+ㄴ/ETM
해리	해리/NNP
해리스	해리스/NNP
미	미/NNP
태평양함대	태평양/NNP+함대/NNG
사령관	사령관/NNG
경질을	경질/NNG+을/JKO
미국에	미국/NNP+에/JKB
요구했다는	요구/NNG+하/XSV+았/EP+다는/ETM
일본	일본/NNP
언론	언론/NNG
보도에	보도/NNG+에/JKB
대해	대하/VV+아/EC
"황당한	"/SS+황당하/VA+ㄴ/ETM
주장"이라며	주장/NNG+"/SS+이/VCP+라며/EC
"민감한	"/SS+민감/NNG+하/XSA+ㄴ/ETM
시점에	시점/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
이런	이런/MMD
자극적	자극/NNG+적/XSN
보도는	보도/NNG+는/JX
미·중	미/NNP+·/SP+중/NNP
관계를	관계/NNG+를/JKO
훼손하려는	훼손/NNG+하/XSV+려는/ETM
'이간계'에	'/SS+이간계/NNG+'/SS+에/JKB
불과하다"고	불과/MAG+하/XSA+다/EF+"/SS+고/JKQ
8일	8/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.24.4.1
환구시보는 이날 사설에서 "해리스 사령관이 대중 강경파이고 중국인들도 그를 싫어하지만, 미국의 아·태 정책에 관여하는 인물 가운데 그가 유일한 강경파는 아니다"며 "중국은 그 한 명을 제거한다고 해서 서태평양이 평화로워질 것이라는 환상을 갖고 있지 않다"고 했다.

환구시보는	환구시보/NNP+는/JX
이날	이날/NNG
사설에서	사설/NNG+에서/JKB
"해리스	"/SS+해리스/NNP
사령관이	사령관/NNG+이/JKS
대중	대중/NNG
강경파이고	강경파/NNG+이/VCP+고/EC
중국인들도	중국인/NNG+들/XSN+도/JX
그를	그/NP+를/JKO
싫어하지만,	싫어하/VV+지만/EC+,/SP
미국의	미국/NNP+의/JKG
아·태	아·태/NNP
정책에	정책/NNG+에/JKB
관여하는	관여/NNG+하/XSV+는/ETM
인물	인물/NNG
가운데	가운데/NNG
그가	그/NP+가/JKS
유일한	유일/NNG+하/XSA+ㄴ/ETM
강경파는	강경파/NNG+는/JX
아니다"며	아니/VCN+다/EF+"/SS+며/EC
"중국은	"/SS+중국/NNP+은/JX
그	그/MMD
한	한/MMN
명을	명/NNB+을/JKO
제거한다고	제거/NNG+하/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
서태평양이	서태평양/NNP+이/JKS
평화로워질	평화/NNG+롭/XSA+어/EC+지/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
환상을	환상/NNG+을/JKO
갖고	갖/VV+고/EC
있지	있/VX+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.24.4.2
이어 "해리스 사령관은 오바마 정권 때 임명됐고 힐러리 클린턴 전 국무장관과 친밀한 관계였기 때문에 어차피 트럼프 정권에서는 물러날 가능성이 매우 크다"며 "그런데도 일본 측이 해리스의 거취 문제를 갑자기 중국과 연계시키고 나선 것은 중국을 음해하려는 꼼수"라고 말했다.

이어	이어/MAG
"해리스	"/SS+해리스/NNP
사령관은	사령관/NNG+은/JX
오바마	오바마/NNP
정권	정권/NNG
때	때/NNG
임명됐고	임명/NNG+되/XSV+었/EP+고/EC
힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
국무장관과	국무/NNG+장관/NNG+과/JKB
친밀한	친밀/NNG+하/XSA+ㄴ/ETM
관계였기	관계/NNG+이/VCP+었/EP+기/ETN
