# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.273
metadata : {}


# id : NWRW1800000046.273.1.1
[터치! 코리아] "뭐라고, 당신이 책임질 거야?"

[터치!	[/SS+터치/NNG+!/SF
코리아]	코리아/NNP+]/SS
"뭐라고,	"/SS+뭐/NP+이/VCP+라고/EF+,/SP
당신이	당신/NP+이/JKS
책임질	책임지/VV+ㄹ/ETM
거야?"	거/NNB+이/VCP+야/EF+?/SF+"/SS


# id : NWRW1800000046.273.2.1
곽경택 감독의 영화 '극비수사'는 1978년 부산에서 일어난 '효주양 유괴사건'이 소재다.

곽경택	곽경택/NNP
감독의	감독/NNG+의/JKG
영화	영화/NNG
'극비수사'는	'/SS+극비/NNG+수사/NNG+'/SS+는/JX
1978년	1978/SN+년/NNB
부산에서	부산/NNP+에서/JKB
일어난	일어나/VV+ㄴ/ETM
'효주양	'/SS+효주/NNP+양/NNB
유괴사건'이	유괴/NNG+사건/NNG+'/SS+이/JKS
소재다.	소재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.2.2
효주는 두 번이나 유괴되어서 많은 이들이 기억하는 사건의 주인공이다.

효주는	효주/NNP+는/JX
두	두/MMN
번이나	번/NNB+이나/JX
유괴되어서	유괴/NNG+되/XSV+어서/EC
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
기억하는	기억/NNG+하/XSV+는/ETM
사건의	사건/NNG+의/JKG
주인공이다.	주인공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.2.3
첫 번째 유괴됐을 때 아이를 33일 만에 구한 건 적당히 부패한 형사와 사기꾼인지 도사인지 모를 점쟁이였다.

첫	첫/MMN
번째	번/NNB+째/XSN
유괴됐을	유괴/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
아이를	아이/NNG+를/JKO
33일	33/SN+일/NNB
만에	만/NNB+에/JKB
구한	구하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
적당히	적당히/MAG
부패한	부패/NNG+하/XSV+ㄴ/ETM
형사와	형사/NNG+와/JC
사기꾼인지	사기/NNG+꾼/XSN+이/VCP+ㄴ지/EC
도사인지	도사/NNG+이/VCP+ㄴ지/EC
모를	모르/VV+ㄹ/ETM
점쟁이였다.	점/NNG+쟁이/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.273.2.4
두 사람은 부산·서울 경찰이 합세한 합동수사팀의 갖가지 방해를 이겨내고 아이를 구했다.

두	두/MMN
사람은	사람/NNG+은/JX
부산·서울	부산/NNP+·/SP+서울/NNP
경찰이	경찰/NNG+이/JKS
합세한	합세/NNG+하/XSV+ㄴ/ETM
합동수사팀의	합동/NNG+수사/NNG+팀/NNG+의/JKG
갖가지	갖가지/NNG
방해를	방해/NNG+를/JKO
이겨내고	이기/VV+어/EC+내/VX+고/EC
아이를	아이/NNG+를/JKO
구했다.	구하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.273.3.1
영화에서 둘을 가장 힘들게 한 건 얼굴을 드러내지 않는 유괴범이 아니라 아이 목숨보다 범인 잡아 업적 세우는 데 안달이 난 경찰 동료들이었다.

영화에서	영화/NNG+에서/JKB
둘을	둘/NR+을/JKO
가장	가장/MAG
힘들게	힘들/VA+게/EC
한	하/VX+ㄴ/ETM
건	거/NNB+ㄴ/JX
얼굴을	얼굴/NNG+을/JKO
드러내지	드러내/VV+지/EC
않는	않/VX+는/ETM
유괴범이	유괴범/NNG+이/JKC
아니라	아니/VCN+라/EC
아이	아이/NNG
목숨보다	목숨/NNG+보다/JKB
범인	범인/NNG
잡아	잡/VV+아/EC
업적	업적/NNG
세우는	세우/VV+는/ETM
데	데/NNB
안달이	안달/NNG+이/JKS
난	나/VV+ㄴ/ETM
경찰	경찰/NNG
동료들이었다.	동료/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.273.3.2
"그러다가 범인 놓치면 당신이 책임질 거야?" "니가 책임질 거냐고?" 영화에는 이런 대사가 여러 차례 나온다.

"그러다가	"/SS+그러/VV+다가/EC
범인	범인/NNG
놓치면	놓치/VV+면/EC
당신이	당신/NP+이/JKS
책임질	책임지/VV+ㄹ/ETM
거야?"	거/NNB+이/VCP+야/EF+?/SF+"/SS
"니가	"/SS+니/NP+가/JKS
거냐고?"	거/NNB+이/VCP+냐고/EF+?/SF+"/SS
영화에는	영화/NNG+에/JKB+는/JX
이런	이런/MMD
대사가	대사/NNG+가/JKS
여러	여러/MMN
차례	차례/NNG
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.273.3.3
도전하는 이의 기를 꺾는 유효한 공격술은 '니가 책임질 거냐?'는 현실론이다.

도전하는	도전/NNG+하/XSV+는/ETM
이의	이/NNB+의/JKG
기를	기/NNG+를/JKO
꺾는	꺾/VV+는/ETM
유효한	유효/NNG+하/XSA+ㄴ/ETM
공격술은	공격술/NNG+은/JX
'니가	'/SS+니/NP+가/JKS
책임질	책임지/VV+ㄹ/ETM
거냐?'는	거/NNB+이/VCP+냐/EF+?/SF+'/SS+는/ETM
현실론이다.	현실/NNG+론/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.4.1
인터넷 검색어에 '메르스 정부'라 치면 '무능'이라는 단어가 따라 나온다.

인터넷	인터넷/NNG
검색어에	검색어/NNG+에/JKB
'메르스	'/SS+메르스/NNG
정부'라	정부/NNG+'/SS+라/EC
치면	치/VV+면/EC
'무능'이라는	'/SS+무능/NNG+'/SS+이/VCP+라는/ETM
단어가	단어/NNG+가/JKS
따라	따르/VV+아/EC
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.273.4.2
이 정부의 메르스 대응에 관해서는 말하면 입만 아프다.

이	이/MMD
정부의	정부/NNG+의/JKG
메르스	메르스/NNG
대응에	대응/NNG+에/JKB
관해서는	관하/VV+아서/EC+는/JX
말하면	말/NNG+하/XSV+면/EC
입만	입/NNG+만/JX
아프다.	아프/VA+다/EF+./SF


# id : NWRW1800000046.273.4.3
'대형사고 과목 낙제'인 대통령 얘기는 지겨우니까 빼자.

'대형사고	'/SS+대형/NNG+사고/NNG
과목	과목/NNG
낙제'인	낙제/NNG+'/SS+이/VCP+ㄴ/ETM
대통령	대통령/NNG
얘기는	얘기/NNG+는/JX
지겨우니까	지겹/VA+으니까/EC
빼자.	빼/VV+자/EF+./SF


# id : NWRW1800000046.273.4.4
보건복지부, 질병관리본부 같은 곳에서 일하는 수재 집단은 왜 이토록 무능했을까.

보건복지부,	보건/NNG+복지부/NNG+,/SP
질병관리본부	질병/NNG+관리/NNG+본부/NNG
같은	같/VA+은/ETM
곳에서	곳/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
수재	수재/NNG
집단은	집단/NNG+은/JX
왜	왜/MAG
이토록	이토록/MAG
무능했을까.	무능/NNG+하/XSA+았/EP+을까/EF+./SF


# id : NWRW1800000046.273.4.5
'책임 소재' 때문이다.

'책임	'/SS+책임/NNG
소재'	소재/NNG+'/SS
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.5.1
메르스 감염자를 양산(量産)한 병원들의 이름 공개와 폐쇄를 두고 공무원들은 몸을 뺐다.

메르스	메르스/NNG
감염자를	감염자/NNG+를/JKO
양산(量産)한	양산/NNG+(/SS+量産/SH+)/SS+하/XSV+ㄴ/ETM
병원들의	병원/NNG+들/XSN+의/JKG
이름	이름/NNG
공개와	공개/NNG+와/JC
폐쇄를	폐쇄/NNG+를/JKO
두고	두/VV+고/EC
공무원들은	공무원/NNG+들/XSN+은/JX
몸을	몸/NNG+을/JKO
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.273.5.2
김성태 새누리당 의원이 얼마 전 입수해 공개한 지난 5월 20·21일 질병관리본부와 전문가 간담회 내용을 보면 메르스 확진자 병·의원을 공개해야 한다는 전문가 의견에 해당 병원들이 반대했다.

김성태	김성태/NNP
새누리당	새누리당/NNP
의원이	의원/NNG+이/JKS
얼마	얼마/NNG
전	전/NNG
입수해	입수/NNG+하/XSV+아/EC
공개한	공개/NNG+하/XSV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
20·21일	20/SN+·/SP+21/SN+일/NNB
질병관리본부와	질병/NNG+관리/NNG+본부/NNG+와/JC
전문가	전문가/NNG
간담회	간담회/NNG
내용을	내용/NNG+을/JKO
보면	보/VV+면/EC
메르스	메르스/NNG
확진자	확진자/NNG
병·의원을	병·의원/NNG+을/JKO
공개해야	공개/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견에	의견/NNG+에/JKB
해당	해당/NNG
병원들이	병원/NNG+들/XSN+이/JKS
반대했다.	반대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.273.5.3
그러자 그 얘긴 쑥 들어갔다.

그러자	그러/VV+자/EC
그	그/MMD
얘긴	얘기/NNG+ㄴ/JX
쑥	쑥/MAG
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.273.5.4
사실이 알려지자 "삼성이 정부에 압력을 넣어 병원 공개가 안 됐다더라" "공무원들이 많이 얻어먹어서 그렇다"는 소문이 돌았다.

사실이	사실/NNG+이/JKS
알려지자	알려지/VV+자/EC
"삼성이	"/SS+삼성/NNP+이/JKS
정부에	정부/NNG+에/JKB
압력을	압력/NNG+을/JKO
넣어	넣/VV+어/EC
병원	병원/NNG
공개가	공개/NNG+가/JKS
안	안/MAG
됐다더라"	되/VV+었/EP+다더라/EF+"/SS
"공무원들이	"/SS+공무원/NNG+들/XSN+이/JKS
많이	많이/MAG
얻어먹어서	얻어먹/VV+어서/EC
그렇다"는	그렇/VA+다/EF+"/SS+는/ETM
소문이	소문/NNG+이/JKS
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.273.6.1
정말 그것뿐이었을까.

정말	정말/MAG
그것뿐이었을까.	그것/NP+뿐/JX+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000046.273.6.2
공무원들의 손발을 묶은 건 현행 의료법상 방역(防疫)을 목적으로 병원을 폐쇄할 근거 조항이 없다는 점이다.

공무원들의	공무원/NNG+들/XSN+의/JKG
손발을	손발/NNG+을/JKO
묶은	묶/VV+은/ETM
건	거/NNB+ㄴ/JX
현행	현행/NNG
의료법상	의료법/NNG+상/XSN
방역(防疫)을	방역/NNG+(/SS+防疫/SH+)/SS+을/JKO
목적으로	목적/NNG+으로/JKB
병원을	병원/NNG+을/JKO
폐쇄할	폐쇄/NNG+하/XSV+ㄹ/ETM
근거	근거/NNG
조항이	조항/NNG+이/JKS
없다는	없/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.273.6.3
검사는 물증으로, 공무원은 관련 법적 근거로 움직이게 되어 있다.

검사는	검사/NNG+는/JX
물증으로,	물증/NNG+으로/JKB+,/SP
공무원은	공무원/NNG+은/JX
관련	관련/NNG
법적	법/NNG+적/XSN
근거로	근거/NNG+로/JKB
움직이게	움직이/VV+게/EC
되어	되/VV+어/EC
있다.	있/VX+다/EF+./SF


