# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.233
metadata : {}


# id : NWRW1800000040.233.1.1
“이의” 외침 묵살-‘표결’ 생략 경남도의회 회의규칙 어겼다

“이의”	“/SS+이의/NNG+”/SS
외침	외침/NNG
묵살-‘표결’	묵살/NNG+-/SO+‘/SS+표결/NNG+’/SS
생략	생략/NNG
경남도의회	경남도의회/NNP
회의규칙	회의/NNG+규칙/NNG
어겼다	어기/VV+었/EP+다/EF


# id : NWRW1800000040.233.2.1
“진주의료원 조례 의결 효력정지”

“진주의료원	“/SS+진주의료원/NNP
조례	조례/NNG
의결	의결/NNG
효력정지”	효력/NNG+정지/NNG+”/SS


# id : NWRW1800000040.233.3.1
야권 도의원들, 가처분 신청 추진

야권	야권/NNG
도의원들,	도/NNG+의원/NNG+들/XSN+,/SP
가처분	가/XPN+처분/NNG
신청	신청/NNG
추진	추진/NNG


# id : NWRW1800000040.233.4.1
복지부는 재의 요구할지 검토

복지부는	복지부/NNG+는/JX
재의	재의/NNG
요구할지	요구/NNG+하/XSV+ㄹ지/EC
검토	검토/NNG


# id : NWRW1800000040.233.5.1
경남도의회가 지난 11일 진주의료원 법인 해산 관련 조례안을 ‘날치기’ 처리하는 과정에서 김오영 경남도의회 의장(새누리당)이 말로만 이의 여부를 물은 뒤 그대로 가결 처리해, 전자투표나 기립·거수 표결, 무기명 표결 등으로 의결하도록 정한 ‘경상남도의회 회의규칙’을 어겼다는 지적이 나온다.

경남도의회가	경남도의회/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
진주의료원	진주의료원/NNP
법인	법인/NNG
해산	해산/NNG
관련	관련/NNG
조례안을	조례안/NNG+을/JKO
‘날치기’	‘/SS+날치기/NNG+’/SS
처리하는	처리/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
김오영	김오영/NNP
경남도의회	경남도의회/NNP
의장(새누리당)이	의장/NNG+(/SS+새누리당/NNP+)/SS+이/JKS
말로만	말/NNG+로/JKB+만/JX
이의	이의/NNG
여부를	여부/NNG+를/JKO
물은	묻/VV+은/ETM
뒤	뒤/NNG
그대로	그대로/MAG
가결	가결/NNG
처리해,	처리/NNG+하/XSV+아/EC+,/SP
전자투표나	전자/NNG+투표/NNG+나/JC
기립·거수	기립/NNG+·/SP+거수/NNG
표결,	표결/NNG+,/SP
무기명	무/XPN+기명/NNG
표결	표결/NNG
등으로	등/NNB+으로/JKB
의결하도록	의결/NNG+하/XSV+도록/EC
정한	정하/VV+ㄴ/ETM
‘경상남도의회	‘/SS+경상남도의회/NNP
회의규칙’을	회의/NNG+규칙/NNG+’/SS+을/JKO
어겼다는	어기/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.233.5.2
야권 경남도의원들은 법원에 ‘조례 의결 효력정지 가처분 신청’을 내기로 했다.

야권	야권/NNG
경남도의원들은	경남도/NNP+의원/NNG+들/XSN+은/JX
법원에	법원/NNG+에/JKB
‘조례	‘/SS+조례/NNG
의결	의결/NNG
효력정지	효력/NNG+정지/NNG
가처분	가/XPN+처분/NNG
신청’을	신청/NNG+’/SS+을/JKO
내기로	내/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.233.5.3
보건복지부는 경남도의회에 ‘조례안 재의’를 요구할지 검토에 나섰다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
경남도의회에	경남도의회/NNP+에/JKB
‘조례안	‘/SS+조례안/NNG
재의’를	재의/NNG+’/SS+를/JKO
요구할지	요구/NNG+하/XSV+ㄹ지/EC
검토에	검토/NNG+에/JKB
