# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.276
metadata : {}


# id : NWRW1800000044.276.1.1
16년만에 무승…책임지는 사람이 없다

16년만에	16/SN+년/NNB+만/NNB+에/JKB
무승…책임지는	무/XPN+승/NNG+…/SE+책임지/VV+는/ETM
사람이	사람/NNG+이/JKS
없다	없/VA+다/EF


# id : NWRW1800000044.276.2.1
[한겨레] [2014 브라질 월드컵]

[한겨레]	[/SS+한겨레/NNP+]/SS
[2014	[/SS+2014/SN
브라질	브라질/NNP
월드컵]	월드컵/NNG+]/SS


# id : NWRW1800000044.276.3.1
축구협회 “홍명보 감독 내년초 아시안컵까지 유임”

축구협회	축구협회/NNP
“홍명보	“/SS+홍명보/NNP
감독	감독/NNG
내년초	내년/NNG+초/NNB
아시안컵까지	아시안/NNP+컵/NNG+까지/JX
유임”	유임/NNG+”/SS


# id : NWRW1800000044.276.4.1
허정무 부회장·황보관 기술위원장 등도 자리 지켜

허정무	허정무/NNP
부회장·황보관	부회장/NNG+·/SP+황보관/NNP
기술위원장	기술/NNG+위원장/NNG
등도	등/NNB+도/JX
자리	자리/NNG
지켜	지키/VV+어/EF


# id : NWRW1800000044.276.5.1
대한축구협회가 3일 홍명보 감독의 재신임을 발표하는 장면은, 홍 감독이 브라질월드컵을 앞두고 “그만한 공격수도 없다”며 박주영을 두둔하던 모습과 비슷했다.

대한축구협회가	대한축구협회/NNP+가/JKS
3일	3/SN+일/NNB
홍명보	홍명보/NNP
감독의	감독/NNG+의/JKG
재신임을	재/XPN+신임/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
장면은,	장면/NNG+은/JX+,/SP
홍	홍/NNP
감독이	감독/NNG+이/JKS
브라질월드컵을	브라질/NNP+월드컵/NNG+을/JKO
앞두고	앞두/VV+고/EC
“그만한	“/SS+그만하/VA+ㄴ/ETM
공격수도	공격수/NNG+도/JX
없다”며	없/VA+다/EF+”/SS+며/EC
박주영을	박주영/NNP+을/JKO
두둔하던	두둔/NNG+하/XSV+던/ETM
모습과	모습/NNG+과/JKB
비슷했다.	비슷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.276.5.2
허정무 부회장은 “올림픽에서 메달을 딴 감독은 홍 감독밖에 없다”고 말했다.

허정무	허정무/NNP
부회장은	부회장/NNG+은/JX
“올림픽에서	“/SS+올림픽/NNG+에서/JKB
메달을	메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
감독은	감독/NNG+은/JX
홍	홍/NNP
감독밖에	감독/NNG+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.276.6.1
허정무 대한축구협회 부회장은 이날 기자회견을 열고 2014 브라질월드컵 16강 진출에 실패한 홍 감독에게 내년 1월 아시안컵까지 대표팀을 지휘하도록 했다고 밝혔다.

허정무	허정무/NNP
대한축구협회	대한축구협회/NNP
부회장은	부회장/NNG+은/JX
이날	이날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
2014	2014/SN
브라질월드컵	브라질/NNP+월드컵/NNG
16강	16/SN+강/NNB
진출에	진출/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
홍	홍/NNP
감독에게	감독/NNG+에게/JKB
내년	내년/NNG
1월	1/SN+월/NNB
아시안컵까지	아시안/NNP+컵/NNG+까지/JX
대표팀을	대표/NNG+팀/NNG+을/JKO
지휘하도록	지휘/NNG+하/XSV+도록/EC
했다고	하/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.276.6.2
허 부회장은 “브라질월드컵 실패에 대한 책임을 홍 감독 개인에게 떠넘기는 건 최선이 아니라고 판단했다.

허	허/NNP
부회장은	부회장/NNG+은/JX
“브라질월드컵	“/SS+브라질/NNP+월드컵/NNG
실패에	실패/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
홍	홍/NNP
감독	감독/NNG
개인에게	개인/NNG+에게/JKB
떠넘기는	떠넘기/VV+는/ETM
건	거/NNB+ㄴ/JX
최선이	최선/NNG+이/JKC
아니라고	아니/VCN+라고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.276.6.3
실패를 교훈 삼아 대표팀을 잘 이끌 것으로 기대한다”고 말했다.

실패를	실패/NNG+를/JKO
교훈	교훈/NNG
삼아	삼/VV+아/EC
대표팀을	대표/NNG+팀/NNG+을/JKO
잘	잘/MAG
이끌	이끌/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.276.6.4
홍 감독은 조별리그 3차전인 벨기에전 직후 황보관 기술위원장에게 사의를 밝혔지만, 귀국 뒤 정몽규 축구협회장과 면담한 뒤 마음을 바꿨다고 허 부회장은 전했다.

홍	홍/NNP
감독은	감독/NNG+은/JX
조별리그	조별/NNG+리그/NNG
