# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.428
metadata : {}


# id : NWRW1800000038.428.1.1
中, 6자회담 중재 7개항 제시… 韓·美·北 모두 거부반응

中,	中/SH+,/SP
6자회담	6/SN+자/NNB+회담/NNG
중재	중재/NNG
7개항	7/SN+개/NNB+항/NNG
제시…	제시/NNG+…/SE
韓·美·北	韓/SH+·/SP+美/SH+·/SP+北/SH
모두	모두/MAG
거부반응	거부/NNG+반응/NNG


# id : NWRW1800000038.428.2.1
6자 회담 재개를 둘러싸고 당사국 간에 치열한 줄다리기가 계속되고 있는 가운데, 중국 측이 '6자 회담 재개 조정안'을 제시했었던 것으로 알려졌다.

6자	6/SN+자/NNB
회담	회담/NNG
재개를	재개/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
당사국	당사국/NNG
간에	간/NNB+에/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
줄다리기가	줄다리기/NNG+가/JKS
계속되고	계속/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
중국	중국/NNP
측이	측/NNB+이/JKS
'6자	'/SS+6/SN+자/NNB
재개	재개/NNG
조정안'을	조정안/NNG+'/SS+을/JKO
제시했었던	제시/NNG+하/XSV+았었/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.428.2.2
일본 요미우리(賣買)신문은 22일 "중국 측 6자 회담 수석대표인 우다웨이(武大偉) 한반도 사무 특별대표가 한국·미국·북한 등 5개국에 7개 항의 조정안을 제시했다"고 보도했다.

일본	일본/NNP
요미우리(賣買)신문은	요미우리/NNP+(/SS+賣買/SH+)/SS+신문/NNG+은/JX
22일	22/SN+일/NNB
"중국	"/SS+중국/NNP
측	측/NNB
6자	6/SN+자/NNB
회담	회담/NNG
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
우다웨이(武大偉)	우다웨이/NNP+(/SS+武大偉/SH+)/SS
한반도	한반도/NNP
사무	사무/NNG
특별대표가	특별/NNG+대표/NNG+가/JKS
한국·미국·북한	한국/NNP+·/SP+미국/NNP+·/SP+북한/NNP
등	등/NNB
5개국에	5/SN+개국/NNB+에/JKB
7개	7/SN+개/NNB
항의	항/NNG+의/JKG
조정안을	조정안/NNG+을/JKO
제시했다"고	제시/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.428.3.1
조정안은 ▲참가국의 회담 재개 동의와 9·19 공동성명에 따른 의무 이행 ▲한반도 비핵화 실현 ▲비핵화 과정에서 북한의 관심 사항 해결 ▲한·미·일과 북한의 관계 개선 및 북한 체제 전복 의사 없다는 표시 ▲한반도 평화조약 체결 노력 ▲행동 대 행동 원칙 유지 ▲6자 회담의 정례화 등을 담았다.

조정안은	조정안/NNG+은/JX
▲참가국의	▲/SW+참가국/NNG+의/JKG
회담	회담/NNG
재개	재개/NNG
동의와	동의/NNG+와/JC
9·19	9/SN+·/SP+19/SN
공동성명에	공동/NNG+성명/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
의무	의무/NNG
이행	이행/NNG
▲한반도	▲/SW+한반도/NNP
비핵화	비핵/NNG+화/XSN
실현	실현/NNG
▲비핵화	▲/SW+비핵/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
북한의	북한/NNP+의/JKG
관심	관심/NNG
사항	사항/NNG
해결	해결/NNG
▲한·미·일과	▲/SW+한·미·일/NNP+과/JC
관계	관계/NNG
개선	개선/NNG
및	및/MAG
북한	북한/NNP
체제	체제/NNG
전복	전복/NNG
의사	의사/NNG
없다는	없/VA+다는/ETM
표시	표시/NNG
평화조약	평화/NNG+조약/NNG
체결	체결/NNG
노력	노력/NNG
▲행동	▲/SW+행동/NNG
대	대/NNB
행동	행동/NNG
원칙	원칙/NNG
유지	유지/NNG
▲6자	▲/SW+6/SN+자/NNB
회담의	회담/NNG+의/JKG
정례화	정례/NNG+화/XSN
등을	등/NNB+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.428.3.2
이에 대해 한·미는 ▲북한이 핵 개발·경제발전의 '병진노선'을 추구하는 등 핵무기 포기 의사가 불분명하고 ▲영변 등 핵무기 원료 제조 시설을 가동하고 있기 때문에 회담 재개를 위한 '담보물'로서 사전 조치가 필요하다는 의견을 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한·미는	한·미/NNP+는/JX
▲북한이	▲/SW+북한/NNP+이/JKS
핵	핵/NNG
개발·경제발전의	개발/NNG+·/SP+경제/NNG+발전/NNG+의/JKG
'병진노선'을	'/SS+병진/NNG+노선/NNG+'/SS+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
등	등/NNB
핵무기	핵무기/NNG
포기	포기/NNG
의사가	의사/NNG+가/JKS
불분명하고	불분명하/VA+고/EC
▲영변	▲/SW+영변/NNP
원료	원료/NNG
제조	제조/NNG
시설을	시설/NNG+을/JKO
가동하고	가동/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
회담	회담/NNG
재개를	재개/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
'담보물'로서	'/SS+담보물/NNG+'/SS+로서/JKB
사전	사전/NNG
조치가	조치/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
의견을	의견/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.428.4.1
중국을 방문하고 21일 한국에 도착한 글린 데이비스 미 국무부 대북정책 특별대표는 "북한이 핵 포기를 할 징후가 없는 상황에서는 6자 회담 재개에 관심이 없다"고 말했다.

중국을	중국/NNP+을/JKO
방문하고	방문/NNG+하/XSV+고/EC
21일	21/SN+일/NNB
한국에	한국/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
글린	글린/NNP
데이비스	데이비스/NNP
미	미/NNP
국무부	국무부/NNG
대북정책	대북/NNG+정책/NNG
특별대표는	특별/NNG+대표/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
핵	핵/NNG
포기를	포기/NNG+를/JKO
할	하/VV+ㄹ/ETM
징후가	징후/NNG+가/JKS
없는	없/VA+는/ETM
상황에서는	상황/NNG+에서/JKB+는/JX
6자	6/SN+자/NNB
회담	회담/NNG
재개에	재개/NNG+에/JKB
관심이	관심/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.428.4.2
북한 노동신문도 지난 11일 "우리가 비핵화 사전조치를 취하는 것과 같은 일은 없을 것"이라고 거부 의사를 명확히 밝혔다.

북한	북한/NNP
노동신문도	노동신문/NNP+도/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
"우리가	"/SS+우리/NP+가/JKS
비핵화	비핵/NNG+화/XSN
사전조치를	사전/NNG+조치/NNG+를/JKO
취하는	취하/VV+는/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
일은	일/NNG+은/JX
없을	없/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
거부	거부/NNG
의사를	의사/NNG+를/JKO
명확히	명확히/MAG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


