# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.404
metadata : {}


# id : NWRW1800000048.404.1.1
투병중이어서 대선 관여 못했다는 이완구, 실제론 박근혜 후보와 동행 유세

투병중이어서	투병/NNG+중/NNB+이/VCP+어서/EC
대선	대선/NNG
관여	관여/NNG
못했다는	못/MAG+하/VV+았/EP+다는/ETM
이완구,	이완구/NNP+,/SP
실제론	실제로/MAG+ㄴ/JX
박근혜	박근혜/NNP
후보와	후보/NNG+와/JKB
동행	동행/NNG
유세	유세/NNG


# id : NWRW1800000048.404.2.1
국회 대정부질문 ‘거짓말’ 논란

국회	국회/NNG
대정부질문	대정부/NNG+질문/NNG
‘거짓말’	‘/SS+거짓말/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000048.404.3.1
‘성완종 리스트’에 올라 있는 이완구 국무총리가 13일 국회 대정부 질문 답변 과정에서 거짓말 논란을 빚었다.

‘성완종	‘/SS+성완종/NNP
리스트’에	리스트/NNG+’/SS+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
이완구	이완구/NNP
국무총리가	국무총리/NNG+가/JKS
13일	13/SN+일/NNB
국회	국회/NNG
대정부	대정부/NNG
질문	질문/NNG
답변	답변/NNG
과정에서	과정/NNG+에서/JKB
거짓말	거짓말/NNG
논란을	논란/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.404.3.2
자신은 2012년 대통령선거에 관여하지 못했다고 밝혔으나, 실제로는 박근혜 새누리당 후보 유세 활동에 여러 차례 나선 것으로 나타났기 때문이다.

자신은	자신/NNG+은/JX
2012년	2012/SN+년/NNB
대통령선거에	대통령/NNG+선거/NNG+에/JKB
관여하지	관여/NNG+하/XSV+지/EC
못했다고	못하/VX+았/EP+다고/EC
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
실제로는	실제로/MAG+는/JX
박근혜	박근혜/NNP
새누리당	새누리당/NNP
후보	후보/NNG
유세	유세/NNG
활동에	활동/NNG+에/JKB
여러	여러/MMN
차례	차례/NNG
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났기	나타나/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.404.4.1
이 총리는 이날 오전 대정부 질문에서 새누리당 김성태 의원이 “2012년 4월 총선과 12월 대선 당시 총리는 어떤 역할을 했느냐”고 묻자 “2012년 1월 초순경 혈액암으로 입원해서 그해 말까지 1년 동안 투병생활을 했다”며 “4월 총선에 출마하지 못했고, 12월 대선에도 관여하지 못했다”고 답했다.

이	이/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
대정부	대정부/NNG
질문에서	질문/NNG+에서/JKB
새누리당	새누리당/NNP
김성태	김성태/NNP
의원이	의원/NNG+이/JKS
“2012년	“/SS+2012/SN+년/NNB
4월	4/SN+월/NNB
총선과	총선/NNG+과/JC
12월	12/SN+월/NNB
대선	대선/NNG
당시	당시/NNG
어떤	어떤/MMD
역할을	역할/NNG+을/JKO
