# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.364
metadata : {}


# id : NWRW1800000046.364.1.1
[후진적 病室문화 바꾸자] 제멋대로 외출, 환자食 대신 식당서 식사…'無개념' 환자도 문제

[후진적	[/SS+후진/NNG+적/XSN
病室문화	病室/SH+문화/NNG
바꾸자]	바꾸/VV+자/EF+]/SS
제멋대로	제멋대로/MAG
외출,	외출/NNG+,/SP
환자食	환자/NNG+食/SH
대신	대신/NNG
식당서	식당/NNG+서/JKB
식사…'無개념'	식사/NNG+…/SE+'/SS+無/SH+개념/NNG+'/SS
환자도	환자/NNG+도/JX
문제	문제/NNG


# id : NWRW1800000046.364.2.1
문병객이 병원의 규정에 아랑곳하지 않고 제멋대로 병실을 드나드는 것 못지않게 환자가 병원의 지시를 어기고 병실 밖을 자유로이 출입하는 것도 한국의 병실 문화의 고질병으로 꼽힌다.

문병객이	문병객/NNG+이/JKS
병원의	병원/NNG+의/JKG
규정에	규정/NNG+에/JKB
아랑곳하지	아랑곳/NNG+하/XSV+지/EC
않고	않/VX+고/EC
제멋대로	제멋대로/MAG
병실을	병실/NNG+을/JKO
드나드는	드나들/VV+는/ETM
것	것/NNB
못지않게	못지않/VA+게/EC
환자가	환자/NNG+가/JKS
지시를	지시/NNG+를/JKO
어기고	어기/VV+고/EC
병실	병실/NNG
밖을	밖/NNG+을/JKO
자유로이	자유로이/MAG
출입하는	출입/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
한국의	한국/NNP+의/JKG
문화의	문화/NNG+의/JKG
고질병으로	고질병/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.364.2.2
지난 9일 오후 서울 구로구의 한 병원 지하 1층에 있는 50석 규모의 푸드코트에는 한 환자가 환자복에 링거까지 꽂고 보호자와 함께 냉면을 먹고 있었다.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
구로구의	구로구/NNP+의/JKG
한	한/MMN
병원	병원/NNG
지하	지하/NNG
1층에	1/SN+층/NNG+에/JKB
있는	있/VA+는/ETM
50석	50/SN+석/NNB
규모의	규모/NNG+의/JKG
푸드코트에는	푸드코트/NNG+에/JKB+는/JX
환자가	환자/NNG+가/JKS
환자복에	환자복/NNG+에/JKB
링거까지	링거/NNG+까지/JX
꽂고	꽂/VV+고/EC
보호자와	보호자/NNG+와/JKB
함께	함께/MAG
냉면을	냉면/NNG+을/JKO
