# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.67
metadata : {}


# id : NWRW1800000054.67.1.1
[論爭: 가야사 복원] (4·끝) 이영식 인제대 교수

[論爭:	[/SS+論爭/SH+:/SP
가야사	가야사/NNG
복원]	복원/NNG+]/SS
(4·끝)	(/SS+4/SN+·/SP+끝/NNG+)/SS
이영식	이영식/NNP
인제대	인제대/NNP
교수	교수/NNG


# id : NWRW1800000054.67.2.1
"중심 연구센터 만들어 체계적으로 가야史 복원해야"

"중심	"/SS+중심/NNG
연구센터	연구/NNG+센터/NNG
만들어	만들/VV+어/EC
체계적으로	체계/NNG+적/XSN+으로/JKB
가야史	가야/NNP+史/SH
복원해야"	복원/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000054.67.3.1
"가야사 재조명이 토목 공사로 끝나지 않고 연구·발굴·복원을 체계적으로 하기 위해선 연구센터나 재단 등 중심체가 있어야 한다.

"가야사	"/SS+가야사/NNG
재조명이	재/XPN+조명/NNG+이/JKS
토목	토목/NNG
공사로	공사/NNG+로/JKB
끝나지	끝나/VV+지/EC
않고	않/VX+고/EC
연구·발굴·복원을	연구/NNG+·/SP+발굴/NNG+·/SP+복원/NNG+을/JKO
체계적으로	체계/NNG+적/XSN+으로/JKB
하기	하/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
연구센터나	연구/NNG+센터/NNG+나/JC
재단	재단/NNG
등	등/NNB
중심체가	중심체/NNG+가/JKS
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.67.3.2
또 어느 한곳에 집중하지 말고 가야 문화권의 전 지역을 균형 있게 다루어야 한다."

또	또/MAG
어느	어느/MMD
한곳에	한곳/NNG+에/JKB
집중하지	집중/NNG+하/XSV+지/EC
말고	말/VX+고/EC
가야	가야/NNP
문화권의	문화/NNG+권/XSN+의/JKG
전	전/MMN
지역을	지역/NNG+을/JKO
균형	균형/NNG
있게	있/VA+게/EC
다루어야	다루/VV+어야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.67.4.1
가야의 전기 중심지였던 경상남도 김해에서 가야 연구와 재조명을 이끌어온 이영식(62) 인제대 교수는 문재인 대통령의 '가야사 연구·복원 지시'를 반기면서도 학계의 비판과 우려를 인식한 듯 그동안의 경험을 토대로 바람직한 추진 방향을 제시했다.

가야의	가야/NNP+의/JKG
전기	전기/NNG
중심지였던	중심지/NNG+이/VCP+었/EP+던/ETM
경상남도	경상남도/NNP
김해에서	김해/NNP+에서/JKB
가야	가야/NNP
연구와	연구/NNG+와/JC
재조명을	재/XPN+조명/NNG+을/JKO
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
이영식(62)	이영식/NNP+(/SS+62/SN+)/SS
인제대	인제대/NNP
교수는	교수/NNG+는/JX
