# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.24
metadata : {}


# id : NWRW1800000032.24.1.1
삼성, 애플에 또 ‘맞수전략’

삼성,	삼성/NNP+,/SP
애플에	애플/NNP+에/JKB
또	또/MAG
‘맞수전략’	‘/SS+맞수/NNG+전략/NNG+’/SS


# id : NWRW1800000032.24.2.1
애플 개발자 컨퍼런스 기간에 ‘갤럭시탭 10.1’ 미국 출시키로

애플	애플/NNP
개발자	개발자/NNG
컨퍼런스	컨퍼런스/NNG
기간에	기간/NNG+에/JKB
‘갤럭시탭	‘/SS+갤럭시탭/NNP
10.1’	10/SN+./SP+1/SN+’/SS
미국	미국/NNP
출시키로	출시/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000032.24.3.1
삼성전자가 애플을 상대로 ‘눈에는 눈, 이에는 이’ 전략을 이어가고 있다.

삼성전자가	삼성전자/NNP+가/JKS
애플을	애플/NNP+을/JKO
상대로	상대/NNG+로/JKB
‘눈에는	‘/SS+눈/NNG+에/JKB+는/JX
눈,	눈/NNG+,/SP
이에는	이/NNG+에/JKB+는/JX
이’	이/NP+’/SS
전략을	전략/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.24.4.1
삼성전자는 태블릿피시 전략 신제품 ‘갤럭시탭 10.1’을 오는 8일(현지시각) 미국에서 출시하기로 했다고 3일 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
태블릿피시	태블릿/NNG+피시/NNG
전략	전략/NNG
신제품	신/XPN+제품/NNG
‘갤럭시탭	‘/SS+갤럭시탭/NNP
10.1’을	10/SN+./SP+1/SN+’/SS+을/JKO
오는	오/VV+는/ETM
8일(현지시각)	8/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
미국에서	미국/NNP+에서/JKB
출시하기로	출시/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.24.4.2
갤럭시탭 10.1은 태블릿피시 시장에서 애플 ‘아이패드2’의 대항마를 자처하는 태블릿피시로, 구글의 ‘허니콤 3.1’ 운영체제를 탑재했다.

갤럭시탭	갤럭시탭/NNP
10.1은	10/SN+./SP+1/SN+은/JX
태블릿피시	태블릿/NNG+피시/NNG
시장에서	시장/NNG+에서/JKB
애플	애플/NNP
‘아이패드2’의	‘/SS+아이패드2/NNP+’/SS+의/JKG
대항마를	대항마/NNG+를/JKO
자처하는	자처/NNG+하/XSV+는/ETM
태블릿피시로,	태블릿/NNG+피시/NNG+로/JKB+,/SP
구글의	구글/NNP+의/JKG
‘허니콤	‘/SS+허니콤/NNP
3.1’	3/SN+./SP+1/SN+’/SS
운영체제를	운영/NNG+체제/NNG+를/JKO
탑재했다.	탑재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.24.4.3
두께가 8.6㎜로 동급 태블릿피시 가운데 가장 얇다.

두께가	두께/NNG+가/JKS
8.6㎜로	8/SN+./SP+6/SN+㎜/SW+로/JKB
동급	동급/NNG
태블릿피시	태블릿/NNG+피시/NNG
가운데	가운데/NNG
가장	가장/MAG
얇다.	얇/VA+다/EF+./SF


# id : NWRW1800000032.24.4.4
32기가바이트짜리는 599달러, 16기가바이트짜리는 499달러에 판매될 예정이다.

32기가바이트짜리는	32/SN+기가바이트/NNB+짜리/XSN+는/JX
599달러,	599/SN+달러/NNB+,/SP
16기가바이트짜리는	16/SN+기가바이트/NNB+짜리/XSN+는/JX
499달러에	499/SN+달러/NNB+에/JKB
판매될	판매/NNG+되/XSV+ㄹ/ETM
