# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.12
metadata : {}


# id : NWRW1800000052.12.1.1
안방 파고드는 중국 안방보험…알리안츠생명 한국법인도 인수

안방	안방/NNG
파고드는	파고들/VV+는/ETM
중국	중국/NNP
안방보험…알리안츠생명	안방보험/NNP+…/SE+알리안츠생명/NNP
한국법인도	한국/NNP+법인/NNG+도/JX
인수	인수/NNG


# id : NWRW1800000052.12.2.1
지난해 동양생명 인수 이어 2번째

지난해	지난해/NNG
동양생명	동양생명/NNP
인수	인수/NNG
이어	잇/VV+어/EC
2번째	2/SN+번/NNB+째/XSN


# id : NWRW1800000052.12.3.1
자산 40조 넘어 국내 생보 5위로

자산	자산/NNG
40조	40/SN+조/NR
넘어	넘/VV+어/EC
국내	국내/NNG
생보	생보/NNG
5위로	5/SN+위/NNB+로/JKB


# id : NWRW1800000052.12.4.1
“시장 활력”-“중국에 잠식” 엇갈려

“시장	“/SS+시장/NNG
활력”-“중국에	활력/NNG+”/SS+-/SO+“/SS+중국/NNP+에/JKB
잠식”	잠식/NNG+”/SS
엇갈려	엇갈리/VV+어/EF


# id : NWRW1800000052.12.5.1
지난해 동양생명을 인수한 중국 안방보험이 알리안츠생명 한국 법인까지 인수하기로 해 국내 보험업계가 긴장하고 있다.

지난해	지난해/NNG
동양생명을	동양생명/NNP+을/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
안방보험이	안방보험/NNP+이/JKS
알리안츠생명	알리안츠생명/NNP
한국	한국/NNP
법인까지	법인/NNG+까지/JX
인수하기로	인수/NNG+하/XSV+기/ETN+로/JKB
해	하/VV+아/EC
국내	국내/NNG
보험업계가	보험업/NNG+계/XSN+가/JKS
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.12.6.1
6일 보험업계의 설명을 종합하면, 안방보험은 이날 오전 독일 알리안츠그룹과 한국 법인에 대한 주식매매계약을 체결했다.

6일	6/SN+일/NNB
보험업계의	보험업/NNG+계/XSN+의/JKG
설명을	설명/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
안방보험은	안방보험/NNP+은/JX
이날	이날/NNG
오전	오전/NNG
독일	독일/NNP
알리안츠그룹과	알리안츠그룹/NNP+과/JKB
한국	한국/NNP
법인에	법인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주식매매계약을	주식/NNG+매매/NNG+계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.12.6.2
매각 대상은 알리안츠그룹이 보유한 한국 법인의 지분 100%다.

매각	매각/NNG
대상은	대상/NNG+은/JX
알리안츠그룹이	알리안츠그룹/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
법인의	법인/NNG+의/JKG
지분	지분/NNG
100%다.	100/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000052.12.7.1
알리안츠그룹이 지난달 알리안츠생명을 매물로 내놓은 뒤 아이비케이투자증권 등도 인수에 관심을 보였지만 결국 안방보험의 품에 안기게 됐다.

알리안츠그룹이	알리안츠그룹/NNP+이/JKS
지난달	지난달/NNG
알리안츠생명을	알리안츠생명/NNP+을/JKO
매물로	매물/NNG+로/JKB
내놓은	내놓/VV+은/ETM
뒤	뒤/NNG
아이비케이투자증권	아이비케이투자증권/NNP
등도	등/NNB+도/JX
인수에	인수/NNG+에/JKB
관심을	관심/NNG+을/JKO
보였지만	보이/VV+었/EP+지만/EC
결국	결국/MAG
안방보험의	안방보험/NNP+의/JKG
품에	품/NNG+에/JKB
안기게	안기/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.12.7.2
알리안츠그룹과 안방보험은 앞으로 구체적인 실사를 거쳐 가격을 결정한 뒤 본계약을 체결하게 된다.

알리안츠그룹과	알리안츠그룹/NNP+과/JC
안방보험은	안방보험/NNP+은/JX
앞으로	앞/NNG+으로/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
실사를	실사/NNG+를/JKO
거쳐	거치/VV+어/EC
가격을	가격/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
본계약을	본계약/NNG+을/JKO
체결하게	체결/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.12.7.3
매매 가격이 공개되지는 않았지만 대략 2000억~3000억원 규모인 것으로 업계에선 추산하고 있다.

