# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.94
metadata : {}


# id : NWRW1800000021.94.1.1
[수도권]한강 둔치에 ‘미니 활주로’ 만든다

[수도권]한강	[/SS+수도/NNG+권/XSN+]/SS+한강/NNP
둔치에	둔치/NNG+에/JKB
‘미니	‘/SS+미니/NNG
활주로’	활주로/NNG+’/SS
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000021.94.2.1
서울 한강시민공원 광나루지구에 ‘미니 활주로’가 생긴다.

서울	서울/NNP
한강시민공원	한강시민공원/NNP
광나루지구에	광나루지구/NNP+에/JKB
‘미니	‘/SS+미니/NNG
활주로’가	활주로/NNG+’/SS+가/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.94.2.2
한강변에 땅을 골라 임시 활주로를 만든 적은 있지만 아스팔트 재질로 된 진짜 활주로가 생기는 것은 이번이 처음이다.

한강변에	한강/NNP+변/NNG+에/JKB
땅을	땅/NNG+을/JKO
골라	고르/VV+아/EC
임시	임시/NNG
활주로를	활주로/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
적은	적/NNB+은/JX
있지만	있/VA+지만/EC
아스팔트	아스팔트/NNG
재질로	재질/NNG+로/JKB
된	되/VV+ㄴ/ETM
진짜	진짜/NNG
활주로가	활주로/NNG+가/JKS
생기는	생기/VV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.94.3.1
서울시 한강사업본부는 19일 광진교 북단 유휴 둔치에 길이 130m, 폭 30m 크기의 모형항공기 활주로를 만드는 공사를 최근 시작했다고 밝혔다.

서울시	서울시/NNP
한강사업본부는	한강사업본부/NNP+는/JX
19일	19/SN+일/NNB
광진교	광진교/NNP
북단	북단/NNG
유휴	유휴/NNG
둔치에	둔치/NNG+에/JKB
길이	길이/NNG
130m,	130/SN+m/SW+,/SP
폭	폭/NNG
30m	30/SN+m/SW
크기의	크기/NNG+의/JKG
모형항공기	모형/NNG+항공기/NNG
활주로를	활주로/NNG+를/JKO
만드는	만들/VV+는/ETM
공사를	공사/NNG+를/JKO
최근	최근/MAG
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.94.4.1
총공사비는 2억 원이 소요되며 4월 말 완공 예정이다.

총공사비는	총공사비/NNG+는/JX
2억	2/SN+억/NR
원이	원/NNB+이/JKS
소요되며	소요/NNG+되/XSV+며/EC
4월	4/SN+월/NNB
말	말/NNB
완공	완공/NNG
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.94.4.2
활주로 주변에는 안전펜스를 만들고 잔디를 심는다.

활주로	활주로/NNG
주변에는	주변/NNG+에/JKB+는/JX
안전펜스를	안전/NNG+펜스/NNG+를/JKO
만들고	만들/VV+고/EC
잔디를	잔디/NNG+를/JKO
심는다.	심/VV+는다/EF+./SF


# id : NWRW1800000021.94.5.1
서울시내 대부분은 비행금지구역으로 정해져 있어 모형항공기나 모형헬리콥터 등을 날릴 공간이 거의 없다.

서울시내	서울/NNP+시내/NNG
대부분은	대/XPN+부분/NNG+은/JX
비행금지구역으로	비행/NNG+금지/NNG+구역/NNG+으로/JKB
정해져	정하/VV+아/EC+지/VX+어/EC
있어	있/VX+어/EC
모형항공기나	모형/NNG+항공기/NNG+나/JC
모형헬리콥터	모형/NNG+헬리콥터/NNG
등을	등/NNB+을/JKO
날릴	날리/VV+ㄹ/ETM
공간이	공간/NNG+이/JKS
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.94.5.2
