# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.71
metadata : {}


# id : NWRW1800000046.71.1.1
"내 안에 있던 '아리랑 DNA'… 나도 모르게 울부짖게 했죠"

"내	"/SS+나/NP+의/JKG
안에	안/NNG+에/JKB
있던	있/VA+던/ETM
'아리랑	'/SS+아리랑/NNG
DNA'…	DNA/SL+'/SS+…/SE
나도	나/NP+도/JX
모르게	모르/VV+게/EC
울부짖게	울부짖/VV+게/EC
했죠"	하/VX+았/EP+죠/EF+"/SS


# id : NWRW1800000046.71.2.1
뮤지컬 아리랑, 여주인공 임혜영·윤공주

뮤지컬	뮤지컬/NNG
아리랑,	아리랑/NNP+,/SP
여주인공	여주인공/NNG
임혜영·윤공주	임혜영/NNP+·/SP+윤공주/NNP


# id : NWRW1800000046.71.3.1
'뮤지컬에서 한국 사람으로 나온 게 얼마 만이냐'는 질문에 윤공주(34)와 임혜영(33)은 "기억이 잘 나지 않는다"며 웃었다.

'뮤지컬에서	'/SS+뮤지컬/NNG+에서/JKB
한국	한국/NNP
사람으로	사람/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
게	거/NNB+이/JKS
얼마	얼마/NNG
만이냐'는	만/NNB+이/VCP+냐/EF+'/SS+는/ETM
질문에	질문/NNG+에/JKB
윤공주(34)와	윤공주/NNP+(/SS+34/SN+)/SS+와/JC
임혜영(33)은	임혜영/NNP+(/SS+33/SN+)/SS+은/JX
"기억이	"/SS+기억/NNG+이/JKS
잘	잘/MAG
나지	나/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.71.3.2
윤공주는 '노트르담 드 파리'의 에스메랄다, '태양왕'의 프랑소와즈였으며, 임혜영은 '레베카'의 화자(話者)이자 '팬텀'의 크리스틴이었다.

윤공주는	윤공주/NNP+는/JX
'노트르담	'/SS+노트르담/NNP
드	드/NNP
파리'의	파리/NNP+'/SS+의/JKG
에스메랄다,	에스메랄다/NNP+,/SP
'태양왕'의	'/SS+태양왕/NNP+'/SS+의/JKG
프랑소와즈였으며,	프랑소와즈/NNP+이/VCP+었/EP+으며/EC+,/SP
임혜영은	임혜영/NNP+은/JX
'레베카'의	'/SS+레베카/NNP+'/SS+의/JKG
화자(話者)이자	화자/NNG+(/SS+話者/SH+)/SS+이/VCP+자/EC
'팬텀'의	'/SS+팬텀/NNP+'/SS+의/JKG
크리스틴이었다.	크리스틴/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.71.3.3
주로 유럽의 궁정과 고성(古城)을 배경으로 화려하게 펼쳐지는 대형 뮤지컬의 세련된 히로인이었다.

주로	주로/MAG
유럽의	유럽/NNP+의/JKG
궁정과	궁정/NNG+과/JC
고성(古城)을	고성/NNG+(/SS+古城/SH+)/SS+을/JKO
배경으로	배경/NNG+으로/JKB
화려하게	화려하/VA+게/EC
펼쳐지는	펼쳐지/VV+는/ETM
대형	대형/NNG
뮤지컬의	뮤지컬/NNG+의/JKG
세련된	세련/NNG+되/XSA+ㄴ/ETM
히로인이었다.	히로인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.71.4.1
이들이 일제강점기 민초들의 수난사를 다룬 창작 뮤지컬 '아리랑'에서 여주인공 수국 역에 더블캐스팅됐다는 말을 들었을 때 의아해하는 사람들이 있었던 것은 이 때문이었다.

이들이	이/NP+들/XSN+이/JKS
일제강점기	일제/NNG+강점기/NNG
민초들의	민초/NNG+들/XSN+의/JKG
수난사를	수난사/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
창작	창작/NNG
뮤지컬	뮤지컬/NNG
'아리랑'에서	'/SS+아리랑/NNP+'/SS+에서/JKB
여주인공	여주인공/NNG
수국	수국/NNP
역에	역/NNG+에/JKB
더블캐스팅됐다는	더블/NNG+캐스팅/NNG+되/XSV+었/EP+다는/ETM
말을	말/NNG+을/JKO
들었을	듣/VV+었/EP+을/ETM
때	때/NNG
의아해하는	의아/NNG+하/XSA+아/EC+하/VX+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
이	이/MMD
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.71.4.2
정작 막이 오르고 보니, 이 지극히 토속적인 한국 여인 역할을 두 사람 모두 기막히게 소화해냈다.

정작	정작/MAG
막이	막/NNG+이/JKS
오르고	오르/VV+고/EC
보니,	보/VX+니/EC+,/SP
이	이/MMD
지극히	지극히/MAG
토속적인	토속/NNG+적/XSN+이/VCP+ㄴ/ETM
한국	한국/NNP
여인	여인/NNG
역할을	역할/NNG+을/JKO
두	두/MMN
사람	사람/NNG
모두	모두/MAG
기막히게	기막히/VA+게/EC
소화해냈다.	소화/NNG+하/XSV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.71.5.1
상여에 올라 미친 듯이 팔을 흔들며 "아리랑 응 어―응 아라리가 났네"라며 울부짖는 윤공주는 신들린 듯했고, 눈보라 속을 떠돌며 "어무니 보고파요 눈물 나게, 그래도 나는 더 살아볼라요"라며 노래를 부르는 임혜영의 눈에는 핏발이 서려 있었다.

상여에	상여/NNG+에/JKB
올라	오르/VV+아/EC
미친	미치/VV+ㄴ/ETM
듯이	듯이/NNB
팔을	팔/NNG+을/JKO
흔들며	흔들/VV+며/EC
"아리랑	"/SS+아리랑/NNG
응	응/IC
어―응	어/IC+―/SS+응/IC
아라리가	아라리/IC+가/JKS
났네"라며	나/VV+았/EP+네/EF+"/SS+이/VCP+라며/EC
울부짖는	울부짖/VV+는/ETM
윤공주는	윤공주/NNP+는/JX
신들린	신들리/VV+ㄴ/ETM
듯했고,	듯/NNB+하/XSA+았/EP+고/EC+,/SP
눈보라	눈보라/NNG
속을	속/NNG+을/JKO
떠돌며	떠돌/VV+며/EC
"어무니	"/SS+어무니/NNG
보고파요	보/VV+고/EC+프/VX+아요/EF
눈물	눈물/NNG
나게,	나/VV+게/EC+,/SP
그래도	그러/VV+어도/EC
나는	나/NP+는/JX
더	더/MAG
살아볼라요"라며	살/VV+아/EC+보/VX+ㄹ라요/EF+"/SS+이/VCP+라며/EC
노래를	노래/NNG+를/JKO
부르는	부르/VV+는/ETM
임혜영의	임혜영/NNP+의/JKG
눈에는	눈/NNG+에/JKB+는/JX
핏발이	핏발/NNG+이/JKS
서려	서리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.71.5.2
둘 다 어머니 감골댁 역으로 나오는 관록의 배우 김성녀의 연기에 밀리지 않는다는 말까지 나오고 있다.

둘	둘/NR
다	다/MAG
어머니	어머니/NNG
감골댁	감골/NNP+댁/XSN
역으로	역/NNG+으로/JKB
나오는	나오/VV+는/ETM
관록의	관록/NNG+의/JKG
배우	배우/NNG
김성녀의	김성녀/NNP+의/JKG
연기에	연기/NNG+에/JKB
밀리지	밀리/VV+지/EC
않는다는	않/VX+는다는/ETM
말까지	말/NNG+까지/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.71.6.1
"평소에 아리랑 노래를 잘 부르지도 않았거든요.

"평소에	"/SS+평소/NNG+에/JKB
아리랑	아리랑/NNG
노래를	노래/NNG+를/JKO
잘	잘/MAG
부르지도	부르/VV+지/EC+도/JX
않았거든요.	않/VX+았/EP+거든/EF+요/JX+./SF


# id : NWRW1800000046.71.6.2
그런데 연습을 해 보니 그렇게 슬프고 아픈 감정을 금세 가슴으로 이해하게 되더라고요.

그런데	그런데/MAJ
연습을	연습/NNG+을/JKO
해	하/VV+아/EC
보니	보/VX+니/EC
그렇게	그렇/VA+게/EC
슬프고	슬프/VA+고/EC
아픈	아프/VA+ㄴ/ETM
감정을	감정/NNG+을/JKO
금세	금세/MAG
가슴으로	가슴/NNG+으로/JKB
이해하게	이해/NNG+하/XSV+게/EC
되더라고요.	되/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000046.71.6.3
참 신기한 일이죠."(임혜영) "제 안에 있던 한국 사람의 DNA가 저도 모르게 밖으로 표출된 것 같아요."(윤공주) 슬픔을 좀처럼 밖으로 드러내지 않는 애이불비(哀而不悲)의 큰 틀을 고선웅 연출이 제시했고, 은연중 배우들의 장점을 끌어내 줬다는 얘기다.

참	참/MAG
신기한	신기하/VA+ㄴ/ETM
일이죠."(임혜영)	일/NNG+이/VCP+죠/EF+./SF+"/SS+(/SS+임혜영/NNP+)/SS
"제	"/SS+저/NP+의/JKG
안에	안/NNG+에/JKB
있던	있/VA+던/ETM
한국	한국/NNP
사람의	사람/NNG+의/JKG
DNA가	DNA/SL+가/JKS
저도	저/NP+도/JX
모르게	모르/VV+게/EC
밖으로	밖/NNG+으로/JKB
표출된	표출/NNG+되/XSV+ㄴ/ETM
것	것/NNB
같아요."(윤공주)	같/VA+아요/EF+./SF+"/SS+(/SS+윤공주/NNP+)/SS
슬픔을	슬픔/NNG+을/JKO
좀처럼	좀처럼/MAG
드러내지	드러내/VV+지/EC
않는	않/VX+는/ETM
애이불비(哀而不悲)의	애이불비/NNG+(/SS+哀而不悲/SH+)/SS+의/JKG
큰	크/VA+ㄴ/ETM
틀을	틀/NNG+을/JKO
고선웅	고선웅/NNP
연출이	연출/NNG+이/JKS
제시했고,	제시/NNG+하/XSV+았/EP+고/EC+,/SP
은연중	은연중/NNG
배우들의	배우/NNG+들/XSN+의/JKG
장점을	장점/NNG+을/JKO
끌어내	끌어내/VV+어/EC
줬다는	주/VX+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.71.7.1
극 중 수국은 '꽃'에 비유되는 아름다운 여성이지만 꽃처럼 쉽게 꺾이는 존재다.

극	극/NNG
중	중/NNB
수국은	수국/NNP+은/JX
'꽃'에	'/SS+꽃/NNG+'/SS+에/JKB
비유되는	비유/NNG+되/XSV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
여성이지만	여성/NNG+이/VCP+지만/EC
꽃처럼	꽃/NNG+처럼/JKB
쉽게	쉽/VA+게/EC
꺾이는	꺾이/VV+는/ETM
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.71.7.2
능욕을 당하고 연인과 헤어지더니 임신한 채 떠도는 등 온갖 고초를 겪지만, 끝까지 생존 의지를 놓지 않는 강인한 여성이기도 하다.

능욕을	능욕/NNG+을/JKO
당하고	당하/VV+고/EC
