# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.239
metadata : {}


# id : NWRW1800000049.239.1.1
수비가 가른 승부… KIA “1승만 더”

수비가	수비/NNG+가/JKS
가른	가르/VV+ㄴ/ETM
승부…	승부/NNG+…/SE
KIA	KIA/SL
“1승만	“/SS+1/SN+승/NNG+만/JX
더”	더/MAG+”/SS


# id : NWRW1800000049.239.2.1
와일드카드 결정 1차전 KIA 4-2 승리 LG 오지환 4회 실책으로 2점 허용 KIA 김선빈은 두차례 병살 호수비 7이닝 2실점 호투 헥터 MVP

와일드카드	와일드카드/NNG
결정	결정/NNG
1차전	1/SN+차전/NNB
KIA	KIA/SL
4-2	4/SN+-/SO+2/SN
승리	승리/NNG
LG	LG/SL
오지환	오지환/NNP
4회	4/SN+회/NNB
실책으로	실책/NNG+으로/JKB
2점	2/SN+점/NNB
허용	허용/NNG
김선빈은	김선빈/NNP+은/JX
두차례	두/MMN+차례/NNG
병살	병살/NNG
호수비	호수비/NNG
7이닝	7/SN+이닝/NNG
2실점	2/SN+실점/NNG
호투	호투/NNG
헥터	헥터/NNP
MVP	MVP/SL


# id : NWRW1800000049.239.3.1
포스트시즌과 같은 단기전 때마다 승부를 가를 변수로 빠지지 않는 게 ‘경험’과 ‘수비’다.

포스트시즌과	포스트시즌/NNG+과/JKB
같은	같/VA+은/ETM
단기전	단기전/NNG
때마다	때/NNG+마다/JX
승부를	승부/NNG+를/JKO
가를	가르/VV+ㄹ/ETM
변수로	변수/NNG+로/JKB
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
‘경험’과	‘/SS+경험/NNG+’/SS+과/JC
‘수비’다.	‘/SS+수비/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.239.4.1
10일 서울 잠실구장에서 열린 KIA와 LG의 프로야구 와일드카드 결정 1차전에서도 그랬다.

10일	10/SN+일/NNB
서울	서울/NNP
잠실구장에서	잠실구장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
KIA와	KIA/SL+와/JC
LG의	LG/SL+의/JKG
