# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.10
metadata : {}


# id : NWRW1800000041.10.1.1
석유公, 이라크 ‘하울러 광구’서 원유 본격 생산

석유公,	석유/NNG+公/SH+,/SP
이라크	이라크/NNP
‘하울러	‘/SS+하울러/NNP
광구’서	광구/NNG+’/SS+서/JKB
원유	원유/NNG
본격	본격/NNG
생산	생산/NNG


# id : NWRW1800000041.10.2.1
4개 시추지역 중 데미르닥에서 2억5800만 배럴 매장 확인

4개	4/SN+개/NNB
시추지역	시추/NNG+지역/NNG
중	중/NNB
데미르닥에서	데미르닥/NNP+에서/JKB
2억5800만	2/SN+억/NR+5800/SN+만/NR
배럴	배럴/NNB
매장	매장/NNG
확인	확인/NNG


# id : NWRW1800000041.10.3.1
한국석유공사가 이라크 북부 쿠르드 지역 ‘하울러 광구’에서 원유 생산을 시작한다.

한국석유공사가	한국석유공사/NNP+가/JKS
이라크	이라크/NNP
북부	북부/NNG
쿠르드	쿠르드/NNP
지역	지역/NNG
‘하울러	‘/SS+하울러/NNP
광구’에서	광구/NNG+’/SS+에서/JKB
원유	원유/NNG
생산을	생산/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.10.4.1
석유공사는 1일(현지 시간) 이라크 쿠르드 자치정부의 수도인 아르빌에서 ‘하울러 광구의 원유 상업적 발견 선포 기념식’을 갖고 원유 생산 개시를 공식으로 발표했다.

석유공사는	석유공사/NNP+는/JX
1일(현지	1/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
이라크	이라크/NNP
쿠르드	쿠르드/NNP
자치정부의	자치/NNG+정부/NNG+의/JKG
수도인	수도/NNG+이/VCP+ㄴ/ETM
아르빌에서	아르빌/NNP+에서/JKB
‘하울러	‘/SS+하울러/NNP
광구의	광구/NNG+의/JKG
원유	원유/NNG
상업적	상업/NNG+적/XSN
발견	발견/NNG
선포	선포/NNG
기념식’을	기념식/NNG+’/SS+을/JKO
갖고	갖/VV+고/EC
생산	생산/NNG
개시를	개시/NNG+를/JKO
공식으로	공식/NNG+으로/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.10.4.2
이날 행사에는 서문규 석유공사 사장과 공동투자자인 일본 자원개발 회사 오릭스의 임원진, 쿠르드 자치정부 관계자들이 참석했다.

이날	이날/NNG
행사에는	행사/NNG+에/JKB+는/JX
서문규	서문규/NNP
석유공사	석유공사/NNP
사장과	사장/NNG+과/JC
공동투자자인	공동/NNG+투자자/NNG+이/VCP+ㄴ/ETM
일본	일본/NNP
자원개발	자원/NNG+개발/NNG
회사	회사/NNG
오릭스의	오릭스/NNP+의/JKG
임원진,	임원진/NNG+,/SP
쿠르드	쿠르드/NNP
자치정부	자치/NNG+정부/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.10.5.1
석유공사와 오릭스 등은 이날 행사에서 하울러 광구의 4개 시추지역 중 하나인 데미르닥에 2억5800만 배럴의 원유가 매장돼 있다는 것을 확인했다고 발표했다.

석유공사와	석유공사/NNP+와/JC
오릭스	오릭스/NNP
등은	등/NNB+은/JX
이날	이날/NNG
행사에서	행사/NNG+에서/JKB
하울러	하울러/NNP
광구의	광구/NNG+의/JKG
4개	4/SN+개/NNB
시추지역	시추/NNG+지역/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
데미르닥에	데미르닥/NNP+에/JKB
2억5800만	2/SN+억/NR+5800/SN+만/NR
배럴의	배럴/NNB+의/JKG
원유가	원유/NNG+가/JKS
매장돼	매장/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.10.5.2
지난해 시추에 성공한 중동, 유럽 지역 원유탐사 광구 중 세 번째로 큰 규모다.

지난해	지난해/NNG
시추에	시추/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
중동,	중동/NNP+,/SP
유럽	유럽/NNP
지역	지역/NNG
원유탐사	원유/NNG+탐사/NNG
광구	광구/NNG
중	중/NNB
세	세/MMN
번째로	번/NNB+째/XSN+로/JKB
큰	크/VA+ㄴ/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.10.5.3
석유공사는 2008년 하울러 광구 투자에 나섰으며 2012년 데미르닥 지역에 대한 첫 탐사 시추에서 원유를 발견한 바 있다.

석유공사는	석유공사/NNP+는/JX
2008년	2008/SN+년/NNB
하울러	하울러/NNP
광구	광구/NNG
투자에	투자/NNG+에/JKB
나섰으며	나서/VV+었/EP+으며/EC
