# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.78
metadata : {}


# id : NWRW1800000026.78.1.1
[호남] [지금 이곳에선] "국제기후총회를 여수에 유치하자";전남·경남 여수기후총회 유치위원회

[호남]	[/SS+호남/NNP+]/SS
[지금	[/SS+지금/MAG
이곳에선]	이곳/NP+에서/JKB+ㄴ/JX+]/SS
"국제기후총회를	"/SS+국제/NNG+기후/NNG+총회/NNG+를/JKO
여수에	여수/NNP+에/JKB
유치하자";전남·경남	유치/NNG+하/XSV+자/EF+"/SS+;/SP+전남/NNP+·/SP+경남/NNP
여수기후총회	여수/NNP+기후/NNG+총회/NNG
유치위원회	유치/NNG+위원회/NNG


# id : NWRW1800000026.78.2.1
2012년 세계박람회 개최에 성공한 여수시가 박람회에 버금가는 또다른 국제행사 유치에 뛰어들었다.

2012년	2012/SN+년/NNB
세계박람회	세계/NNG+박람회/NNG
개최에	개최/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
여수시가	여수시/NNP+가/JKS
박람회에	박람회/NNG+에/JKB
버금가는	버금가/VV+는/ETM
또다른	또/MAG+다른/MMD
국제행사	국제/NNG+행사/NNG
유치에	유치/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.78.2.2
지구 온난화 방지를 위한 구체적인 이행 방안을 논의하는 '기후변화협약당사국 총회'.

지구	지구/NNG
온난화	온난/NNG+화/XSN
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
이행	이행/NNG
방안을	방안/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
'기후변화협약당사국	'/SS+기후/NNG+변화/NNG+협약/NNG+당사국/NNG
총회'.	총회/NNG+'/SS+./SF


# id : NWRW1800000026.78.2.3
이 회의를 2012년 엑스포 개최 해에 동시에 열자는 것이다.

이	이/MMD
회의를	회의/NNG+를/JKO
2012년	2012/SN+년/NNB
엑스포	엑스포/NNG
개최	개최/NNG
해에	해/NNG+에/JKB
동시에	동시/NNG+에/JKB
열자는	열/VV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.2.4
작년 12월 덴마크 코펜하겐에서 열린 15차 회의에선 전세계 190여개국 대표단과 정상 등 1만5000여명이 참석했다.

작년	작년/NNG
12월	12/SN+월/NNB
덴마크	덴마크/NNP
코펜하겐에서	코펜하겐/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
15차	15/SN+차/NNB
회의에선	회의/NNG+에서/JKB+ㄴ/JX
전세계	전/MMN+세계/NNG
190여개국	190/SN+여/XSN+개국/NNB
대표단과	대표단/NNG+과/JKB
정상	정상/NNG
등	등/NNB
1만5000여명이	1/SN+만/NR+5000/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.2.5
일각에선 엑스포라는 굵직한 국제 행사를 이미 개최하기로 한 데다, 29만명에 불과한 중소도시가 외국 정상이 한데 모이는 대규모 국제 행사를 치를 수 있을지 의문의 목소리를 내놓는다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
엑스포라는	엑스포/NNG+이/VCP+라는/ETM
굵직한	굵직하/VA+ㄴ/ETM
국제	국제/NNG
행사를	행사/NNG+를/JKO
이미	이미/MAG
개최하기로	개최/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
29만명에	29/SN+만/NR+명/NNB+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
중소도시가	중소/NNG+도시/NNG+가/JKS
외국	외국/NNG
정상이	정상/NNG+이/JKS
한데	한데/NNG
모이는	모이/VV+는/ETM
대규모	대/XPN+규모/NNG
치를	치르/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
의문의	의문/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000026.78.3.1
하지만 지역은 자신감이 넘친다.

하지만	하지만/MAJ
지역은	지역/NNG+은/JX
자신감이	자신감/NNG+이/JKS
넘친다.	넘치/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.78.3.2
경남지역 시민사회단체도 힘을 불어넣어줬다.

경남지역	경남지역/NNP
시민사회단체도	시민/NNG+사회단체/NNG+도/JX
힘을	힘/NNG+을/JKO
불어넣어줬다.	불어넣/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.78.3.3
전남과 경남 8개 시·군 시민사회단체는 '2012기후변화협약당사국총회 광역여수엑스포권유치위원회'를 만들고 손을 잡았다.

전남과	전남/NNP+과/JC
경남	경남/NNP
8개	8/SN+개/NNB
시·군	시·군/NNG
시민사회단체는	시민/NNG+사회단체/NNG+는/JX
'2012기후변화협약당사국총회	'/SS+2012/SN+기후/NNG+변화/NNG+협약/NNG+당사국/NNG+총회/NNG
광역여수엑스포권유치위원회'를	광역여수엑스포권유치위원회/NNP+'/SS+를/JKO
만들고	만들/VV+고/EC
손을	손/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.3.4
이들은 "영호남이 이처럼 한 가지 목표를 향해 힘을 모으기는 처음"이라며 "개최여부를 떠나 동서화합의 물꼬가 트이는 시발점이 될 것"이라고 말했다.

이들은	이/NP+들/XSN+은/JX
"영호남이	"/SS+영호남/NNP+이/JKS
이처럼	이/NP+처럼/JKB
한	한/MMN
가지	가지/NNB
목표를	목표/NNG+를/JKO
향해	향하/VV+아/EC
힘을	힘/NNG+을/JKO
모으기는	모으/VV+기/ETN+는/JX
처음"이라며	처음/NNG+"/SS+이/VCP+라며/EC
"개최여부를	"/SS+개최/NNG+여부/NNG+를/JKO
떠나	떠나/VV+아/EC
동서화합의	동서/NNG+화합/NNG+의/JKG
물꼬가	물꼬/NNG+가/JKS
트이는	트이/VV+는/ETM
시발점이	시발점/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.4.1
기후총회 유치위원회는 3일 여수시에서 구체적인 실행계획을 발표했다.

기후총회	기후/NNG+총회/NNG
유치위원회는	유치/NNG+위원회/NNG+는/JX
3일	3/SN+일/NNB
여수시에서	여수시/NNP+에서/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
실행계획을	실행/NNG+계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.78.4.2
핵심은 여수엑스포 유치 당시 '여수'라는 개최도시를 먼저 정하고 한국이 다른 나라와 개최를 놓고 경쟁했던 것처럼, 이번에도 개최국 선정 이전에 개최도시를 우선 정하자는 것이다.

핵심은	핵심/NNG+은/JX
여수엑스포	여수/NNP+엑스포/NNG
유치	유치/NNG
당시	당시/NNG
'여수'라는	'/SS+여수/NNP+'/SS+이/VCP+라는/ETM
개최도시를	개최/NNG+도시/NNG+를/JKO
먼저	먼저/MAG
정하고	정하/VV+고/EC
한국이	한국/NNP+이/JKS
다른	다른/MMD
나라와	나라/NNG+와/JKB
개최를	개최/NNG+를/JKO
놓고	놓/VV+고/EC
경쟁했던	경쟁/NNG+하/XSV+았/EP+던/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
이번에도	이번/NNG+에/JKB+도/JX
개최국	개최국/NNG
선정	선정/NNG
이전에	이전/NNG+에/JKB
우선	우선/MAG
정하자는	정하/VV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.5.1
여수시가 노리는 기후협약 총회는 제18차로, 2012년 12월 열릴 예정이다.

여수시가	여수시/NNP+가/JKS
노리는	노리/VV+는/ETM
기후협약	기후/NNG+협약/NNG
총회는	총회/NNG+는/JX
제18차로,	제/XPN+18/SN+차/NNB+로/JKB+,/SP
2012년	2012/SN+년/NNB
12월	12/SN+월/NNB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.5.2
오는 12월 16차 총회가 열리는 멕시코에서 개최국이 최종 결정된다.

오는	오/VV+는/ETM
12월	12/SN+월/NNB
16차	16/SN+차/NNB
총회가	총회/NNG+가/JKS
열리는	열리/VV+는/ETM
멕시코에서	멕시코/NNP+에서/JKB
개최국이	개최국/NNG+이/JKS
최종	최종/NNG
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.78.5.3
현재 경쟁국은 중동의 카타르 한 나라뿐이다.

현재	현재/MAG
경쟁국은	경쟁국/NNG+은/JX
중동의	중동/NNP+의/JKG
카타르	카타르/NNP
한	한/MMN
나라뿐이다.	나라/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.5.4
중국과 일본이 이미 한국 개최 지지를 선언했기 때문에 한국의 개최가 기정 사실로 받아들여진다.

중국과	중국/NNP+과/JC
일본이	일본/NNP+이/JKS
이미	이미/MAG
한국	한국/NNP
개최	개최/NNG
지지를	지지/NNG+를/JKO
선언했기	선언/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
한국의	한국/NNP+의/JKG
개최가	개최/NNG+가/JKS
기정	기정/NNG
사실로	사실/NNG+로/JKB
받아들여진다.	받아들이/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.78.5.5
본선은 결정됐다.

본선은	본선/NNG+은/JX
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.78.5.6
문제는 예선이다.

문제는	문제/NNG+는/JX
예선이다.	예선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.6.1
예선에 뛰어든 도시는 서울, 부산, 인천, 대전, 여수 5곳.

예선에	예선/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
도시는	도시/NNG+는/JX
서울,	서울/NNP+,/SP
부산,	부산/NNP+,/SP
인천,	인천/NNP+,/SP
대전,	대전/NNP+,/SP
여수	여수/NNP
5곳.	5/SN+곳/NNG+./SF


# id : NWRW1800000026.78.6.2
여수를 제외하곤 모두 대도시다.

여수를	여수/NNP+를/JKO
제외하곤	제외/NNG+하/XSV+곤/EC
모두	모두/MAG
대도시다.	대/XPN+도시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.6.3
고급 숙박시설과 교통 접근 등의 인프라 면에서 여수시는 골리앗과의 싸움을 피할 수 없는 상황.

고급	고급/NNG
숙박시설과	숙박/NNG+시설/NNG+과/JC
교통	교통/NNG
접근	접근/NNG
등의	등/NNB+의/JKG
인프라	인프라/NNG
면에서	면/NNG+에서/JKB
여수시는	여수시/NNP+는/JX
골리앗과의	골리앗/NNP+과/JKB+의/JKG
싸움을	싸움/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황.	상황/NNG+./SF


# id : NWRW1800000026.78.6.4
아직 공식 입장을 밝히지 않은 정부는 오는 12월 개최국이 한국으로 최종 결정되면 이후에야 개최도시를 정한다는 방침이다.

아직	아직/MAG
공식	공식/NNG
입장을	입장/NNG+을/JKO
밝히지	밝히/VV+지/EC
않은	않/VX+은/ETM
정부는	정부/NNG+는/JX
오는	오/VV+는/ETM
12월	12/SN+월/NNB
개최국이	개최국/NNG+이/JKS
한국으로	한국/NNP+으로/JKB
최종	최종/NNG
결정되면	결정/NNG+되/XSV+면/EC
이후에야	이후/NNG+에/JKB+야/JX
개최도시를	개최/NNG+도시/NNG+를/JKO
정한다는	정하/VV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.78.6.5
하지만 기후총회 유치위원회는 당사국 환경 담당자와 유엔기구가 7~8개의 의제 결정을 놓고 1차 실무회의를 진행하는 올 7~8월 이전에 개최도시를 미리 결정하자는 입장이다.

하지만	하지만/MAJ
기후총회	기후/NNG+총회/NNG
유치위원회는	유치/NNG+위원회/NNG+는/JX
당사국	당사국/NNG
환경	환경/NNG
담당자와	담당자/NNG+와/JC
유엔기구가	유엔/NNP+기구/NNG+가/JKS
7~8개의	7/SN+~/SO+8/SN+개/NNB+의/JKG
의제	의제/NNG
결정을	결정/NNG+을/JKO
놓고	놓/VV+고/EC
1차	1/SN+차/NNB
실무회의를	실무/NNG+회의/NNG+를/JKO
진행하는	진행/NNG+하/XSV+는/ETM
올	올/NNG
7~8월	7/SN+~/SO+8/SN+월/NNB
이전에	이전/NNG+에/JKB
개최도시를	개최/NNG+도시/NNG+를/JKO
미리	미리/MAG
결정하자는	결정/NNG+하/XSV+자는/ETM
