# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.392
metadata : {}


# id : NWRW1800000038.392.1.1
SK가 막판에 내놓은 녹취록 카드(김원홍이 최태원 회장·최재원 부회장 등과 통화한 내용)… 反轉이냐, 자충수냐

SK가	SK/SL+가/JKS
막판에	막판/NNG+에/JKB
내놓은	내놓/VV+은/ETM
녹취록	녹취록/NNG
카드(김원홍이	카드/NNG+(/SS+김원홍/NNP+이/JKS
최태원	최태원/NNP
회장·최재원	회장/NNG+·/SP+최재원/NNP
부회장	부회장/NNG
등과	등/NNB+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
내용)…	내용/NNG+)/SS+…/SE
反轉이냐,	反轉/SH+이/VCP+냐/EF+,/SP
자충수냐	자충수/NNG+이/VCP+냐/EF


# id : NWRW1800000038.392.2.1
[최태원 회장 형제 횡령·배임 혐의 항소심… SK측 통화파일 공개, 재판부는 신뢰성 의심

[최태원	[/SS+최태원/NNP
회장	회장/NNG
형제	형제/NNG
횡령·배임	횡령/NNG+·/SP+배임/NNG
혐의	혐의/NNG
항소심…	항소심/NNG+…/SE
SK측	SK/SL+측/NNB
통화파일	통화/NNG+파일/NNG
공개,	공개/NNG+,/SP
재판부는	재판부/NNG+는/JX
신뢰성	신뢰/NNG+성/XSN
의심	의심/NNG


# id : NWRW1800000038.392.3.1
11일 서울 서초동 법원 청사 417호 형사대법정.

11일	11/SN+일/NNB
서울	서울/NNP
서초동	서초동/NNP
법원	법원/NNG
청사	청사/NNG
417호	417/SN+호/NNB
형사대법정.	형사/NNG+대/XPN+법정/NNG+./SF


# id : NWRW1800000038.392.3.2
오전 10시부터 오후 8시까지 계속된 SK 최태원(53) 회장과 동생 최재원(50) 부회장에 대한 공판에서 스피커를 통해 녹음 파일이 공개됐다.

오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
오후	오후/NNG
8시까지	8/SN+시/NNB+까지/JX
계속된	계속/NNG+되/XSV+ㄴ/ETM
SK	SK/SL
최태원(53)	최태원/NNP+(/SS+53/SN+)/SS
회장과	회장/NNG+과/JC
동생	동생/NNG
최재원(50)	최재원/NNP+(/SS+50/SN+)/SS
부회장에	부회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공판에서	공판/NNG+에서/JKB
스피커를	스피커/NNG+를/JKO
통해	통하/VV+아/EC
녹음	녹음/NNG
파일이	파일/NNG+이/JKS
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.392.3.3
