# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.184
metadata : {}


# id : NWRW1800000037.184.1.1
경찰, 성추문 사진유출 관련 검사 2명 첫 입건

경찰,	경찰/NNG+,/SP
성추문	성/NNG+추문/NNG
사진유출	사진/NNG+유출/NNG
관련	관련/NNG
검사	검사/NNG
2명	2/SN+명/NNB
첫	첫/MMN
입건	입건/NNG


# id : NWRW1800000037.184.2.1
언론보도 2시간만에 檢내부 사진파일 3장 제작 내부메신저로 동료에 전송… 외부 유출되자 삽시간 퍼져

언론보도	언론/NNG+보도/NNG
2시간만에	2/SN+시간/NNB+만/NNB+에/JKB
檢내부	檢/SH+내부/NNG
사진파일	사진/NNG+파일/NNG
3장	3/SN+장/NNB
제작	제작/NNG
내부메신저로	내부/NNG+메신저/NNG+로/JKB
동료에	동료/NNG+에/JKB
전송…	전송/NNG+…/SE
외부	외부/NNG
유출되자	유출/NNG+되/XSV+자/EC
삽시간	삽시간/NNG
퍼져	퍼지/VV+어/EF


# id : NWRW1800000037.184.3.1
‘현직 검사가 조사실에서 40대 여성 피의자와 성관계를 가졌다’는 내용이 처음 언론에 보도된 것은 지난해 11월 22일 오후 4시경이었다.

‘현직	‘/SS+현직/NNG
검사가	검사/NNG+가/JKS
조사실에서	조사실/NNG+에서/JKB
40대	40/SN+대/NNB
여성	여성/NNG
피의자와	피의자/NNG+와/JKB
성관계를	성관계/NNG+를/JKO
가졌다’는	가지/VV+었/EP+다/EF+’/SS+는/ETM
내용이	내용/NNG+이/JKS
처음	처음/NNG
언론에	언론/NNG+에/JKB
보도된	보도/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
22일	22/SN+일/NNB
오후	오후/NNG
4시경이었다.	4/SN+시/NNB+경/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.184.3.2
그로부터 단 2시간 만에 검찰 내부에서 피의자 A 씨의 사진 파일 3장이 만들어졌다.

그로부터	그/NP+로부터/JKB
단	단/MMA
2시간	2/SN+시간/NNB
만에	만/NNB+에/JKB
검찰	검찰/NNG
내부에서	내부/NNG+에서/JKB
피의자	피의자/NNG
A	A/SL
씨의	씨/NNB+의/JKG
사진	사진/NNG
파일	파일/NNG
3장이	3/SN+장/NNB+이/JKS
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.184.4.1
의정부지검 K 검사는 A 씨 개인정보를 정모 실무관에게 주고 사진을 구해오라고 지시했다.

의정부지검	의정부지검/NNP
K	K/SL
검사는	검사/NNG+는/JX
A	A/SL
씨	씨/NNB
개인정보를	개인/NNG+정보/NNG+를/JKO
정모	정/NNP+모/NP
실무관에게	실무관/NNG+에게/JKB
주고	주/VV+고/EC
사진을	사진/NNG+을/JKO
구해오라고	구하/VV+아/EC+오/VX+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.4.2
정 실무관은 동료인 조모 실무관에게 부탁해 한글 파일에 사진을 담아 출력본을 K 검사에게 전달했다.

정	정/NNP
실무관은	실무관/NNG+은/JX
동료인	동료/NNG+이/VCP+ㄴ/ETM
조모	조/NNP+모/NP
실무관에게	실무관/NNG+에게/JKB
부탁해	부탁/NNG+하/XSV+아/EC
한글	한글/NNG
파일에	파일/NNG+에/JKB
사진을	사진/NNG+을/JKO
담아	담/VV+아/EC
출력본을	출력본/NNG+을/JKO
K	K/SL
검사에게	검사/NNG+에게/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.4.3
인천지검 부천지청 P 검사는 직접 A 씨 사진을 캡처해 부장검사 등 6명에게 내부메신저로 전송했다.

인천지검	인천지검/NNP
부천지청	부천지청/NNP
P	P/SL
검사는	검사/NNG+는/JX
직접	직접/MAG
A	A/SL
씨	씨/NNB
사진을	사진/NNG+을/JKO
캡처해	캡처/NNG+하/XSV+아/EC
부장검사	부장/NNG+검사/NNG
등	등/NNB
6명에게	6/SN+명/NNB+에게/JKB
내부메신저로	내부/NNG+메신저/NNG+로/JKB
전송했다.	전송/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.4.4
서울남부지검 남모 수사관도 사진을 파일로 만들어 동료 수사관에게 보냈다.

서울남부지검	서울남부지검/NNP
남모	남/NNP+모/NP
수사관도	수사관/NNG+도/JX
사진을	사진/NNG+을/JKO
파일로	파일/NNG+로/JKB
만들어	만들/VV+어/EC
동료	동료/NNG
수사관에게	수사관/NNG+에게/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.184.5.1
경찰에 소환돼 조사받은 검찰 직원들은 “검사면 모든 사건 내용을 다 알 필요가 있다(K 검사)”, “사건을 모르는 동료 직원에게 알리기 위해서 했다(P 검사)”, “동료가 사건을 궁금해하길래 보냈다(남 수사관)” 등의 진술을 한 것으로 알려졌다.

경찰에	경찰/NNG+에/JKB
소환돼	소환/NNG+되/XSV+어/EC
조사받은	조사/NNG+받/XSV+은/ETM
검찰	검찰/NNG
직원들은	직원/NNG+들/XSN+은/JX
“검사면	“/SS+검사/NNG+이/VCP+면/EC
모든	모든/MMN
사건	사건/NNG
내용을	내용/NNG+을/JKO
다	다/MAG
알	알/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다(K	있/VA+다/EF+(/SS+K/SL
검사)”,	검사/NNG+)/SS+”/SS+,/SP
“사건을	“/SS+사건/NNG+을/JKO
모르는	모르/VV+는/ETM
동료	동료/NNG
직원에게	직원/NNG+에게/JKB
알리기	알리/VV+기/ETN
위해서	위하/VV+아서/EC
했다(P	하/VV+았/EP+다/EF+(/SS+P/SL
“동료가	“/SS+동료/NNG+가/JKS
사건을	사건/NNG+을/JKO
궁금해하길래	궁금하/VA+아/EC+하/VX+길래/EC
보냈다(남	보내/VV+었/EP+다/EF+(/SS+남/NNP
수사관)”	수사관/NNG+)/SS+”/SS
등의	등/NNB+의/JKG
진술을	진술/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.184.6.1
검찰 전산망에서 사진을 확보하려면 주민등록번호를 알아야 하는데 소환 조사를 받은 검사 등은 “이름만 알면 주민번호를 알 수 있다”고 진술했다고 한다.

검찰	검찰/NNG
전산망에서	전산망/NNG+에서/JKB
사진을	사진/NNG+을/JKO
확보하려면	확보/NNG+하/XSV+려면/EC
주민등록번호를	주민/NNG+등록/NNG+번호/NNG+를/JKO
알아야	알/VV+아야/EC
하는데	하/VX+는데/EC
소환	소환/NNG
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
검사	검사/NNG
등은	등/NNB+은/JX
“이름만	“/SS+이름/NNG+만/JX
알면	알/VV+면/EC
주민번호를	주민/NNG+번호/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.184.6.2
경찰 관계자는 “검찰 내부에 피의자 개인 신상이나 인권보호에 대한 자체 제어장치가 있는지 의문”이라고 지적했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“검찰	“/SS+검찰/NNG
내부에	내부/NNG+에/JKB
피의자	피의자/NNG
개인	개인/NNG
신상이나	신상/NNG+이나/JC
인권보호에	인권/NNG+보호/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자체	자체/NNG
제어장치가	제어/NNG+장치/NNG+가/JKS
있는지	있/VA+는지/EF
의문”이라고	의문/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.7.1
의정부지검 조 실무관이 만든 한글 파일은 내부 메신저로 14단계를 거쳐 수원지검 안산지청 나모 실무관에게 도착했다.

의정부지검	의정부지검/NNP
조	조/NNP
실무관이	실무관/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
한글	한글/NNG
파일은	파일/NNG+은/JX
내부	내부/NNG
메신저로	메신저/NNG+로/JKB
14단계를	14/SN+단계/NNG+를/JKO
거쳐	거치/VV+어/EC
수원지검	수원지검/NNP
안산지청	안산/NNP+지청/NNG
나모	나/NNP+모/NP
실무관에게	실무관/NNG+에게/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.184.7.2
22일 저녁 나 실무관은 한글 파일에서 사진만 따로 분리한 다음 카카오톡으로 외부인인 법무부의 한 공익법무관에게 보냈다.

22일	22/SN+일/NNB
저녁	저녁/NNG
나	나/NNP
실무관은	실무관/NNG+은/JX
한글	한글/NNG
파일에서	파일/NNG+에서/JKB
사진만	사진/NNG+만/JX
따로	따로/MAG
분리한	분리/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
카카오톡으로	카카오톡/NNP+으로/JKB
외부인인	외부인/NNG+이/VCP+ㄴ/ETM
법무부의	법무부/NNG+의/JKG
한	한/MMN
공익법무관에게	공익/NNG+법무관/NNG+에게/JKB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.184.7.3
이렇게 유출된 사진은 급속도로 퍼졌다.

이렇게	이렇/VA+게/EC
유출된	유출/NNG+되/XSV+ㄴ/ETM
사진은	사진/NNG+은/JX
급속도로	급속도/NNG+로/JKB
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.184.7.4
법조인, 금융인 등 17단계를 거쳐 26일 오전 A 씨 고소 대리인인 정철승 변호사에게도 도착했다.

법조인,	법조인/NNG+,/SP
금융인	금융인/NNG
등	등/NNB
