# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.322
metadata : {}


# id : NWRW1800000032.322.1.1
앙리, 아스널서 훈련…주영, 기회가 안보인다

앙리,	앙리/NNP+,/SP
아스널서	아스널/NNP+서/JKB
훈련…주영,	훈련/NNG+…/SE+주영/NNP+,/SP
기회가	기회/NNG+가/JKS
안보인다	안/MAG+보이/VV+ㄴ다/EF


# id : NWRW1800000032.322.2.1
벵거 감독 “영입 신중 고민”

벵거	벵거/NNP
감독	감독/NNG
“영입	“/SS+영입/NNG
신중	신중/NNG
고민”	고민/NNG+”/SS


# id : NWRW1800000032.322.3.1
내년 백업 공격수로 삼을듯

내년	내년/NNG
백업	백업/NNG
공격수로	공격수/NNG+로/JKB
삼을듯	삼/VV+을/ETM+듯/NNB


# id : NWRW1800000032.322.4.1
주영, 올해 리그 최종전 결장

주영,	주영/NNP+,/SP
올해	올해/NNG
리그	리그/NNG
최종전	최종전/NNG
결장	결장/NNG


# id : NWRW1800000032.322.5.1
아스널의 전설 티에리 앙리(34·뉴욕 레드불스)가 아스널 훈련에 합류한 것으로 알려지면서 박주영(26·아스널)의 입지가 더 좁아지게 됐다.

아스널의	아스널/NNP+의/JKG
전설	전설/NNG
티에리	티에리/NNP
앙리(34·뉴욕	앙리/NNP+(/SS+34/SN+·/SP+뉴욕/NNP
레드불스)가	레드불스/NNP+)/SS+가/JKS
아스널	아스널/NNP
훈련에	훈련/NNG+에/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려지면서	알려지/VV+면서/EC
박주영(26·아스널)의	박주영/NNP+(/SS+26/SN+·/SP+아스널/NNP+)/SS+의/JKG
입지가	입지/NNG+가/JKS
더	더/MAG
좁아지게	좁아지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.322.6.1
프랑스 일간지 <레키프>는 28일(한국시각) “앙리가 미국 프로축구 휴식기를 맞아 옛 소속팀인 아스널에서 훈련을 하고 있다”고 전했다.

프랑스	프랑스/NNP
일간지	일간지/NNG
<레키프>는	</SS+레키프/NNP+>/SS+는/JX
28일(한국시각)	28/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
“앙리가	“/SS+앙리/NNP+가/JKS
미국	미국/NNP
프로축구	프로/NNG+축구/NNG
휴식기를	휴식기/NNG+를/JKO
맞아	맞/VV+아/EC
옛	옛/MMA
소속팀인	소속/NNG+팀/NNG+이/VCP+ㄴ/ETM
아스널에서	아스널/NNP+에서/JKB
훈련을	훈련/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.322.6.2
앙리는 1999년부터 2007년까지 아스널에서 뛰면서 369경기에 출장해 226골을 터뜨린 특급 골잡이다.

앙리는	앙리/NNP+는/JX
1999년부터	1999/SN+년/NNB+부터/JX
2007년까지	2007/SN+년/NNB+까지/JX
아스널에서	아스널/NNP+에서/JKB
뛰면서	뛰/VV+면서/EC
369경기에	369/SN+경기/NNG+에/JKB
출장해	출장/NNG+하/XSV+아/EC
226골을	226/SN+골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
특급	특급/NNG
골잡이다.	골잡이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.322.6.3
아스널 미드필더 알렉스 송은 <레키프>와의 인터뷰에서 “앙리의 훈련 모습을 보고 ‘우리와 함께해도 될 것 같다’고 말했더니 그저 웃기만 하더라”며 “앙리가 많은 것을 주고 갈 수 있을 것”이라고 말했다.

아스널	아스널/NNP
미드필더	미드필더/NNG
알렉스	알렉스/NNP
송은	송/NNP+은/JX
<레키프>와의	</SS+레키프/NNP+>/SS+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“앙리의	“/SS+앙리/NNP+의/JKG
훈련	훈련/NNG
모습을	모습/NNG+을/JKO
보고	보/VV+고/EC
‘우리와	‘/SS+우리/NP+와/JKB
함께해도	함께/MAG+하/XSV+아도/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같다’고	같/VA+다/EF+’/SS+고/JKQ
말했더니	말/NNG+하/XSV+았/EP+더니/EC
그저	그저/MAG
웃기만	웃/VV+기/ETN+만/JX
하더라”며	하/VV+더라/EF+”/SS+며/EC
“앙리가	“/SS+앙리/NNP+가/JKS
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
주고	주/VV+고/EC
갈	가/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.322.7.1
아스널은 그동안 주전 공격수 제르비뉴와 마루안 샤마크가 내년 1월 시작되는 아프리카네이션스컵 모국 대표에 차출됨에 따라 앙리를 데려와 백업 공격진을 강화하는 방안을 검토해왔다.

아스널은	아스널/NNP+은/JX
그동안	그동안/NNG
주전	주전/NNG
공격수	공격수/NNG
제르비뉴와	제르비뉴/NNP+와/JC
마루안	마루안/NNP
샤마크가	샤마크/NNP+가/JKS
내년	내년/NNG
1월	1/SN+월/NNB
시작되는	시작/NNG+되/XSV+는/ETM
아프리카네이션스컵	아프리카네이션스컵/NNP
모국	모국/NNG
대표에	대표/NNG+에/JKB
차출됨에	차출/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
앙리를	앙리/NNP+를/JKO
데려와	데려오/VV+아/EC
백업	백업/NNG
공격진을	공격진/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토해왔다.	검토/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.322.8.1
아르센 벵거 아스널 감독은 구단 누리집을 통해 “앙리 영입을 신중하게 생각하고 있다.

아르센	아르센/NNP
벵거	벵거/NNP
아스널	아스널/NNP
감독은	감독/NNG+은/JX
구단	구단/NNG
누리집을	누리집/NNG+을/JKO
통해	통하/VV+아/EC
“앙리	“/SS+앙리/NNP
영입을	영입/NNG+을/JKO
신중하게	신중/NNG+하/XSA+게/EC
생각하고	생각/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.322.8.2
단기 계약이 현재로서는 우리에게 이상적인 선택”이라고 말했다.

단기	단기/NNG
계약이	계약/NNG+이/JKS
현재로서는	현재/NNG+로서/JKB+는/JX
우리에게	우리/NP+에게/JKB
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
선택”이라고	선택/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.322.8.3
앙리 영입이 확정되면 박주영의 입지는 더 좁아질 가능성이 크다.

앙리	앙리/NNP
영입이	영입/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
박주영의	박주영/NNP+의/JKG
입지는	입지/NNG+는/JX
더	더/MAG
좁아질	좁아지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000032.322.9.1
이런 가운데 박주영은 이날 잉글랜드 에미리트스타디움에서 열린 울버햄프턴과의 18라운드 홈경기에서 교체 출전 명단에도 오르지 못했다.

이런	이런/MMD
가운데	가운데/NNG
박주영은	박주영/NNP+은/JX
이날	이날/NNG
잉글랜드	잉글랜드/NNP
에미리트스타디움에서	에미리트스타디움/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
울버햄프턴과의	울버햄프턴/NNP+과/JKB+의/JKG
18라운드	18/SN+라운드/NNG
홈경기에서	홈경기/NNG+에서/JKB
교체	교체/NNG
출전	출전/NNG
명단에도	명단/NNG+에/JKB+도/JX
오르지	오르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.322.9.2
로빈 판페르시와 제르비뉴가 최전방에 나섰고, 박주영과 주전 경쟁을 벌이고 있는 샤마크가 후반 교체 출전했다.

로빈	로빈/NNP
판페르시와	판페르시/NNP+와/JC
제르비뉴가	제르비뉴/NNP+가/JKS
최전방에	최/XPN+전방/NNG+에/JKB
나섰고,	나서/VV+었/EP+고/EC+,/SP
박주영과	박주영/NNP+과/JKB
주전	주전/NNG
경쟁을	경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
샤마크가	샤마크/NNP+가/JKS
후반	후반/NNG
교체	교체/NNG
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.322.9.3
