# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.370
metadata : {}


# id : NWRW1800000033.370.1.1
文측 이목희-이인영 安측 박선숙-김성식 ‘창구’ 거론

文측	文/SH+측/NNB
이목희-이인영	이목희/NNP+-/SO+이인영/NNP
安측	安/SH+측/NNB
박선숙-김성식	박선숙/NNP+-/SO+김성식/NNP
‘창구’	‘/SS+창구/NNG+’/SS
거론	거론/NNG


# id : NWRW1800000033.370.2.1
■ 실무협상 누가 나설까… 정책분야선 이정우-장하성

■	■/SW
실무협상	실무/NNG+협상/NNG
누가	누구/NP+가/JKS
나설까…	나서/VV+ㄹ까/EF+…/SE
정책분야선	정책/NNG+분야/NNG+서/JKB+ㄴ/JX
이정우-장하성	이정우/NNP+-/SO+장하성/NNP


# id : NWRW1800000033.370.3.1
민주통합당 문재인, 무소속 안철수 후보가 6일 단일화 회동을 갖지만 정작 어려운 고비는 이후 양측의 실무협상이다.

민주통합당	민주통합당/NNP
문재인,	문재인/NNP+,/SP
무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
6일	6/SN+일/NNB
단일화	단일/NNG+화/XSN
회동을	회동/NNG+을/JKO
갖지만	갖/VV+지만/EC
정작	정작/MAG
어려운	어렵/VA+ㄴ/ETM
고비는	고비/NNG+는/JX
이후	이후/NNG
양측의	양측/NNG+의/JKG
실무협상이다.	실무/NNG+협상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.3.2
단일화 시기와 방식, 정책합의 등은 양측의 단일화 협상 창구로 나서는 ‘선수’들의 몫이다.

단일화	단일/NNG+화/XSN
시기와	시기/NNG+와/JC
방식,	방식/NNG+,/SP
정책합의	정책/NNG+합의/NNG
등은	등/NNB+은/JX
양측의	양측/NNG+의/JKG
협상	협상/NNG
창구로	창구/NNG+로/JKB
나서는	나서/VV+는/ETM
‘선수’들의	‘/SS+선수/NNG+’/SS+들/XSN+의/JKG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.4.1
문 후보 측 우상호 공보단장은 5일 협상대표에 대해 “아직 정하지 않았다”고 말했다.

문	문/NNP
후보	후보/NNG
측	측/NNB
우상호	우상호/NNP
공보단장은	공보단장/NNG+은/JX
5일	5/SN+일/NNB
협상대표에	협상/NNG+대표/NNG+에/JKB
대해	대하/VV+아/EC
“아직	“/SS+아직/MAG
정하지	정하/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.370.4.2
하지만 문 캠프에선 이목희 기획본부장과 이인영 김부겸 공동선거대책위원장이 거론된다.

하지만	하지만/MAJ
문	문/NNP
캠프에선	캠프/NNG+에서/JKB+ㄴ/JX
이목희	이목희/NNP
기획본부장과	기획/NNG+본부장/NNG+과/JC
이인영	이인영/NNP
김부겸	김부겸/NNP
공동선거대책위원장이	공동/NNG+선거/NNG+대책/NNG+위원장/NNG+이/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.370.4.3
이 본부장은 당 대선후보 경선 때부터 전략기획을 도맡았다.

이	이/NNP
본부장은	본부장/NNG+은/JX
당	당/NNG
대선후보	대선/NNG+후보/NNG
경선	경선/NNG
때부터	때/NNG+부터/JX
전략기획을	전략/NNG+기획/NNG+을/JKO
도맡았다.	도맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.370.4.4
안철수재단 이사인 윤정숙 씨가 부인이라 안 후보와도 가깝다는 평이다.

안철수재단	안철수재단/NNP
이사인	이사/NNG+이/VCP+ㄴ/ETM
윤정숙	윤정숙/NNP
씨가	씨/NNB+가/JKS
부인이라	부인/NNG+이/VCP+라/EC
안	안/NNP
후보와도	후보/NNG+와/JKB+도/JX
가깝다는	가깝/VA+다는/ETM
평이다.	평/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.370.5.1
이인영 위원장은 지난해 10·26 서울시장 보궐선거 당시 박원순 후보와의 단일화 협상에서 박영선 민주당 후보 측 협상대표를 맡은 이력이 있다.

이인영	이인영/NNP
위원장은	위원장/NNG+은/JX
지난해	지난해/NNG
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
당시	당시/NNG
박원순	박원순/NNP
후보와의	후보/NNG+와/JKB+의/JKG
단일화	단일/NNG+화/XSN
협상에서	협상/NNG+에서/JKB
박영선	박영선/NNP
민주당	민주당/NNP
후보	후보/NNG
측	측/NNB
협상대표를	협상/NNG+대표/NNG+를/JKO
맡은	맡/VV+은/ETM
이력이	이력/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.370.5.2
김 위원장은 재야인사는 물론이고 안 후보 측 김성식 공동선대본부장과 친분이 두터운 것이 강점이다.

김	김/NNP
위원장은	위원장/NNG+은/JX
재야인사는	재야인사/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
안	안/NNP
후보	후보/NNG
측	측/NNB
김성식	김성식/NNP
공동선대본부장과	공동/NNG+선대/NNG+본부장/NNG+과/JKB
친분이	친분/NNG+이/JKS
