# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.391
metadata : {}


# id : NWRW1800000037.391.1.1
“사이버 방어는 고유업무” vs “美, CIA 정치관여 엄벌”

“사이버	“/SS+사이버/NNG
방어는	방어/NNG+는/JX
고유업무”	고유/NNG+업무/NNG+”/SS
vs	vs/SL
“美,	“/SS+美/SH+,/SP
CIA	CIA/SL
정치관여	정치/NNG+관여/NNG
엄벌”	엄벌/NNG+”/SS


# id : NWRW1800000037.391.2.1
여야, 국정원특위 첫 공청회서 공방

여야,	여야/NNG+,/SP
국정원특위	국정원특위/NNP
첫	첫/MMN
공청회서	공청회/NNG+서/JKB
공방	공방/NNG


# id : NWRW1800000037.391.3.1
국회 국가정보원개혁특위가 16일 국정원의 ‘정치적 중립성’ 강화 방안 마련을 위해 개최한 공청회에서 여야 특위 위원들은 대선개입 논란이 일었던 국정원의 사이버심리전 및 대공수사권 폐지 등을 놓고 날선 공방을 벌였다.

국회	국회/NNG
국가정보원개혁특위가	국가정보원개혁특위/NNP+가/JKS
16일	16/SN+일/NNB
국정원의	국정원/NNG+의/JKG
‘정치적	‘/SS+정치/NNG+적/XSN
중립성’	중립/NNG+성/XSN+’/SS
강화	강화/NNG
방안	방안/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+아/EC
개최한	개최/NNG+하/XSV+ㄴ/ETM
공청회에서	공청회/NNG+에서/JKB
여야	여야/NNG
특위	특위/NNG
위원들은	위원/NNG+들/XSN+은/JX
대선개입	대선/NNG+개입/NNG
논란이	논란/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
사이버심리전	사이버/NNG+심리전/NNG
및	및/MAG
대공수사권	대공/NNG+수사/NNG+권/XSN
폐지	폐지/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
날선	날/NNG+서/VV+ㄴ/ETM
공방을	공방/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.391.4.1
새누리당 김회선 의원은 이날 외부 전문가들의 발제가 끝난 뒤 질의를 통해 “참여정부 핵심 인사들도 대공수사권 폐지나 국내 파트 폐지는 우리 안보현실에서 있을 수 없다고 했다”면서 “북한에서 사이버 공격이 들어오면 이에 대응하는 것은 정보기관의 당연한 업무”라고 강조했다.

새누리당	새누리당/NNP
김회선	김회선/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
외부	외부/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
발제가	발제/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
질의를	질의/NNG+를/JKO
통해	통하/VV+아/EC
“참여정부	“/SS+참여/NNG+정부/NNG
핵심	핵심/NNG
인사들도	인사/NNG+들/XSN+도/JX
대공수사권	대공/NNG+수사/NNG+권/XSN
폐지나	폐지/NNG+나/JC
국내	국내/NNG
파트	파트/NNG
폐지는	폐지/NNG+는/JX
우리	우리/NP
안보현실에서	안보/NNG+현실/NNG+에서/JKB
있을	있/VA+을/ETM
수	수/NNB
없다고	없/VA+다고/EC
했다”면서	하/VV+았/EP+다/EF+”/SS+면서/EC
“북한에서	“/SS+북한/NNP+에서/JKB
사이버	사이버/NNG
공격이	공격/NNG+이/JKS
들어오면	들어오/VV+면/EC
이에	이/NP+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
정보기관의	정보기관/NNG+의/JKG
당연한	당연/NNG+하/XSA+ㄴ/ETM
업무”라고	업무/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.391.5.1
국정원 직원 출신인 이철우 새누리당 의원은 “미국도 국내와 해외 파트를 분리하니까 문제가 많다고 해서 통합한다”면서 “대공수사도 수사권이 있어야 정보를 수집할 수 있고 감청을 하려고 해도 수사권이 있어야 한다.

국정원	국정원/NNG
직원	직원/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
이철우	이철우/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
“미국도	“/SS+미국/NNP+도/JX
국내와	국내/NNG+와/JC
해외	해외/NNG
파트를	파트/NNG+를/JKO
분리하니까	분리/NNG+하/XSV+니까/EC
문제가	문제/NNG+가/JKS
많다고	많/VA+다고/EC
해서	하/VV+아서/EC
통합한다”면서	통합/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC
“대공수사도	“/SS+대공/NNG+수사/NNG+도/JX
수사권이	수사/NNG+권/XSN+이/JKS
있어야	있/VA+어야/EC
정보를	정보/NNG+를/JKO
수집할	수집/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
감청을	감청/NNG+을/JKO
하려고	하/VV+려고/EC
해도	하/VX+아도/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.391.5.2
대공수사를 떼면 국정원 해체 수준까지 가는 것”이라고 말했다.

대공수사를	대공/NNG+수사/NNG+를/JKO
떼면	떼/VV+면/EC
국정원	국정원/NNG
해체	해체/NNG
수준까지	수준/NNG+까지/JX
가는	가/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.391.6.1
반면 민주당 민병두 의원은 “미국은 1947년 국가안전보장법에서 미국민을 상대로는 긴급한 경우를 제외하고는 심리전을 할 수 없다면서 금지했다”고 강조했다.

반면	반면/NNG
민주당	민주당/NNP
민병두	민병두/NNP
의원은	의원/NNG+은/JX
“미국은	“/SS+미국/NNP+은/JX
1947년	1947/SN+년/NNB
국가안전보장법에서	국가/NNG+안전/NNG+보장법/NNG+에서/JKB
미국민을	미/NNP+국민/NNG+을/JKO
상대로는	상대/NNG+로/JKB+는/JX
긴급한	긴급/NNG+하/XSA+ㄴ/ETM
경우를	경우/NNG+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
심리전을	심리전/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없다면서	없/VA+다면서/EC
금지했다”고	금지/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.391.6.2
이어 “공무원의 정치활동을 못하도록 만든 미국 법안인 2012년 해치법 등은 정보기구의 정치 관여 시 더 강도 높은 처벌을 명시했다”며 “CIA 등 종사자는 해치법에 따라 정당이나 단체의 페이스북 등을 리트윗해서는 안 된다고 해석돼 왔다”고 말했다.

이어	이어/MAG
“공무원의	“/SS+공무원/NNG+의/JKG
정치활동을	정치/NNG+활동/NNG+을/JKO
못하도록	못/MAG+하/VV+도록/EC
만든	만들/VV+ㄴ/ETM
미국	미국/NNP
법안인	법안/NNG+이/VCP+ㄴ/ETM
2012년	2012/SN+년/NNB
해치법	해치법/NNG
등은	등/NNB+은/JX
정보기구의	정보/NNG+기구/NNG+의/JKG
정치	정치/NNG
관여	관여/NNG
시	시/NNB
더	더/MAG
강도	강도/NNG
높은	높/VA+은/ETM
처벌을	처벌/NNG+을/JKO
