# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.372
metadata : {}


# id : NWRW1800000052.372.1.1
휴가간 박원순, 강진 흙집 손학규 찾아가

휴가간	휴가/NNG+가/VV+ㄴ/ETM
박원순,	박원순/NNP+,/SP
강진	강진/NNP
흙집	흙집/NNG
손학규	손학규/NNP
찾아가	찾아가/VV+아/EF


# id : NWRW1800000052.372.2.1
[한겨레] 17일…박시장쪽 “개인적 친분”

[한겨레]	[/SS+한겨레/NNP+]/SS
17일…박시장쪽	17/SN+일/NNB+…/SE+박/NNP+시장/NNG+쪽/NNB
“개인적	“/SS+개인/NNG+적/XSN
친분”	친분/NNG+”/SS


# id : NWRW1800000052.372.3.1
야권 “문재인 견제 뜻 모았나” 촉각

야권	야권/NNG
“문재인	“/SS+문재인/NNP
견제	견제/NNG
뜻	뜻/NNG
모았나”	모으/VV+았/EP+나/EF+”/SS
촉각	촉각/NNG


# id : NWRW1800000052.372.4.1
문쪽도 “출사 의견 조율했을 것” 관심

문쪽도	문/NNP+쪽/NNB+도/JX
“출사	“/SS+출사/NNG
의견	의견/NNG
조율했을	조율/NNG+하/XSV+았/EP+을/ETM
것”	것/NNB+”/SS
관심	관심/NNG


# id : NWRW1800000052.372.5.1
박원순 서울시장이 최근 전남 강진을 방문해 손학규 전 더불어민주당 상임고문과 만난 것으로 알려져 주목된다.

박원순	박원순/NNP
서울시장이	서울시장/NNG+이/JKS
최근	최근/MAG
전남	전남/NNP
강진을	강진/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
손학규	손학규/NNP
전	전/MMD
더불어민주당	더불어민주당/NNP
상임고문과	상임/NNG+고문/NNG+과/JKB
만난	만나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.372.5.2
박 시장 쪽 관계자는 18일 “박 시장이 이번주 휴가를 전남 지역으로 떠났는데, 마침 가까운 곳에 손 전 고문이 머물고 있어 찾아간 것”이라며 “특별한 정치적 의미를 부여하지는 말아달라”고 말했다.

박	박/NNP
시장	시장/NNG
쪽	쪽/NNB
관계자는	관계자/NNG+는/JX
18일	18/SN+일/NNB
“박	“/SS+박/NNP
시장이	시장/NNG+이/JKS
이번주	이번/NNG+주/NNG
휴가를	휴가/NNG+를/JKO
전남	전남/NNP
지역으로	지역/NNG+으로/JKB
떠났는데,	떠나/VV+았/EP+는데/EC+,/SP
마침	마침/MAG
가까운	가깝/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
손	손/NNP
전	전/MMD
고문이	고문/NNG+이/JKS
머물고	머물/VV+고/EC
있어	있/VX+어/EC
찾아간	찾아가/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“특별한	“/SS+특별/NNG+하/XSA+ㄴ/ETM
정치적	정치/NNG+적/XSN
의미를	의미/NNG+를/JKO
부여하지는	부여/NNG+하/XSV+지/EC+는/JX
말아달라”고	말/VX+아/EC+달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.372.5.3
야권에선 이번 만남을 두고 “내년 대선 출마를 노리는 두 사람이 문 전 대표의 독주 체제를 견제해야 한다는 데 뜻을 모은 것 아니냐”는 관측이 나온다.

야권에선	야권/NNG+에서/JKB+ㄴ/JX
이번	이번/NNG
만남을	만남/NNG+을/JKO
두고	두/VV+고/EC
“내년	“/SS+내년/NNG
대선	대선/NNG
출마를	출마/NNG+를/JKO
노리는	노리/VV+는/ETM
두	두/MMN
사람이	사람/NNG+이/JKS
문	문/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
독주	독주/NNG
체제를	체제/NNG+를/JKO
견제해야	견제/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
뜻을	뜻/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
것	것/NNB
아니냐”는	아니/VCN+냐/EF+”/SS+는/ETM
관측이	관측/NNG+이/JKS
