# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.301
metadata : {}


# id : NWRW1800000049.301.1.1
[단독]정부 “나진-하산프로젝트 지원 중단”

[단독]정부	[/SS+단독/NNG+]/SS+정부/NNG
“나진-하산프로젝트	“/SS+나진/NNP+-/SO+하산/NNP+프로젝트/NNG
지원	지원/NNG
중단”	중단/NNG+”/SS


# id : NWRW1800000049.301.2.1
첫 남북러 협력사업 무산 위기… 정부, 남북기금 대출 무기한 보류 국제사회도 추가 대북 제재 가속… 3월 본계약 성사 여부 불투명

첫	첫/MMN
남북러	남북/NNP+러/NNP
협력사업	협력/NNG+사업/NNG
무산	무산/NNG
위기…	위기/NNG+…/SE
정부,	정부/NNG+,/SP
남북기금	남북/NNP+기금/NNG
대출	대출/NNG
무기한	무/XPN+기한/NNG
보류	보류/NNG
국제사회도	국제/NNG+사회/NNG+도/JX
추가	추가/NNG
대북	대북/NNG
제재	제재/NNG
가속…	가속/NNG+…/SE
3월	3/SN+월/NNB
본계약	본계약/NNG
성사	성사/NNG
여부	여부/NNG
불투명	불/XPN+투명/NNG


# id : NWRW1800000049.301.3.1
정부가 북한의 4차 핵실험 이후 남북한과 러시아 간 협력사업인 나진∼하산 물류 프로젝트에 대한 금융 지원을 잠정 중단하기로 했다.

정부가	정부/NNG+가/JKS
북한의	북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
남북한과	남북한/NNP+과/JC
러시아	러시아/NNP
간	간/NNB
협력사업인	협력/NNG+사업/NNG+이/VCP+ㄴ/ETM
나진∼하산	나진/NNP+∼/SO+하산/NNP
물류	물류/NNG
프로젝트에	프로젝트/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융	금융/NNG
지원을	지원/NNG+을/JKO
잠정	잠정/NNG
중단하기로	중단/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.301.3.2
게다가 미국과 유엔이 북한의 핵실험에 따른 추가적인 대북 제재를 검토하고 있어 이대로라면 프로젝트 자체가 무산될 수도 있다는 전망까지 나온다.

게다가	게다가/MAG
미국과	미국/NNP+과/JC
유엔이	유엔/NNP+이/JKS
북한의	북한/NNP+의/JKG
핵실험에	핵/NNG+실험/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
제재를	제재/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있어	있/VX+어/EC
이대로라면	이대로/MAG+이/VCP+라면/EC
프로젝트	프로젝트/NNG
자체가	자체/NNG+가/JKS
무산될	무산/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
전망까지	전망/NNG+까지/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.301.4.1
14일 기획재정부 등 관련 부처에 따르면 정부는 나진∼하산 프로젝트 참여 기업에 대한 남북협력기금 대출 지원 방안을 무기한 보류하기로 했다.

14일	14/SN+일/NNB
기획재정부	기획/NNG+재정부/NNG
등	등/NNB
관련	관련/NNG
부처에	부처/NNG+에/JKB
따르면	따르/VV+면/EC
정부는	정부/NNG+는/JX
나진∼하산	나진/NNP+∼/SO+하산/NNP
프로젝트	프로젝트/NNG
참여	참여/NNG
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
남북협력기금	남북협력기금/NNP
대출	대출/NNG
지원	지원/NNG
방안을	방안/NNG+을/JKO
무기한	무/XPN+기한/NNG
보류하기로	보류/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.301.4.2
이 프로젝트는 러시아 하산과 북한 나진을 거쳐 한국으로 유연탄 등 물자를 실어 나르는 사업으로, 포스코 현대상선 코레일 등 3개사가 북-러 합작회사인 나선콘트란스의 러시아 지분 49%를 사들이는 방식으로 참여한다.

이	이/MMD
프로젝트는	프로젝트/NNG+는/JX
러시아	러시아/NNP
하산과	하산/NNP+과/JC
북한	북한/NNP
나진을	나진/NNP+을/JKO
거쳐	거치/VV+어/EC
한국으로	한국/NNP+으로/JKB
유연탄	유연탄/NNG
등	등/NNB
물자를	물자/NNG+를/JKO
실어	싣/VV+어/EC
나르는	나르/VV+는/ETM
사업으로,	사업/NNG+으로/JKB+,/SP
포스코	포스코/NNP
현대상선	현대상선/NNP
코레일	코레일/NNP
3개사가	3/SN+개사/NNB+가/JKS
북-러	북/NNP+-/SO+러/NNP
합작회사인	합작/NNG+회사/NNG+이/VCP+ㄴ/ETM
나선콘트란스의	나선콘트란스/NNP+의/JKG
지분	지분/NNG
49%를	49/SN+%/SW+를/JKO
사들이는	사들이/VV+는/ETM
방식으로	방식/NNG+으로/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.301.5.1
정부는 지난해 말 수출입은행을 통해 남북협력기금 약 1000억 원을 연 2%대의 낮은 이자를 받고 포스코 등 3사에 대출해주기로 결정했다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
말	말/NNB
수출입은행을	수출입은행/NNP+을/JKO
통해	통하/VV+아/EC
남북협력기금	남북협력기금/NNP
약	약/MMA
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
연	연/NNG
2%대의	2/SN+%/SW+대/XSN+의/JKG
낮은	낮/VA+은/ETM
이자를	이자/NNG+를/JKO
받고	받/VV+고/EC
포스코	포스코/NNP
등	등/NNB
3사에	3/SN+사/NNG+에/JKB
대출해주기로	대출/NNG+하/XSV+아/EC+주/VX+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.301.5.2
5·24 조치에 따라 남북 경협이 금지된 상황에서도 현 정부가 대북 투자 기업에 세금을 지원하기로 했다는 점에서 주목을 받았다.

5·24	5/SN+·/SP+24/SN
조치에	조치/NNG+에/JKB
따라	따르/VV+아/EC
남북	남북/NNP
경협이	경협/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
상황에서도	상황/NNG+에서/JKB+도/JX
현	현/MMD
정부가	정부/NNG+가/JKS
대북	대북/NNG
투자	투자/NNG
기업에	기업/NNG+에/JKB
세금을	세금/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다는	하/VV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.301.6.1
하지만 정부의 이 같은 방침은 이달 6일 북한이 핵실험을 감행하면서 완전히 틀어졌다.

하지만	하지만/MAJ
정부의	정부/NNG+의/JKG
이	이/NP
같은	같/VA+은/ETM
방침은	방침/NNG+은/JX
이달	이달/NNG
6일	6/SN+일/NNB
북한이	북한/NNP+이/JKS
핵실험을	핵/NNG+실험/NNG+을/JKO
감행하면서	감행/NNG+하/XSV+면서/EC
완전히	완전히/MAG
틀어졌다.	틀어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.301.6.2
정부 관계자는 “비록 러시아를 통한 간접 투자 방식이지만 현재로서는 정부가 북한에 대한 지원에서 손을 뗄 수밖에 없다”며 “수출입은행이 남북협력기금이 아닌 자체 은행계정을 통해 지원하는 것도 어려운 상황”이라고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
“비록	“/SS+비록/MAG
러시아를	러시아/NNP+를/JKO
통한	통하/VV+ㄴ/ETM
