# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.350
metadata : {}


# id : NWRW1800000028.350.1.1
“아프간전 물자 보급로 막힐라” /미, 파키스탄군 오폭 공식사과

“아프간전	“/SS+아프간전/NNG
물자	물자/NNG
보급로	보급로/NNG
막힐라”	막히/VV+ㄹ라/EF+”/SS
/미,	//SP+미/NNP+,/SP
파키스탄군	파키스탄군/NNG
오폭	오폭/NNG
공식사과	공식/NNG+사과/NNG


# id : NWRW1800000028.350.2.1
지난 엿새간 아프가니스탄으로 향하는 보급로 폐쇄를 둘러싸고 미국과 파키스탄이 벌인 팽팽한 신경전에서 결국 미국이 ‘두 손’ 들었다.

지난	지나/VV+ㄴ/ETM
엿새간	엿새/NNG+간/XSN
아프가니스탄으로	아프가니스탄/NNP+으로/JKB
향하는	향하/VV+는/ETM
보급로	보급로/NNG
폐쇄를	폐쇄/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
미국과	미국/NNP+과/JC
파키스탄이	파키스탄/NNP+이/JKS
벌인	벌이/VV+ㄴ/ETM
팽팽한	팽팽하/VA+ㄴ/ETM
신경전에서	신경전/NNG+에서/JKB
결국	결국/MAG
미국이	미국/NNP+이/JKS
‘두	‘/SS+두/MMN
손’	손/NNG+’/SS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.350.3.1
미국은 최근 미군 헬기가 파키스탄 군인들을 폭격해 숨지게 한 사건에 대해 6일 이례적으로 공식 사과했다.

미국은	미국/NNP+은/JX
최근	최근/MAG
미군	미군/NNG
헬기가	헬기/NNG+가/JKS
파키스탄	파키스탄/NNP
군인들을	군인/NNG+들/XSN+을/JKO
폭격해	폭격/NNG+하/XSV+아/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
6일	6/SN+일/NNB
이례적으로	이례/NNG+적/XSN+으로/JKB
공식	공식/NNG
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.350.3.2
파키스탄 정부가 이 사건 뒤 아프가니스탄으로 향하는 나토군 물자 수송 주요 보급로를 막자, 아프간전에 지장이 갈까 우려해 취한 조처로 풀이된다.

파키스탄	파키스탄/NNP
정부가	정부/NNG+가/JKS
이	이/MMD
사건	사건/NNG
뒤	뒤/NNG
아프가니스탄으로	아프가니스탄/NNP+으로/JKB
향하는	향하/VV+는/ETM
나토군	나토군/NNG
물자	물자/NNG
수송	수송/NNG
주요	주요/NNG
보급로를	보급로/NNG+를/JKO
막자,	막/VV+자/EC+,/SP
아프간전에	아프간전/NNG+에/JKB
지장이	지장/NNG+이/JKS
갈까	가/VV+ㄹ까/EF
우려해	우려/NNG+하/XSV+아/EC
취한	취하/VV+ㄴ/ETM
조처로	조처/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.350.4.1
앤 패터슨 파키스탄 주재 미국 대사는 6일 “끔찍한 사고”였다며 “이번 사건으로 숨지거나 부상당한 국경수비대원들의 가족과 파키스탄에 깊이 사과한다”고 말했다.

앤	앤/NNP
패터슨	패터슨/NNP
파키스탄	파키스탄/NNP
주재	주재/NNG
미국	미국/NNP
대사는	대사/NNG+는/JX
6일	6/SN+일/NNB
“끔찍한	“/SS+끔찍하/VA+ㄴ/ETM
사고”였다며	사고/NNG+”/SS+이/VCP+었/EP+다며/EC
“이번	“/SS+이번/NNG
사건으로	사건/NNG+으로/JKB
숨지거나	숨지/VV+거나/EC
부상당한	부상/NNG+당하/XSV+ㄴ/ETM
국경수비대원들의	국경/NNG+수비대원/NNG+들/XSN+의/JKG
가족과	가족/NNG+과/JC
파키스탄에	파키스탄/NNP+에/JKB
깊이	깊이/MAG
사과한다”고	사과/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


