# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.282
metadata : {}


# id : NWRW1800000021.282.1.1
“동서양 철학 버무려 세계 이끌 사상 만들어야”

“동서양	“/SS+동서양/NNG
철학	철학/NNG
버무려	버무리/VV+어/EC
세계	세계/NNG
이끌	이끌/VV+ㄹ/ETM
사상	사상/NNG
만들어야”	만들/VV+어야/EC+”/SS


# id : NWRW1800000021.282.2.1
“서양에서는 동양 철학 하면 불교를 떠올릴 정도로 연구가 활발하지만 한국에서는 되레 부진합니다.

“서양에서는	“/SS+서양/NNG+에서/JKB+는/JX
동양	동양/NNG
철학	철학/NNG
하면	하/VV+면/EC
불교를	불교/NNG+를/JKO
떠올릴	떠올리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
연구가	연구/NNG+가/JKS
활발하지만	활발하/VA+지만/EC
한국에서는	한국/NNP+에서/JKB+는/JX
되레	되레/MAG
부진합니다.	부진/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000021.282.2.2
원효의 화쟁(和諍)사상을 본받아 동서양 철학의 융합을 모색하기 위해 상을 제정했습니다.”

원효의	원효/NNP+의/JKG
화쟁(和諍)사상을	화쟁/NNG+(/SS+和諍/SH+)/SS+사상/NNG+을/JKO
본받아	본받/VV+아/EC
동서양	동서양/NNG
철학의	철학/NNG+의/JKG
융합을	융합/NNG+을/JKO
모색하기	모색/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
상을	상/NNG+을/JKO
제정했습니다.”	제정/NNG+하/XSV+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000021.282.3.1
‘원효학술상’ 제정 취지를 이렇게 설명한 서울대 종교문화연구소 연구원인 비구니 소운 스님(47).

‘원효학술상’	‘/SS+원효/NNP+학술상/NNG+’/SS
제정	제정/NNG
취지를	취지/NNG+를/JKO
이렇게	이렇/VA+게/EC
설명한	설명/NNG+하/XSV+ㄴ/ETM
서울대	서울대/NNP
종교문화연구소	종교/NNG+문화/NNG+연구소/NNG
연구원인	연구원/NNG+이/VCP+ㄴ/ETM
비구니	비구니/NNG
소운	소운/NNP
스님(47).	스님/NNG+(/SS+47/SN+)/SS+./SF


# id : NWRW1800000021.282.3.2
그는 2002년 미국 하버드대에서 인도 티베트 불교 연구로 박사학위를 받았으며 동서양 철학의 소통에 관심이 많다.

그는	그/NP+는/JX
2002년	2002/SN+년/NNB
미국	미국/NNP
하버드대에서	하버드대/NNP+에서/JKB
인도	인도/NNP
티베트	티베트/NNP
불교	불교/NNG
연구로	연구/NNG+로/JKB
박사학위를	박사/NNG+학위/NNG+를/JKO
받았으며	받/VV+았/EP+으며/EC
동서양	동서양/NNG
철학의	철학/NNG+의/JKG
소통에	소통/NNG+에/JKB
관심이	관심/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.282.4.1
소운 스님은 “한국은 학문도 비빔밥처럼 융합하는 것이 장점인데, 이런 전통을 잘 살린다면 우리가 세계를 이끌 사상을 만들 수도 있지 않겠느냐”고 말했다.

소운	소운/NNP
스님은	스님/NNG+은/JX
“한국은	“/SS+한국/NNP+은/JX
학문도	학문/NNG+도/JX
비빔밥처럼	비빔밥/NNG+처럼/JKB
융합하는	융합/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
