# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.214
metadata : {}


# id : NWRW1800000029.214.1.1
사립대 본교-분교 학과 통폐합땐 본교로 인정

사립대	사립대/NNG
본교-분교	본교/NNG+-/SO+분교/NNG
학과	학과/NNG
통폐합땐	통폐합/NNG+때/NNG+ㄴ/JX
본교로	본교/NNG+로/JKB
인정	인정/NNG


# id : NWRW1800000029.214.2.1
이르면 올 입시부터 적용… 취업시 차별 관행 개선 효과

이르면	이르/VA+면/EC
올	올/NNG
입시부터	입시/NNG+부터/JX
적용…	적용/NNG+…/SE
취업시	취업/NNG+시/NNB
차별	차별/NNG
관행	관행/NNG
개선	개선/NNG
효과	효과/NNG


# id : NWRW1800000029.214.3.1
사립대가 본교와 분교의 유사 또는 중복 학과를 통폐합하면 분교도 본교로 인정받게 된다.

사립대가	사립대/NNG+가/JKS
본교와	본교/NNG+와/JC
분교의	분교/NNG+의/JKG
유사	유사/NNG
또는	또는/MAG
중복	중복/NNG
학과를	학과/NNG+를/JKO
통폐합하면	통폐합/NNG+하/XSV+면/EC
분교도	분교/NNG+도/JX
본교로	본교/NNG+로/JKB
인정받게	인정/NNG+받/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.214.4.1
교육과학기술부는 이런 내용을 담은 대학설립·운영규정 개정령안을 21일 국무회의를 거쳐 공포할 예정이다.

교육과학기술부는	교육/NNG+과학/NNG+기술부/NNG+는/JX
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
대학설립·운영규정	대학/NNG+설립/NNG+·/SP+운영/NNG+규정/NNG
개정령안을	개정령/NNG+안/NNG+을/JKO
21일	21/SN+일/NNB
국무회의를	국무/NNG+회의/NNG+를/JKO
거쳐	거치/VV+어/EC
공포할	공포/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.214.4.2
현재는 본교와 분교가 입학 졸업은 물론 정부의 지원사업 대상선정에서도 다른 대학으로 간주된다.

현재는	현재/NNG+는/JX
본교와	본교/NNG+와/JC
분교가	분교/NNG+가/JKS
입학	입학/NNG
졸업은	졸업/NNG+은/JX
물론	물론/MAG
정부의	정부/NNG+의/JKG
지원사업	지원/NNG+사업/NNG
대상선정에서도	대상/NNG+선정/NNG+에서/JKB+도/JX
다른	다른/MMD
대학으로	대학/NNG+으로/JKB
간주된다.	간주/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.214.5.1
이에 따라 이르면 2012학년도 대입 정시모집부터 분교가 본교로 바뀔 가능성도 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이르면	이르/VV+면/EC
2012학년도	2012/SN+학년도/NNG
대입	대입/NNG
정시모집부터	정시/NNG+모집/NNG+부터/JX
분교가	분교/NNG+가/JKS
본교로	본교/NNG+로/JKB
바뀔	바뀌/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.214.5.2
경희대 상명대 중앙대 한국외국어대가 분교 통폐합에 관심을 보이는 것으로 알려졌다.

경희대	경희대/NNP
상명대	상명대/NNP
중앙대	중앙대/NNP
한국외국어대가	한국외국어대/NNP+가/JKS
분교	분교/NNG
통폐합에	통폐합/NNG+에/JKB
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.214.6.1
건국대 경희대 고려대 단국대 동국대 상명대 연세대 중앙대 한국외국어대 한양대 홍익대 등 11곳이 본교와 비슷한 학과를 분교에 두고 있다.

건국대	건국대/NNP
경희대	경희대/NNP
고려대	고려대/NNP
단국대	단국대/NNP
동국대	동국대/NNP
상명대	상명대/NNP
연세대	연세대/NNP
중앙대	중앙대/NNP
한국외국어대	한국외국어대/NNP
한양대	한양대/NNP
홍익대	홍익대/NNP
등	등/NNB
11곳이	11/SN+곳/NNG+이/JKS
본교와	본교/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
학과를	학과/NNG+를/JKO
분교에	분교/NNG+에/JKB
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.214.6.2
가톨릭대나 성균관대처럼 전공 계열별로 캠퍼스를 나누면 분교로 간주하지 않는다.

가톨릭대나	가톨릭대/NNP+나/JC
성균관대처럼	성균관대/NNP+처럼/JKB
전공	전공/NNG
계열별로	계열/NNG+별/XSN+로/JKB
캠퍼스를	캠퍼스/NNG+를/JKO
나누면	나누/VV+면/EC
분교로	분교/NNG+로/JKB
간주하지	간주/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000029.214.7.1
지금까지 대학(본교)끼리의 통폐합은 관련 규정에 명문화돼 있었지만 같은 법인 내의 본교와 분교 간 통합에 대한 내용은 없었다.

지금까지	지금/NNG+까지/JX
대학(본교)끼리의	대학/NNG+(/SS+본교/NNG+)/SS+끼리/XSN+의/JKG
통폐합은	통폐합/NNG+은/JX
관련	관련/NNG
규정에	규정/NNG+에/JKB
명문화돼	명문/NNG+화/XSN+되/XSV+어/EC
있었지만	있/VX+었/EP+지만/EC
같은	같/VA+은/ETM
법인	법인/NNG
내의	내/NNB+의/JKG
본교와	본교/NNG+와/JC
분교	분교/NNG
간	간/NNB
통합에	통합/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용은	내용/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.214.8.1
개정안에 따르면 본교와 분교를 통폐합할 때에는 유사·중복 학과를 통합해야 한다.

개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
본교와	본교/NNG+와/JC
분교를	분교/NNG+를/JKO
통폐합할	통폐합/NNG+하/XSV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
유사·중복	유사/NNG+·/SP+중복/NNG
학과를	학과/NNG+를/JKO
통합해야	통합/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.214.8.2
최근 3년간 입학 정원을 채우지 못했다면 미 충원된 규모 이상의 정원을 감축해야 한다.

최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
입학	입학/NNG
정원을	정원/NNG+을/JKO
채우지	채우/VV+지/EC
못했다면	못하/VX+았/EP+다면/EC
미	미/XPN
충원된	충원/NNG+되/XSV+ㄴ/ETM
규모	규모/NNG
이상의	이상/NNG+의/JKG
감축해야	감축/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.214.9.1
교과부는 개정안이 대학의 자율적인 구조조정을 촉진할 것으로 보고 있다.

교과부는	교과부/NNG+는/JX
개정안이	개정안/NNG+이/JKS
대학의	대학/NNG+의/JKG
자율적인	자율/NNG+적/XSN+이/VCP+ㄴ/ETM
구조조정을	구조/NNG+조정/NNG+을/JKO
촉진할	촉진/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.214.9.2
