# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.8
metadata : {}


# id : NWRW1800000044.8.1.1
LNG 운송사업 매각 우선협상자 ‘IMM인베스트먼트’ 선정현대상선 ‘유동성 위기’ 숨통 트이나

LNG	LNG/SL
운송사업	운송/NNG+사업/NNG
매각	매각/NNG
우선협상자	우선/NNG+협상자/NNG
‘IMM인베스트먼트’	‘/SS+IMM/SL+인베스트먼트/NNP+’/SS
선정현대상선	선정/NNG+현대상선/NNP
‘유동성	‘/SS+유동/NNG+성/XSN
위기’	위기/NNG+’/SS
숨통	숨통/NNG
트이나	트이/VV+나/EF


# id : NWRW1800000044.8.2.1
[한겨레] 현대상선 ‘유동성 위기’ 숨통 트이나

[한겨레]	[/SS+한겨레/NNP+]/SS
현대상선	현대상선/NNP
‘유동성	‘/SS+유동/NNG+성/XSN
위기’	위기/NNG+’/SS
숨통	숨통/NNG
트이나	트이/VV+나/EF


# id : NWRW1800000044.8.3.1
상반기 매각절차 완료 계획

상반기	상반기/NNG
매각절차	매각/NNG+절차/NNG
완료	완료/NNG
계획	계획/NNG


# id : NWRW1800000044.8.4.1
현대상선은 유동성 문제를 해결하기 위해 액화천연가스(LNG) 운송사업 매각의 우선협상대상자로 아이엠엠(IMM)인베스트먼트를 선정했다고 12일 밝혔다.

현대상선은	현대상선/NNP+은/JX
유동성	유동/NNG+성/XSN
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
운송사업	운송/NNG+사업/NNG
매각의	매각/NNG+의/JKG
우선협상대상자로	우선/NNG+협상/NNG+대상자/NNG+로/JKB
아이엠엠(IMM)인베스트먼트를	아이엠엠/NNP+(/SS+IMM/SL+)/SS+인베스트먼트/NNP+를/JKO
선정했다고	선정/NNG+하/XSV+았/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.8.5.1
엘엔지 운송사업 매각은 지난해 12월 현대그룹이 발표한 3조3000억원 규모의 자구책 가운데 하나로, 매각 규모는 1조1000억원에 이른다.

엘엔지	엘엔지/NNG
운송사업	운송/NNG+사업/NNG
매각은	매각/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
현대그룹이	현대그룹/NNP+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
3조3000억원	3/SN+조/NR+3000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
자구책	자구책/NNG
가운데	가운데/NNG
하나로,	하나/NR+로/JKB+,/SP
매각	매각/NNG
규모는	규모/NNG+는/JX
1조1000억원에	1/SN+조/NR+1000/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


