# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.331
metadata : {}


# id : NWRW1800000037.331.1.1
[내각-청와대 인선 마무리]‘공약 빅5’ 김종인 김광두 안종범 강석훈 최외출은 왜?

[내각-청와대	[/SS+내각/NNG+-/SO+청와대/NNP
인선	인선/NNG
마무리]‘공약	마무리/NNG+]/SS+‘/SS+공약/NNG
빅5’	빅/NNG+5/SN+’/SS
김종인	김종인/NNP
김광두	김광두/NNP
안종범	안종범/NNP
강석훈	강석훈/NNP
최외출은	최외출/NNP+은/JX
왜?	왜/MAG+?/SF


# id : NWRW1800000037.331.2.1
첫 내각-靑참모 인선서 빠져… ‘朴 국정방향 정리 자신감’ 분석 ‘현역 가급적 배제’ 의중도 작용

첫	첫/MMN
내각-靑참모	내각/NNG+-/SO+靑/SH+참모/NNG
인선서	인선/NNG+서/JKB
빠져…	빠지/VV+어/EF+…/SE
‘朴	‘/SS+朴/SH
국정방향	국정/NNG+방향/NNG
정리	정리/NNG
자신감’	자신감/NNG+’/SS
분석	분석/NNG
‘현역	‘/SS+현역/NNG
가급적	가급적/MAG
배제’	배제/NNG+’/SS
의중도	의중/NNG+도/JX
작용	작용/NNG


# id : NWRW1800000037.331.3.1
박근혜 정부의 1기 내각과 청와대 참모진 인선이 19일 마무리됐지만 대선 공약을 주도했던 ‘빅5’의 이름은 어디에도 오르지 않았다.

박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
1기	1/SN+기/NNG
내각과	내각/NNG+과/JC
청와대	청와대/NNP
참모진	참모진/NNG
인선이	인선/NNG+이/JKS
19일	19/SN+일/NNB
마무리됐지만	마무리/NNG+되/XSV+었/EP+지만/EC
대선	대선/NNG
공약을	공약/NNG+을/JKO
주도했던	주도/NNG+하/XSV+았/EP+던/ETM
‘빅5’의	‘/SS+빅/NNG+5/SN+’/SS+의/JKG
이름은	이름/NNG+은/JX
어디에도	어디/NP+에/JKB+도/JX
오르지	오르/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.331.3.2
‘정책 빅5’는 김종인 전 새누리당 국민행복추진위원장, 박 대통령 당선인의 싱크탱크 수장인 김광두 국가미래연구원장, 안종범 강석훈 새누리당 의원, 최외출 영남대 교수를 말한다.

‘정책	‘/SS+정책/NNG
빅5’는	빅/NNG+5/SN+’/SS+는/JX
김종인	김종인/NNP
전	전/MMD
새누리당	새누리당/NNP
국민행복추진위원장,	국민/NNG+행복/NNG+추진/NNG+위원장/NNG+,/SP
박	박/NNP
대통령	대통령/NNG
당선인의	당선인/NNG+의/JKG
싱크탱크	싱크탱크/NNG
수장인	수장/NNG+이/VCP+ㄴ/ETM
김광두	김광두/NNP
국가미래연구원장,	국가미래연구원장/NNG+,/SP
안종범	안종범/NNP
강석훈	강석훈/NNP
의원,	의원/NNG+,/SP
최외출	최외출/NNP
영남대	영남대/NNP
교수를	교수/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.331.4.1
대선 과정에서 김 전 위원장과 김 원장은 민생과 경제민주화로 특징 지워진 ‘근혜노믹스’를 이끈 ‘투 톱’ 경제사령탑이었다.

대선	대선/NNG
과정에서	과정/NNG+에서/JKB
김	김/NNP
전	전/MMD
위원장과	위원장/NNG+과/JC
원장은	원장/NNG+은/JX
민생과	민생/NNG+과/JC
경제민주화로	경제/NNG+민주/NNG+화/XSN+로/JKB
특징	특징/NNG
지워진	지우/VV+어/EC+지/VX+ㄴ/ETM
‘근혜노믹스’를	‘/SS+근혜노믹스/NNG+’/SS+를/JKO
이끈	이끌/VV+ㄴ/ETM
‘투	‘/SS+투/NNG
톱’	톱/NNG+’/SS
경제사령탑이었다.	경제/NNG+사령탑/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.331.4.2
안, 강 의원은 후보 비서실에 배치돼 각 분야 공약을 조율하며 박 당선인의 정책 메시지를 총괄했던 실무 실세였다.

안,	안/NNP+,/SP
강	강/NNP
의원은	의원/NNG+은/JX
후보	후보/NNG
비서실에	비서실/NNG+에/JKB
배치돼	배치/NNG+되/XSV+어/EC
각	각/MMD
분야	분야/NNG
공약을	공약/NNG+을/JKO
조율하며	조율/NNG+하/XSV+며/EC
박	박/NNP
당선인의	당선인/NNG+의/JKG
