# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.379
metadata : {}


# id : NWRW1800000044.379.1.1
‘퇴진 요구’ 의원들 마음 더 굳혔다

‘퇴진	‘/SS+퇴진/NNG
요구’	요구/NNG+’/SS
의원들	의원/NNG+들/XSN
마음	마음/NNG
더	더/MAG
굳혔다	굳히/VV+었/EP+다/EF


# id : NWRW1800000044.379.2.1
[한겨레] “진심이든 푸념이든 엄포든…”

[한겨레]	[/SS+한겨레/NNP+]/SS
“진심이든	“/SS+진심/NNG+이든/JX
푸념이든	푸념/NNG+이든/JX
엄포든…”	엄포/NNG+든/JX+…/SE+”/SS


# id : NWRW1800000044.379.3.1
“미련 접었다” 목소리도

“미련	“/SS+미련/NNG
접었다”	접/VV+었/EP+다/EF+”/SS
목소리도	목소리/NNG+도/JX


# id : NWRW1800000044.379.4.1
15일 박영선 새정치민주연합 원내대표 겸 비상대책위원장의 ‘탈당설’을 접한 새정치연합의 한 재선 의원은 “박영선에 대한 미련을 접었다”고 했다.

15일	15/SN+일/NNB
박영선	박영선/NNP
새정치민주연합	새정치민주연합/NNP
원내대표	원내/NNG+대표/NNG
겸	겸/NNB
비상대책위원장의	비상/NNG+대책/NNG+위원장/NNG+의/JKG
‘탈당설’을	‘/SS+탈당설/NNG+’/SS+을/JKO
접한	접하/VV+ㄴ/ETM
새정치연합의	새정치연합/NNP+의/JKG
한	한/MMN
재선	재선/NNG
의원은	의원/NNG+은/JX
“박영선에	“/SS+박영선/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
미련을	미련/NNG+을/JKO
접었다”고	접/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.379.4.2
전임 김한길·안철수 대표 체제에서 원내 당직을 맡았던 그는 박 원내대표가 1·2차 세월호법 부실 합의로 궁지에 몰렸을 때도 “섣불리 합의를 백지화해선 안 된다”고 주장했던 ‘중도협상파’다.

전임	전임/NNG
김한길·안철수	김한길/NNP+·/SP+안철수/NNP
대표	대표/NNG
체제에서	체제/NNG+에서/JKB
원내	원내/NNG
당직을	당직/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
그는	그/NP+는/JX
박	박/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
1·2차	1/SN+·/SP+2/SN+차/NNB
세월호법	세월호/NNP+법/NNG
부실	부실/NNG
합의로	합의/NNG+로/JKB
궁지에	궁지/NNG+에/JKB
몰렸을	몰리/VV+었/EP+을/ETM
때도	때/NNG+도/JX
“섣불리	“/SS+섣불리/MAG
합의를	합의/NNG+를/JKO
백지화해선	백지/NNG+화/XSN+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
주장했던	주장/NNG+하/XSV+았/EP+던/ETM
‘중도협상파’다.	‘/SS+중도/NNG+협상파/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000044.379.4.3
전날 박 원내대표 사퇴를 촉구하는 ‘긴급 의원모임’ 참석도 고사했던 그는 14일 밤 박 원내대표의 탈당 시사 발언을 전해 듣고 마음을 바꿨다.

전날	전날/NNG
박	박/NNP
원내대표	원내/NNG+대표/NNG
사퇴를	사퇴/NNG+를/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
‘긴급	‘/SS+긴급/NNG
의원모임’	의원/NNG+모임/NNG+’/SS
참석도	참석/NNG+도/JX
고사했던	고사/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
14일	14/SN+일/NNB
밤	밤/NNG
원내대표의	원내/NNG+대표/NNG+의/JKG
탈당	탈당/NNG
시사	시사/NNG
발언을	발언/NNG+을/JKO
전해	전하/VV+아/EC
듣고	듣/VV+고/EC
마음을	마음/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.379.4.4
그는 “옹호할 논리가 궁색해졌다.

그는	그/NP+는/JX
“옹호할	“/SS+옹호/NNG+하/XSV+ㄹ/ETM
논리가	논리/NNG+가/JKS
궁색해졌다.	궁색/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.379.4.5
조기사퇴가 불가피하다”고 했다.

조기사퇴가	조기/NNG+사퇴/NNG+가/JKS
불가피하다”고	불가피하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.379.5.1
박 원내대표의 ‘탈당’ 발언은 이날 내내 새정치연합 의원들 사이에서 논란이 됐다.

박	박/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
‘탈당’	‘/SS+탈당/NNG+’/SS
발언은	발언/NNG+은/JX
이날	이날/NNG
내내	내내/MAG
새정치연합	새정치연합/NNP
의원들	의원/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.379.5.2
의원회관 사무실에 삼삼오오 모인 의원들은 “진심인지, 푸념인지, 엄포인지 모르겠다”며 발언 진의를 해석하느라 분주했다.

의원회관	의원/NNG+회관/NNG
사무실에	사무실/NNG+에/JKB
삼삼오오	삼삼오오/NNG
모인	모이/VV+ㄴ/ETM
의원들은	의원/NNG+들/XSN+은/JX
“진심인지,	“/SS+진심/NNG+이/VCP+ㄴ지/EC+,/SP
푸념인지,	푸념/NNG+이/VCP+ㄴ지/EC+,/SP
엄포인지	엄포/NNG+이/VCP+ㄴ지/EC
모르겠다”며	모르/VV+겠/EP+다/EF+”/SS+며/EC
발언	발언/NNG
진의를	진의/NNG+를/JKO
해석하느라	해석/NNG+하/XSV+느라/EC
분주했다.	분주/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.379.5.3
풀이는 제각각이었지만 평가는 대체로 “당대표로서 하지 말았어야 할 발언”이라는 쪽으로 모아졌다.

풀이는	풀이/NNG+는/JX
제각각이었지만	제각각/NNG+이/VCP+었/EP+지만/EC
평가는	평가/NNG+는/JX
대체로	대체로/MAG
“당대표로서	“/SS+당/NNG+대표/NNG+로서/JKB
하지	하/VV+지/EC
말았어야	말/VX+았/EP+어야/EC
할	하/VX+ㄹ/ETM
발언”이라는	발언/NNG+”/SS+이/VCP+라는/ETM
쪽으로	쪽/NNB+으로/JKB
모아졌다.	모으/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.379.6.1
전날 ‘원내대표 사퇴론’에 불을 지핀 의원들 태도에도 변함이 없었다.

