# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.28
metadata : {}


# id : NWRW1800000056.28.1.1
‘횡령 혐의’ 조양호 회장 부부 24·25일 소환

‘횡령	‘/SS+횡령/NNG
혐의’	혐의/NNG+’/SS
조양호	조양호/NNP
회장	회장/NNG
부부	부부/NNG
24·25일	24/SN+·/SP+25/SN+일/NNB
소환	소환/NNG


# id : NWRW1800000056.28.2.1
[한겨레] 경찰, 집공사 관련 피의자 신분으로

[한겨레]	[/SS+한겨레/NNP+]/SS
경찰,	경찰/NNG+,/SP
집공사	집/NNG+공사/NNG
관련	관련/NNG
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB


# id : NWRW1800000056.28.3.1
재벌총수 소환은 2007년 이후 처음

재벌총수	재벌/NNG+총수/NNG
소환은	소환/NNG+은/JX
2007년	2007/SN+년/NNB
이후	이후/NNG
처음	처음/NNG


# id : NWRW1800000056.28.4.1
소환 응할지 출석 연기할지 더 지켜봐야

소환	소환/NNG
응할지	응하/VV+ㄹ지/EF
출석	출석/NNG
연기할지	연기/NNG+하/XSV+ㄹ지/EF
더	더/MAG
지켜봐야	지켜보/VV+아야/EC


# id : NWRW1800000056.28.5.1
재벌 총수들의 자택 인테리어 공사 관련 비리를 수사중인 경찰이 조양호(68) 한진그룹 회장 부부를 피의자 신분으로 소환 조사한다.

재벌	재벌/NNG
총수들의	총수/NNG+들/XSN+의/JKG
자택	자택/NNG
인테리어	인테리어/NNG
공사	공사/NNG
관련	관련/NNG
비리를	비리/NNG+를/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
경찰이	경찰/NNG+이/JKS
조양호(68)	조양호/NNP+(/SS+68/SN+)/SS
한진그룹	한진그룹/NNP
회장	회장/NNG
부부를	부부/NNG+를/JKO
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
소환	소환/NNG
조사한다.	조사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.28.5.2
재벌 총수가 경찰에 소환되는 것은 2007년 폭행 혐의로 조사를 받은 김승연 한화그룹 회장 이후 처음이다.

재벌	재벌/NNG
총수가	총수/NNG+가/JKS
경찰에	경찰/NNG+에/JKB
소환되는	소환/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
폭행	폭행/NNG
혐의로	혐의/NNG+로/JKB
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
김승연	김승연/NNP
한화그룹	한화그룹/NNP
회장	회장/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.28.5.3
총수 부부가 함께 수사기관에 소환되는 것도 유례없는 일이다.

총수	총수/NNG
부부가	부부/NNG+가/JKS
함께	함께/MAG
수사기관에	수사/NNG+기관/NNG+에/JKB
소환되는	소환/NNG+되/XSV+는/ETM
것도	것/NNB+도/JX
유례없는	유례없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.28.6.1
경찰청 특수수사과는 18일 조양호 회장과 부인 이명희 일우재단 이사장에게 각각 오는 24일과 25일 경찰에 출석해 조사를 받으라고 통보했다고 밝혔다.

경찰청	경찰청/NNG
특수수사과는	특수/NNG+수사과/NNG+는/JX
18일	18/SN+일/NNB
조양호	조양호/NNP
회장과	회장/NNG+과/JC
부인	부인/NNG
이명희	이명희/NNP
일우재단	일우재단/NNP
