# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.231
metadata : {}


# id : NWRW1800000028.231.1.1
청와대 등 ‘디도스’ 공격받아

청와대	청와대/NNP
등	등/NNB
‘디도스’	‘/SS+디도스/NNG+’/SS
공격받아	공격/NNG+받/XSV+아/EF


# id : NWRW1800000028.231.2.1
방송통신위원회는 7일 오후 6시쯤부터 청와대·외교통상부·네이버·농협·외환은행 홈페이지에서 분산서비스거부(DDoS) 공격 흔적이 발견돼 긴급조처에 나섰다고 밝혔다.

방송통신위원회는	방송/NNG+통신/NNG+위원회/NNG+는/JX
7일	7/SN+일/NNB
오후	오후/NNG
6시쯤부터	6/SN+시/NNB+쯤/XSN+부터/JX
청와대·외교통상부·네이버·농협·외환은행	청와대/NNP+·/SP+외교/NNG+통상부/NNG+·/SP+네이버/NNP+·/SP+농협/NNP+·/SP+외환은행/NNP
홈페이지에서	홈페이지/NNG+에서/JKB
분산서비스거부(DDoS)	분산/NNG+서비스/NNG+거부/NNG+(/SS+DDoS/SL+)/SS
공격	공격/NNG
흔적이	흔적/NNG+이/JKS
발견돼	발견/NNG+되/XSV+어/EC
긴급조처에	긴급/NNG+조처/NNG+에/JKB
나섰다고	나서/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.231.2.2
이날은 지난해 7월7일 분산서비스거부 공격이 발생한 지 1년째 되는 날이다.

이날은	이날/NNG+은/JX
지난해	지난해/NNG
7월7일	7/SN+월/NNB+7/SN+일/NNB
분산서비스거부	분산/NNG+서비스/NNG+거부/NNG
공격이	공격/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1년째	1/SN+년/NNB+째/XSN
되는	되/VV+는/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.231.3.1
방통위는 “지난해 공격에 비하면 미미한 수준이고, 구체적인 피해사례도 없다”며 “만일의 사태에 대비해 만반의 조처를 취하고, 악성코드 샘플을 입수해 정밀분석작업을 벌이고 있다”고 밝혔다.

방통위는	방통위/NNG+는/JX
“지난해	“/SS+지난해/NNG
공격에	공격/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
미미한	미미하/VA+ㄴ/ETM
수준이고,	수준/NNG+이/VCP+고/EC+,/SP
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
피해사례도	피해/NNG+사례/NNG+도/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“만일의	“/SS+만일/NNG+의/JKG
사태에	사태/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
만반의	만반/NNG+의/JKG
조처를	조처/NNG+를/JKO
취하고,	취하/VV+고/EC+,/SP
악성코드	악성/NNG+코드/NNG
샘플을	샘플/NNG+을/JKO
입수해	입수/NNG+하/XSV+아/EC
정밀분석작업을	정밀/NNG+분석/NNG+작업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.231.3.2
박철순 방통위 네트워크정보보호팀장은 “지난해 분산서비스거부 공격 당시 치료되지 않은 ‘좀비피시’(디도스 공격을 하는 바이러스에 감염된 피시)가 공격을 재개했을 가능성도 있다”며 “백신프로그램을 최신판으로 업데이트해 악성코드 감염 여부를 점검해줄 것”을 당부했다.

박철순	박철순/NNP
방통위	방통위/NNG
네트워크정보보호팀장은	네트워크/NNG+정보/NNG+보호/NNG+팀장/NNG+은/JX
“지난해	“/SS+지난해/NNG
분산서비스거부	분산/NNG+서비스/NNG+거부/NNG
공격	공격/NNG
당시	당시/NNG
치료되지	치료/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
‘좀비피시’(디도스	‘/SS+좀비/NNG+피시/NNG+’/SS+(/SS+디도스/NNG
공격을	공격/NNG+을/JKO
하는	하/VV+는/ETM
바이러스에	바이러스/NNG+에/JKB
감염된	감염/NNG+되/XSV+ㄴ/ETM
피시)가	피시/NNG+)/SS+가/JKS
재개했을	재개/NNG+하/XSV+았/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“백신프로그램을	“/SS+백신/NNG+프로그램/NNG+을/JKO
최신판으로	최신판/NNG+으로/JKB
업데이트해	업데이트/NNG+하/XSV+아/EC
악성코드	악성/NNG+코드/NNG
감염	감염/NNG
여부를	여부/NNG+를/JKO
점검해줄	점검/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것”을	것/NNB+”/SS+을/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


