# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.127
metadata : {}


# id : NWRW1800000041.127.1.1
“외출-등산땐 녹색 선글라스 꼭 쓰세요”

“외출-등산땐	“/SS+외출/NNG+-/SO+등산/NNG+때/NNG+ㄴ/JX
녹색	녹색/NNG
선글라스	선글라스/NNG
꼭	꼭/MAG
쓰세요”	쓰/VV+시/EP+어요/EF+”/SS


# id : NWRW1800000041.127.2.1
자외선 장기 노출땐 백내장 위험… 갈색 렌즈 쓰면 시야 선명해져

자외선	자외선/NNG
장기	장기/NNG
노출땐	노출/NNG+때/NNG+ㄴ/JX
백내장	백내장/NNG
위험…	위험/NNG+…/SE
갈색	갈색/NNG
렌즈	렌즈/NNG
쓰면	쓰/VV+면/EC
시야	시야/NNG
선명해져	선명/NNG+하/XSA+아/EC+지/VX+어/EF


# id : NWRW1800000041.127.3.1
중소기업 부장 김모 씨(51)는 2월 오른쪽 눈이 거의 보이지 않아 안과를 찾았다.

중소기업	중소기업/NNG
부장	부장/NNG
김모	김/NNP+모/NP
씨(51)는	씨/NNB+(/SS+51/SN+)/SS+는/JX
2월	2/SN+월/NNB
오른쪽	오른쪽/NNG
눈이	눈/NNG+이/JKS
거의	거의/MAG
보이지	보이/VV+지/EC
않아	않/VX+아/EC
안과를	안과/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.127.4.1
검사 결과 김 씨가 받은 진단은 백내장.

검사	검사/NNG
결과	결과/NNG
김	김/NNP
씨가	씨/NNB+가/JKS
받은	받/VV+은/ETM
진단은	진단/NNG+은/JX
백내장.	백내장/NNG+./SF


# id : NWRW1800000041.127.4.2
의사는 “평소 등산, 스키 등 야외활동을 좋아하면서도 선글라스나 고글을 쓰지 않은 게 원인”이라며 “앞으로는 건물 밖으로 나갈 땐 반드시 선글라스를 착용하라”고 조언했다.

의사는	의사/NNG+는/JX
“평소	“/SS+평소/NNG
등산,	등산/NNG+,/SP
스키	스키/NNG
등	등/NNB
야외활동을	야외/NNG+활동/NNG+을/JKO
좋아하면서도	좋아하/VV+면서/EC+도/JX
선글라스나	선글라스/NNG+나/JC
고글을	고글/NNG+을/JKO
쓰지	쓰/VV+지/EC
않은	않/VX+은/ETM
게	거/NNB+이/JKS
원인”이라며	원인/NNG+”/SS+이/VCP+라며/EC
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
건물	건물/NNG
밖으로	밖/NNG+으로/JKB
나갈	나가/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
반드시	반드시/MAG
선글라스를	선글라스/NNG+를/JKO
착용하라”고	착용/NNG+하/XSV+라/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.127.4.3
하지만 김 씨는 “우리 정서상 매번 선글라스 끼는 걸 좋게 보지 않는다”며 “부하 직원들이 나이 먹고 멋 부린다고 욕할 것 같다”고 말했다.

하지만	하지만/MAJ
김	김/NNP
씨는	씨/NNB+는/JX
“우리	“/SS+우리/NP
정서상	정서/NNG+상/XSN
매번	매번/MAG
선글라스	선글라스/NNG
끼는	끼/VV+는/ETM
걸	거/NNB+ㄹ/JKO
좋게	좋/VA+게/EC
보지	보/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“부하	“/SS+부하/NNG
직원들이	직원/NNG+들/XSN+이/JKS
나이	나이/NNG
먹고	먹/VV+고/EC
멋	멋/NNG
부린다고	부리/VV+ㄴ다고/EC
욕할	욕/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.127.5.1
봄이 오면 겨울보다 햇빛이 훨씬 강해진다.

봄이	봄/NNG+이/JKS
오면	오/VV+면/EC
겨울보다	겨울/NNG+보다/JKB
햇빛이	햇빛/NNG+이/JKS
훨씬	훨씬/MAG
강해진다.	강하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.127.5.2
이때 햇빛에 포함된 자외선은 우리 눈에 어떤 영향을 미칠까.

이때	이때/NNG
햇빛에	햇빛/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
자외선은	자외선/NNG+은/JX
우리	우리/NP
눈에	눈/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
미칠까.	미치/VV+ㄹ까/EF+./SF


# id : NWRW1800000041.127.5.3
강자헌 강동경희대병원 안과 교수는 “눈 점막도 일반 피부처럼 자외선에 노출되면 화상을 입는다”고 설명했다.

강자헌	강자헌/NNP
강동경희대병원	강동경희대병원/NNP
안과	안과/NNG
교수는	교수/NNG+는/JX
“눈	“/SS+눈/NNG
점막도	점막/NNG+도/JX
일반	일반/NNG
피부처럼	피부/NNG+처럼/JKB
자외선에	자외선/NNG+에/JKB
노출되면	노출/NNG+되/XSV+면/EC
화상을	화상/NNG+을/JKO
입는다”고	입/VV+는다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.127.6.1
자외선은 파장 길이에 따라 320∼400nm(나노미터·1nm는 10억분의 1m)대의 UV-A와 UV-B(280∼320nm), UV-C(100∼280nm)로 나뉜다.

자외선은	자외선/NNG+은/JX
파장	파장/NNG
길이에	길이/NNG+에/JKB
따라	따르/VV+아/EC
320∼400nm(나노미터·1nm는	320/SN+∼/SO+400/SN+nm/SW+(/SS+나노미터/NNB+·/SP+1/SN+nm/SW+는/JX
10억분의	10/SN+억/NR+분/XSN+의/JKG
1m)대의	1/SN+m/SW+)/SS+대/XSN+의/JKG
UV-A와	UV/SL+-/SO+A/SL+와/JC
UV-B(280∼320nm),	UV/SL+-/SO+B/SL+(/SS+280/SN+∼/SO+320/SN+nm/SW+)/SS+,/SP
UV-C(100∼280nm)로	UV/SL+-/SO+C/SL+(/SS+100/SN+∼/SO+280/SN+nm/SW+)/SS+로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.127.6.2
파장이 가장 짧고 악성인 UV-C는 대부분 오존층에서 차단되지만 UV-B는 눈의 검은자 표면인 각막까지 도달하고, UV-A는 각막을 거쳐 수정체까지 침투할 수 있다.

파장이	파장/NNG+이/JKS
가장	가장/MAG
짧고	짧/VA+고/EC
악성인	악성/NNG+이/VCP+ㄴ/ETM
UV-C는	UV/SL+-/SO+C/SL+는/JX
대부분	대/XPN+부분/NNG
오존층에서	오존/NNG+층/XSN+에서/JKB
차단되지만	차단/NNG+되/XSV+지만/EC
UV-B는	UV/SL+-/SO+B/SL+는/JX
눈의	눈/NNG+의/JKG
검은자	검은자/NNG
표면인	표면/NNG+이/VCP+ㄴ/ETM
각막까지	각막/NNG+까지/JX
도달하고,	도달/NNG+하/XSV+고/EC+,/SP
UV-A는	UV/SL+-/SO+A/SL+는/JX
각막을	각막/NNG+을/JKO
거쳐	거치/VV+어/EC
수정체까지	수정체/NNG+까지/JX
침투할	침투/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.127.6.3
이처럼 많은 양의 자외선에 눈이 갑자기 노출되면 통증, 눈부심, 심한 눈물 등이 나타나지만 대개는 자연스럽게 치유된다.

이처럼	이/NP+처럼/JKB
많은	많/VA+은/ETM
양의	양/NNG+의/JKG
자외선에	자외선/NNG+에/JKB
눈이	눈/NNG+이/JKS
갑자기	갑자기/MAG
노출되면	노출/NNG+되/XSV+면/EC
통증,	통증/NNG+,/SP
눈부심,	눈부심/NNG+,/SP
심한	심하/VA+ㄴ/ETM
눈물	눈물/NNG
등이	등/NNB+이/JKS
나타나지만	나타나/VV+지만/EC
대개는	대개/NNG+는/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
치유된다.	치유/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.127.7.1
