# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.10
metadata : {}


# id : NWRW1800000026.10.1.1
[美 전략국제문제 연구소 한·중·일 3국 실장 좌담]"오바마, 아프간 정책서 지지층 배신… 한미 FTA도 그렇게 하길"

[美	[/SS+美/SH
전략국제문제	전략/NNG+국제/NNG+문제/NNG
연구소	연구소/NNG
한·중·일	한·중·일/NNP
3국	3국/NNG
실장	실장/NNG
좌담]"오바마,	좌담/NNG+]/SS+"/SS+오바마/NNP+,/SP
아프간	아프간/NNP
정책서	정책/NNG+서/JKB
지지층	지지/NNG+층/XSN
배신…	배신/NNG+…/SE
한미	한미/NNP
FTA도	FTA/SL+도/JX
그렇게	그렇/VA+게/EC
하길"	하/VV+기/ETN+ㄹ/JKO+"/SS


# id : NWRW1800000026.10.2.1
워싱턴 DC에 있는 미 전략국제문제연구소(CSIS)는 작년 5월 한국실장(Korea Chair)에 빅터 차(Cha) 조지타운대 교수를 임명했다.

워싱턴	워싱턴/NNP
DC에	DC/SL+에/JKB
있는	있/VA+는/ETM
미	미/NNP
전략국제문제연구소(CSIS)는	전략국제문제연구소/NNP+(/SS+CSIS/SL+)/SS+는/JX
작년	작년/NNG
5월	5/SN+월/NNB
한국실장(Korea	한국실장/NNG+(/SS+Korea/SL
Chair)에	Chair/SL+)/SS+에/JKB
빅터	빅터/NNP
차(Cha)	차/NNP+(/SS+Cha/SL+)/SS
조지타운대	조지타운대/NNP
교수를	교수/NNG+를/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.10.2.2
이는 한·중·일 3국 연구가 균형을 이루는 계기가 됐다.

이는	이/NP+는/JX
한·중·일	한·중·일/NNP
3국	3국/NNG
연구가	연구/NNG+가/JKS
균형을	균형/NNG+을/JKO
이루는	이루/VV+는/ETM
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.10.2.3
8일 차 실장과 마이클 그린(Green) 일본실장, 찰스 프리먼(Freeman) 중국실장이 조선일보 초청으로 한자리에 모여 75분 동안 특별 좌담회를 가졌다.

8일	8/SN+일/NNB
차	차/NNP
실장과	실장/NNG+과/JC
마이클	마이클/NNP
그린(Green)	그린/NNP+(/SS+Green/SL+)/SS
일본실장,	일본실장/NNG+,/SP
찰스	찰스/NNP
프리먼(Freeman)	프리먼/NNP+(/SS+Freeman/SL+)/SS
중국실장이	중국실장/NNG+이/JKS
조선일보	조선일보/NNP
초청으로	초청/NNG+으로/JKB
