# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.330
metadata : {}


# id : NWRW1800000028.330.1.1
‘정착촌’ 시한폭탄 째깍 /중동평화협상 ‘살얼음’

‘정착촌’	‘/SS+정착촌/NNG+’/SS
시한폭탄	시한폭탄/NNG
째깍	째깍/MAG
/중동평화협상	//SP+중동/NNP+평화/NNG+협상/NNG
‘살얼음’	‘/SS+살얼음/NNG+’/SS


# id : NWRW1800000028.330.2.1
이스라엘 정부가 유대인 정착촌 건설을 유예했던 기간의 종료시한인 26일을 앞두고, 중동 평화협상을 둘러싼 긴장이 고조되고 있다.

이스라엘	이스라엘/NNP
정부가	정부/NNG+가/JKS
유대인	유대인/NNP
정착촌	정착촌/NNG
건설을	건설/NNG+을/JKO
유예했던	유예/NNG+하/XSV+았/EP+던/ETM
기간의	기간/NNG+의/JKG
종료시한인	종료/NNG+시한/NNG+이/VCP+ㄴ/ETM
26일을	26/SN+일/NNB+을/JKO
앞두고,	앞두/VV+고/EC+,/SP
중동	중동/NNP
평화협상을	평화/NNG+협상/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
긴장이	긴장/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.330.3.1
마무드 아바스 팔레스타인 자치정부 수반은 25일 유엔 총회연설에서 “이스라엘은 유대인 정착촌 건설과 평화 중에서 하나를 택하라”고 강력한 경고를 보냈다.

마무드	마무드/NNP
아바스	아바스/NNP
팔레스타인	팔레스타인/NNP
자치정부	자치/NNG+정부/NNG
수반은	수반/NNG+은/JX
25일	25/SN+일/NNB
유엔	유엔/NNP
총회연설에서	총회/NNG+연설/NNG+에서/JKB
“이스라엘은	“/SS+이스라엘/NNP+은/JX
유대인	유대인/NNP
정착촌	정착촌/NNG
건설과	건설/NNG+과/JC
평화	평화/NNG
중에서	중/NNB+에서/JKB
하나를	하나/NR+를/JKO
택하라”고	택하/VV+라/EF+”/SS+고/JKQ
강력한	강력/NNG+하/XSA+ㄴ/ETM
경고를	경고/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.330.3.2
