# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.280
metadata : {}


# id : NWRW1800000022.280.1.1
[대구·경북] [이 사람] '대중매체의 기호학' 개정판 펴낸 박정순 경북대 교수;"미디어는 기호이고 기호는 미디어"

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
[이	[/SS+이/MMD
사람]	사람/NNG+]/SS
'대중매체의	'/SS+대중/NNG+매체/NNG+의/JKG
기호학'	기호학/NNG+'/SS
개정판	개정판/NNG
펴낸	펴내/VV+ㄴ/ETM
박정순	박정순/NNP
경북대	경북대/NNP
교수;"미디어는	교수/NNG+;/SP+"/SS+미디어/NNG+는/JX
기호이고	기호/NNG+이/VCP+고/EC
기호는	기호/NNG+는/JX
미디어"	미디어/NNG+"/SS


# id : NWRW1800000022.280.2.1
기호라는 것은 우리가 마시는 공기나 물과 같은 존재입니다.

기호라는	기호/NNG+이/VCP+라는/ETM
것은	것/NNB+은/JX
우리가	우리/NP+가/JKS
마시는	마시/VV+는/ETM
공기나	공기/NNG+나/JC
물과	물/NNG+과/JKB
같은	같/VA+은/ETM
존재입니다.	존재/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.280.2.2
공기나 물의 존재를 잘 인식하지 못하듯이 기호 역시 늘 우리 주변에 있지만 잘 인식하지 못하는 것처럼 말입니다.

공기나	공기/NNG+나/JC
물의	물/NNG+의/JKG
존재를	존재/NNG+를/JKO
잘	잘/MAG
인식하지	인식/NNG+하/XSV+지/EC
못하듯이	못하/VX+듯이/EC
기호	기호/NNG
역시	역시/MAG
늘	늘/MAG
우리	우리/NP
주변에	주변/NNG+에/JKB
있지만	있/VA+지만/EC
못하는	못하/VX+는/ETM
것처럼	것/NNB+처럼/JKB
말입니다.	말/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.280.3.1
박정순(朴貞淳) 경북대 신문방송학과 교수는 "이와 같은 기호의 본질을 잘 앎으로 해서 보다 정확하고 나은 의미전달, 또는 커뮤니케이션 활동을 할 수 있도록 하자는 뜻에서 이 책을 펴 내게 된 것"이라고 밝혔다.

박정순(朴貞淳)	박정순/NNP+(/SS+朴貞淳/SH+)/SS
경북대	경북대/NNP
신문방송학과	신문/NNG+방송학과/NNG
교수는	교수/NNG+는/JX
"이와	"/SS+이/NP+와/JKB
같은	같/VA+은/ETM
기호의	기호/NNG+의/JKG
본질을	본질/NNG+을/JKO
잘	잘/MAG
앎으로	알/VV+ㅁ/ETN+으로/JKB
해서	하/VV+아서/EC
보다	보다/MAG
정확하고	정확/NNG+하/XSA+고/EC
나은	낫/VA+은/ETM
의미전달,	의미/NNG+전달/NNG+,/SP
또는	또는/MAG
커뮤니케이션	커뮤니케이션/NNG
활동을	활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하자는	하/VX+자는/ETM
뜻에서	뜻/NNG+에서/JKB
이	이/MMD
책을	책/NNG+을/JKO
펴	펴/VV+어/EC
내게	내/VX+게/EC
된	되/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.280.3.2
또 "기호를 잘 알면 미디어를 잘 알 수 있다"고도 했다.

또	또/MAG
"기호를	"/SS+기호/NNG+를/JKO
잘	잘/MAG
알면	알/VV+면/EC
미디어를	미디어/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다"고도	있/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.280.4.1
이 책은 바로 '대중매체의 기호학'(커뮤니케이션북스 발간)이다.

이	이/MMD
책은	책/NNG+은/JX
바로	바로/MAG
'대중매체의	'/SS+대중/NNG+매체/NNG+의/JKG
기호학'(커뮤니케이션북스	기호학/NNG+'/SS+(/SS+커뮤니케이션북스/NNP
발간)이다.	발간/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.4.2
정확히 말하자면 지난 1995년 말 첫 발간된 책인데 이번에 내용을 간추리고 보다 친절하게 설명했다고 한다.

정확히	정확히/MAG
말하자면	말/NNG+하/XSV+자면/EC
지난	지나/VV+ㄴ/ETM
1995년	1995/SN+년/NNB
말	말/NNB
첫	첫/MMN
발간된	발간/NNG+되/XSV+ㄴ/ETM
책인데	책/NNG+이/VCP+ㄴ데/EC
이번에	이번/NNG+에/JKB
내용을	내용/NNG+을/JKO
간추리고	간추리/VV+고/EC
보다	보다/MAG
친절하게	친절/NNG+하/XSA+게/EC
설명했다고	설명/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.280.4.3
책의 제목처럼 '매스컴을 기호학적으로 분석한 책'이다.

책의	책/NNG+의/JKG
제목처럼	제목/NNG+처럼/JKB
'매스컴을	'/SS+매스컴/NNG+을/JKO
기호학적으로	기호학/NNG+적/XSN+으로/JKB
분석한	분석/NNG+하/XSV+ㄴ/ETM
책'이다.	책/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.5.1
이 책은 아직 국내에서 기호학에 대한 인식이 초보 단계였을 때 다소 이른 감도 있었으나, 기호학에 대한 관심과 인식이 폭발적으로 늘어난 지금 매스컴을 기호학적 측면에서 이해할 수 있는 소중한 도구로 평가된다.

이	이/MMD
책은	책/NNG+은/JX
아직	아직/MAG
국내에서	국내/NNG+에서/JKB
기호학에	기호학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
초보	초보/NNG
단계였을	단계/NNG+이/VCP+었/EP+을/ETM
때	때/NNG
다소	다소/MAG
이른	이르/VA+ㄴ/ETM
감도	감/NNG+도/JX
있었으나,	있/VA+었/EP+으나/EC+,/SP
관심과	관심/NNG+과/JC
폭발적으로	폭발/NNG+적/XSN+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
지금	지금/MAG
매스컴을	매스컴/NNG+을/JKO
기호학적	기호학/NNG+적/XSN
측면에서	측면/NNG+에서/JKB
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
소중한	소중하/VA+ㄴ/ETM
도구로	도구/NNG+로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.280.6.1
기호학이란 사회 내에서 기호의 삶을 연구하는 하나의 학문.

기호학이란	기호학/NNG+이란/JX
사회	사회/NNG
내에서	내/NNB+에서/JKB
기호의	기호/NNG+의/JKG
삶을	삶/NNG+을/JKO
연구하는	연구/NNG+하/XSV+는/ETM
하나의	하나/NR+의/JKG
학문.	학문/NNG+./SF


# id : NWRW1800000022.280.6.2
스위스의 언어학자인 소쉬르와 미국의 철학자 퍼스에 의해 정립됐고, 그 두 사람이 기호학을 두 개의 큰 줄기로 나누었다.

스위스의	스위스/NNP+의/JKG
언어학자인	언어학자/NNG+이/VCP+ㄴ/ETM
소쉬르와	소쉬르/NNP+와/JC
미국의	미국/NNP+의/JKG
철학자	철학자/NNG
퍼스에	퍼스/NNP+에/JKB
의해	의하/VV+아/EC
정립됐고,	정립/NNG+되/XSV+었/EP+고/EC+,/SP
그	그/MMD
두	두/MMN
사람이	사람/NNG+이/JKS
기호학을	기호학/NNG+을/JKO
개의	개/NNB+의/JKG
큰	크/VA+ㄴ/ETM
줄기로	줄기/NNG+로/JKB
나누었다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.280.7.1
박 교수는 이 중 소쉬르의 기호학을 바탕으로 이 책의 논리를 전개한다.

박	박/NNP
교수는	교수/NNG+는/JX
이	이/MMD
중	중/NNB
소쉬르의	소쉬르/NNP+의/JKG
기호학을	기호학/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
책의	책/NNG+의/JKG
논리를	논리/NNG+를/JKO
전개한다.	전개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.280.7.2
소쉬르에 따르면 "기호는 생각을 표현하는 도구이며, 기호는 인간 존재 사이에 의도적으로 커뮤니케이션을 하기 위해 사용하는 의도적으로 사용하는 기호체계"다.

소쉬르에	소쉬르/NNP+에/JKB
따르면	따르/VV+면/EC
"기호는	"/SS+기호/NNG+는/JX
생각을	생각/NNG+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
도구이며,	도구/NNG+이/VCP+며/EC+,/SP
기호는	기호/NNG+는/JX
인간	인간/NNG
존재	존재/NNG
사이에	사이/NNG+에/JKB
의도적으로	의도/NNG+적/XSN+으로/JKB
커뮤니케이션을	커뮤니케이션/NNG+을/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
기호체계"다.	기호/NNG+체계/NNG+"/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.7.3
그 중에서도 가장 보편적인 것이 '언어'다.

그	그/NP
중에서도	중/NNB+에서/JKB+도/JX
가장	가장/MAG
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKS
'언어'다.	'/SS+언어/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.8.1
박 교수에 따르면 "새롭게 등장하는 뉴미디어란 그 이전의 미디어를 내장하면서 발달해 왔고, 문자는 말을 내장한 것, 책이나 신문은 다시 그 문자를 내장한 것"이다.

박	박/NNP
교수에	교수/NNG+에/JKB
따르면	따르/VV+면/EC
"새롭게	"/SS+새롭/VA+게/EC
등장하는	등장/NNG+하/XSV+는/ETM
뉴미디어란	뉴미디어/NNG+란/JX
그	그/MMD
이전의	이전/NNG+의/JKG
미디어를	미디어/NNG+를/JKO
내장하면서	내장/NNG+하/XSV+면서/EC
발달해	발달/NNG+하/XSV+아/EC
왔고,	오/VX+았/EP+고/EC+,/SP
문자는	문자/NNG+는/JX
말을	말/NNG+을/JKO
내장한	내장/NNG+하/XSV+ㄴ/ETM
것,	것/NNB+,/SP
책이나	책/NNG+이나/JC
신문은	신문/NNG+은/JX
다시	다시/MAG
문자를	문자/NNG+를/JKO
것"이다.	것/NNB+"/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.8.2
그리고 "인터넷은 이제까지의 모든 미디어를 다시 그 안에 내장한다"고 규정한다.

그리고	그리고/MAJ
"인터넷은	"/SS+인터넷/NNG+은/JX
이제까지의	이제/NNG+까지/JX+의/JKG
모든	모든/MMN
미디어를	미디어/NNG+를/JKO
다시	다시/MAG
그	그/MMD
안에	안/NNG+에/JKB
내장한다"고	내장/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
규정한다.	규정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.280.9.1
즉 '기호와 미디어는 다른 것이 아니라 미디어는 기호의 끝없는 변신인 셈'이다.

즉	즉/MAG
'기호와	'/SS+기호/NNG+와/JC
미디어는	미디어/NNG+는/JX
다른	다르/VA+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
기호의	기호/NNG+의/JKG
끝없는	끝없/VA+는/ETM
변신인	변신/NNG+이/VCP+ㄴ/ETM
셈'이다.	셈/NNB+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.280.10.1
그런 주장 이면에는 그의 학문적 이력이 묻어 있다.

그런	그런/MMD
주장	주장/NNG
이면에는	이면/NNG+에/JKB+는/JX
그의	그/NP+의/JKG
학문적	학문/NNG+적/XSN
이력이	이력/NNG+이/JKS
묻어	묻/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.280.11.1
국내에서 신문방송학과가 처음 생겼을 당시 이화여대 신문방송학과를 졸업한 뒤 서울대에서 매스커뮤니케이션학으로 석사 학위를, 미국 오하이오 대학교에서 매스커뮤니케이션 박사 학위를 각각 받았다.

국내에서	국내/NNG+에서/JKB
신문방송학과가	신문/NNG+방송학과/NNG+가/JKS
처음	처음/NNG
생겼을	생기/VV+었/EP+을/ETM
당시	당시/NNG
이화여대	이화여대/NNP
신문방송학과를	신문/NNG+방송학과/NNG+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
서울대에서	서울대/NNP+에서/JKB
매스커뮤니케이션학으로	매스/NNG+커뮤니케이션학/NNG+으로/JKB
석사	석사/NNG
학위를,	학위/NNG+를/JKO+,/SP
미국	미국/NNP
오하이오	오하이오/NNP
대학교에서	대/XPN+학교/NNG+에서/JKB
매스커뮤니케이션	매스커뮤니케이션/NNG
박사	박사/NNG
학위를	학위/NNG+를/JKO
각각	각각/MAG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.280.11.2
86년 경북대 교수로 오던 즈음 '신문의 기호학'에 끌렸으며, 그때부터 기호학에 대한 관심이 책 발간으로 이어졌다.
