# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.132
metadata : {}


# id : NWRW1800000040.132.1.1
연극무대서 핀 ‘현대사의 봄’

연극무대서	연극/NNG+무대/NNG+서/JKB
핀	피/VV+ㄴ/ETM
‘현대사의	‘/SS+현대사/NNG+의/JKG
봄’	봄/NNG+’/SS


# id : NWRW1800000040.132.2.1
제주 4·3항쟁 다룬 ‘순이삼촌’

제주	제주/NNP
4·3항쟁	4/SN+·/SP+3/SN+항쟁/NNG
다룬	다루/VV+ㄴ/ETM
‘순이삼촌’	‘/SS+순이삼촌/NNP+’/SS


# id : NWRW1800000040.132.3.1
5·18 그린 ‘짬뽕’ ‘푸르른 날에’…

5·18	5/SN+·/SP+18/SN
그린	그리/VV+ㄴ/ETM
‘짬뽕’	‘/SS+짬뽕/NNG+’/SS
‘푸르른	‘/SS+푸르르/VA+ㄴ/ETM
날에’…	날/NNG+에/JKB+’/SS+…/SE


# id : NWRW1800000040.132.4.1
무겁지 않게 당시 사건 환기

무겁지	무겁/VA+지/EC
않게	않/VX+게/EC
당시	당시/NNG
사건	사건/NNG
환기	환기/NNG


# id : NWRW1800000040.132.5.1
우리 현대사에서 봄은 유난히 아픈 기억이 많은 계절이었다.

우리	우리/NP
현대사에서	현대사/NNG+에서/JKB
봄은	봄/NNG+은/JX
유난히	유난히/MAG
아픈	아프/VA+ㄴ/ETM
기억이	기억/NNG+이/JKS
많은	많/VA+은/ETM
계절이었다.	계절/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.132.5.2
이승만 독재에 대항해 제주 4·3항쟁과 4·19 민주혁명이 일어났고, 5·16 군사쿠데타가 민주화의 싹을 무참히 잘랐다.

이승만	이승만/NNP
독재에	독재/NNG+에/JKB
대항해	대항/NNG+하/XSV+아/EC
제주	제주/NNP
4·3항쟁과	4/SN+·/SP+3/SN+항쟁/NNG+과/JC
4·19	4/SN+·/SP+19/SN
민주혁명이	민주/NNG+혁명/NNG+이/JKS
일어났고,	일어나/VV+았/EP+고/EC+,/SP
5·16	5/SN+·/SP+16/SN
군사쿠데타가	군사/NNG+쿠데타/NNG+가/JKS
민주화의	민주/NNG+화/XSN+의/JKG
싹을	싹/NNG+을/JKO
무참히	무참히/MAG
잘랐다.	자르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.132.5.3
그 뒤 박정희 유신독재가 무너지고 1980년 ‘서울의 봄’을 맞았지만 전두환 독재정권은 5·18 광주민주화운동을 피로 물들였다.

그	그/MMD
뒤	뒤/NNG
박정희	박정희/NNP
유신독재가	유신/NNG+독재/NNG+가/JKS
무너지고	무너지/VV+고/EC
1980년	1980/SN+년/NNB
‘서울의	‘/SS+서울/NNP+의/JKG
봄’을	봄/NNG+’/SS+을/JKO
맞았지만	맞/VV+았/EP+지만/EC
전두환	전두환/NNP
독재정권은	독재/NNG+정권/NNG+은/JX
5·18	5/SN+·/SP+18/SN
광주민주화운동을	광주/NNP+민주/NNG+화/XSN+운동/NNG+을/JKO
피로	피/NNG+로/JKB
물들였다.	물들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.132.6.1
이런 가슴 아픈 현대사를 다루는 연극들이 잇따라 관객과 만난다.

이런	이런/MMD
가슴	가슴/NNG
아픈	아프/VA+ㄴ/ETM
현대사를	현대사/NNG+를/JKO
다루는	다루/VV+는/ETM
연극들이	연극/NNG+들/XSN+이/JKS
잇따라	잇따르/VV+아/EC
관객과	관객/NNG+과/JKB
만난다.	만나/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.132.6.2
우선 제주 4·3항쟁을 다룬 극단 컴퍼니다의 연극 <순이 삼촌>(연출 김봉건)이 다음달 6일 서울 충무아트홀 중극장 블랙 무대에 첫선을 보인다.

우선	우선/MAG
제주	제주/NNP
4·3항쟁을	4/SN+·/SP+3/SN+항쟁/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
극단	극단/NNG
컴퍼니다의	컴퍼니다/NNP+의/JKG
연극	연극/NNG
<순이	</SS+순이/NNP
삼촌>(연출	삼촌/NNG+>/SS+(/SS+연출/NNG
김봉건)이	김봉건/NNP+)/SS+이/JKS
다음달	다음/NNG+달/NNG
6일	6/SN+일/NNB
서울	서울/NNP
충무아트홀	충무아트홀/NNP
중극장	중/NNG+극장/NNG
블랙	블랙/NNG
무대에	무대/NNG+에/JKB
첫선을	첫선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.132.6.3
소설가 현기영씨가 제주 4·3항쟁 당시 군인과 경찰, 극우 반공단체들이 자행한 ‘제주 북촌리 학살 사건’을 바탕으로 1978년 발표한 중편소설을 연극으로 꾸몄다.

소설가	소설가/NNG
현기영씨가	현기영/NNP+씨/NNB+가/JKS
제주	제주/NNP
4·3항쟁	4/SN+·/SP+3/SN+항쟁/NNG
당시	당시/NNG
