# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.130
metadata : {}


# id : NWRW1800000026.130.1.1
[강원] 경춘선복선 신형열차 10월 첫선

[강원]	[/SS+강원/NNP+]/SS
경춘선복선	경춘선/NNP+복선/NNG
신형열차	신형/NNG+열차/NNG
10월	10/SN+월/NNB
첫선	첫선/NNG


# id : NWRW1800000026.130.2.1
올 연말 개통예정인 경춘선복선전철 신형 전동열차가 10월 춘천시민에게 첫 선을 보인다.

올	올/NNG
연말	연말/NNG
개통예정인	개통/NNG+예정/NNG+이/VCP+ㄴ/ETM
경춘선복선전철	경춘선/NNP+복선/NNG+전철/NNG
신형	신형/NNG
전동열차가	전동/NNG+열차/NNG+가/JKS
10월	10/SN+월/NNB
춘천시민에게	춘천/NNP+시민/NNG+에게/JKB
첫	첫/MMN
선을	선/NNG+을/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.130.3.1
춘천시에 따르면 코레일은 춘천~신상봉을 잇는 경춘선복선전철 개통을 앞두고 신형전동열차 15편성(120량) 가운데 1편성(8량)을 우선 도입했다.

춘천시에	춘천시/NNP+에/JKB
따르면	따르/VV+면/EC
코레일은	코레일/NNP+은/JX
춘천~신상봉을	춘천/NNP+~/SO+신상봉/NNP+을/JKO
잇는	잇/VV+는/ETM
경춘선복선전철	경춘선/NNP+복선/NNG+전철/NNG
개통을	개통/NNG+을/JKO
앞두고	앞두/VV+고/EC
신형전동열차	신형/NNG+전동/NNG+열차/NNG
15편성(120량)	15/SN+편성/NNG+(/SS+120/SN+량/NNB+)/SS
가운데	가운데/NNG
1편성(8량)을	1/SN+편성/NNG+(/SS+8/SN+량/NNB+)/SS+을/JKO
우선	우선/MAG
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.130.4.1
도입된 신형전동열차의 디자인은 경춘선 주변을 흐르는 북한강과 호반의 도시 춘천을 상징하는 푸른 강물의 이미지를 형상화했다.

도입된	도입/NNG+되/XSV+ㄴ/ETM
신형전동열차의	신형/NNG+전동/NNG+열차/NNG+의/JKG
디자인은	디자인/NNG+은/JX
경춘선	경춘선/NNP
주변을	주변/NNG+을/JKO
흐르는	흐르/VV+는/ETM
북한강과	북한강/NNP+과/JC
호반의	호반/NNG+의/JKG
도시	도시/NNG
춘천을	춘천/NNP+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
푸른	푸르/VA+ㄴ/ETM
강물의	강물/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
형상화했다.	형상/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.130.4.2
또 열차의 맨앞과 뒷칸에 자전거 고정 운반장치를 설치, 자전거 마니아들을 배려했다.

또	또/MAG
열차의	열차/NNG+의/JKG
맨앞과	맨/MMA+앞/NNG+과/JC
뒷칸에	뒷칸/NNG+에/JKB
자전거	자전거/NNG
고정	고정/NNG
운반장치를	운반/NNG+장치/NNG+를/JKO
설치,	설치/NNG+,/SP
마니아들을	마니아/NNG+들/XSN+을/JKO
배려했다.	배려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.130.5.1
시운전은 경의선 상암 디지털미디어시티~문산 구간에서 시행되며 본격적인 영업 시운전은 경춘선 개통을 앞둔 10월 실시된다.

시운전은	시운전/NNG+은/JX
경의선	경의선/NNP
상암	상암/NNP
디지털미디어시티~문산	디지털미디어시티/NNP+~/SO+문산/NNP
구간에서	구간/NNG+에서/JKB
시행되며	시행/NNG+되/XSV+며/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
영업	영업/NNG
경춘선	경춘선/NNP
개통을	개통/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
10월	10/SN+월/NNB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.130.6.1
코레일측은 2011년 말 경춘선에 도입될 시속 180㎞의 2층 좌석형 급행열차 디자인도 6월쯤 결정된다고 밝혔다.

코레일측은	코레일/NNP+측/NNB+은/JX
2011년	2011/SN+년/NNB
말	말/NNB
경춘선에	경춘선/NNP+에/JKB
도입될	도입/NNG+되/XSV+ㄹ/ETM
시속	시속/NNG
180㎞의	180/SN+㎞/SW+의/JKG
2층	2/SN+층/NNG
좌석형	좌석/NNG+형/XSN
급행열차	급행열차/NNG
디자인도	디자인/NNG+도/JX
6월쯤	6/SN+월/NNB+쯤/XSN
결정된다고	결정/NNG+되/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.130.6.2
급행전동차의 춘천역~용산역 97.9㎞ 구간 운행시간은 40분대다.

급행전동차의	급행/NNG+전동차/NNG+의/JKG
춘천역~용산역	춘천역/NNP+~/SO+용산역/NNP
97.9㎞	97/SN+./SP+9/SN+㎞/SW
구간	구간/NNG
운행시간은	운행/NNG+시간/NNG+은/JX
40분대다.	40/SN+분/NNB+대/XSN+이/VCP+다/EF+./SF


