# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.63
metadata : {}


# id : NWRW1800000028.63.1.1
월~금 야간…주말 전일…월~일 전일 /거주자우선주차장 요금체계 세분화

월~금	월/NNG+~/SO+금/NNG
야간…주말	야간/NNG+…/SE+주말/NNG
전일…월~일	전일/NNG+…/SE+월/NNG+~/SO+일/NNG
전일	전일/NNG
/거주자우선주차장	//SP+거주자/NNG+우선/NNG+주차장/NNG
요금체계	요금/NNG+체계/NNG
세분화	세분/NNG+화/XSN


# id : NWRW1800000028.63.2.1
서울시는 24일 거주자우선 주차장의 이용 효율을 높이기 위해 전일, 주간, 야간 등 세 종류로 돼 있는 요금 체계를 더 세분화하기로 했다고 밝혔다.

서울시는	서울시/NNP+는/JX
24일	24/SN+일/NNB
거주자우선	거주자/NNG+우선/NNG
주차장의	주차장/NNG+의/JKG
이용	이용/NNG
효율을	효율/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
전일,	전일/NNG+,/SP
주간,	주간/NNG+,/SP
야간	야간/NNG
등	등/NNB
세	세/MMN
종류로	종류/NNG+로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
요금	요금/NNG
체계를	체계/NNG+를/JKO
더	더/MAG
세분화하기로	세분/NNG+화/XSN+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.63.3.1
현재 거주자가 매달 내는 주차요금은 전일 4만원, 주간 3만원, 야간 2만원 등으로 분류돼 있지만 요금 차이가 크지 않아, 지난해 12월 기준으로 15만5561면의 서울시내 거주자우선 주차장 가운데 78.8%인 11만9553면이 전일제로 이용되고 있다.

현재	현재/MAG
거주자가	거주자/NNG+가/JKS
매달	매달/MAG
내는	내/VV+는/ETM
주차요금은	주차/NNG+요금/NNG+은/JX
전일	전일/NNG
4만원,	4/SN+만/NR+원/NNB+,/SP
주간	주간/NNG
3만원,	3/SN+만/NR+원/NNB+,/SP
야간	야간/NNG
2만원	2/SN+만/NR+원/NNB
등으로	등/NNB+으로/JKB
분류돼	분류/NNG+되/XSV+어/EC
있지만	있/VX+지만/EC
요금	요금/NNG
차이가	차이/NNG+가/JKS
크지	크/VA+지/EC
않아,	않/VX+아/EC+,/SP
지난해	지난해/NNG
12월	12/SN+월/NNB
기준으로	기준/NNG+으로/JKB
15만5561면의	15/SN+만/NR+5561/SN+면/NNG+의/JKG
서울시내	서울/NNP+시내/NNG
거주자우선	거주자/NNG+우선/NNG
주차장	주차장/NNG
가운데	가운데/NNG
78.8%인	78/SN+./SP+8/SN+%/SW+이/VCP+ㄴ/ETM
11만9553면이	11/SN+만/NR+9553/SN+면/NNG+이/JKS
전일제로	전일/NNG+제/XSN+로/JKB
