# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.245
metadata : {}


# id : NWRW1800000033.245.1.1
업그레이드 컬러볼… 비거리 쑥쑥 스핀 팍팍

업그레이드	업그레이드/NNG
컬러볼…	컬러볼/NNG+…/SE
비거리	비거리/NNG
쑥쑥	쑥쑥/MAG
스핀	스핀/NNG
팍팍	팍팍/MAG


# id : NWRW1800000033.245.2.1
볼빅 ‘뉴 비스타 iV’ 인기

볼빅	볼빅/NNP
‘뉴	‘/SS+뉴/NNP
비스타	비스타/NNP
iV’	iV/SL+’/SS
인기	인기/NNG


# id : NWRW1800000033.245.3.1
날씨가 차가워지면서 파랬던 잔디가 하루가 다르게 노란빛으로 물들고 있다.

날씨가	날씨/NNG+가/JKS
차가워지면서	차가워지/VV+면서/EC
파랬던	파랗/VA+었/EP+던/ETM
잔디가	잔디/NNG+가/JKS
하루가	하루/NNG+가/JKS
다르게	다르/VA+게/EC
노란빛으로	노란빛/NNG+으로/JKB
물들고	물들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.245.3.2
컬러볼의 계절이 도래한 것이다.

컬러볼의	컬러볼/NNG+의/JKG
계절이	계절/NNG+이/JKS
도래한	도래/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.3.3
최근 몇 년 사이 컬러볼(사진)을 겨울에만 쓴다는 선입견은 사라졌다.

최근	최근/NNG
몇	몇/NR
년	년/NNB
사이	사이/NNG
컬러볼(사진)을	컬러볼/NNG+(/SS+사진/NNG+)/SS+을/JKO
겨울에만	겨울/NNG+에/JKB+만/JX
쓴다는	쓰/VV+ㄴ다는/ETM
선입견은	선입견/NNG+은/JX
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.245.3.4
하지만 겨울철 누런 잔디에서는 아무래도 컬러볼이 한층 더 눈에 잘 띄기 마련이다.

하지만	하지만/MAJ
겨울철	겨울철/NNG
누런	누렇/VA+ㄴ/ETM
잔디에서는	잔디/NNG+에서/JKB+는/JX
아무래도	아무래도/MAG
컬러볼이	컬러볼/NNG+이/JKS
한층	한층/MAG
더	더/MAG
눈에	눈/NNG+에/JKB
잘	잘/MAG
띄기	띄/VV+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.4.1
국산 골프공의 대명사 볼빅이 2003년 처음 컬러볼을 출시했을 때만 해도 많은 이들이 컬러볼의 성능에 의구심을 품었던 게 사실이다.

국산	국산/NNG
골프공의	골프공/NNG+의/JKG
대명사	대명사/NNG
볼빅이	볼빅/NNP+이/JKS
2003년	2003/SN+년/NNB
처음	처음/NNG
컬러볼을	컬러볼/NNG+을/JKO
출시했을	출시/NNG+하/XSV+았/EP+을/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
컬러볼의	컬러볼/NNG+의/JKG
성능에	성능/NNG+에/JKB
의구심을	의구심/NNG+을/JKO
품었던	품/VV+었/EP+던/ETM
게	거/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.5.1
하지만 채 10년도 지나지 않아 컬러볼은 디자인뿐 아니라 기능적인 면에서도 국내외 골퍼들의 호평을 받고 있다.

하지만	하지만/MAJ
채	채/MAG
10년도	10/SN+년/NNB+도/JX
지나지	지나/VV+지/EC
않아	않/VX+아/EC
컬러볼은	컬러볼/NNG+은/JX
디자인뿐	디자인/NNG+뿐/JX
아니라	아니/VCN+라/EC
기능적인	기능/NNG+적/XSN+이/VCP+ㄴ/ETM
면에서도	면/NNG+에서/JKB+도/JX
국내외	국내외/NNG
골퍼들의	골퍼/NNG+들/XSN+의/JKG
호평을	호평/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.245.5.2
미국여자프로골프(LPGA) 2부 투어인 시메트라 투어 전 경기의 공식 연습공으로 사용될 뿐 아니라 지난달 국내에서 열린 LPGA 투어 하나-외환 챔피언십에서도 공식 연습구로 선정됐다.

미국여자프로골프(LPGA)	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
2부	2부/NNG
투어인	투어/NNG+이/VCP+ㄴ/ETM
시메트라	시메트라/NNG
투어	투어/NNG
전	전/MMN
경기의	경기/NNG+의/JKG
공식	공식/NNG
연습공으로	연습/NNG+공/NNG+으로/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
지난달	지난달/NNG
국내에서	국내/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
LPGA	LPGA/SL
하나-외환	하나/NNP+-/SO+외환/NNP
챔피언십에서도	챔피언십/NNG+에서/JKB+도/JX
연습구로	연습구/NNG+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.245.5.3
한국 프로골퍼뿐 아니라 외국 골퍼들 사이에서도 볼빅을 사용하는 선수들이 속속 나오고 있다.

한국	한국/NNP
프로골퍼뿐	프로/NNG+골퍼/NNG+뿐/JX
아니라	아니/VCN+라/EC
외국	외국/NNG
골퍼들	골퍼/NNG+들/XSN
사이에서도	사이/NNG+에서/JKB+도/JX
볼빅을	볼빅/NNP+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
선수들이	선수/NNG+들/XSN+이/JKS
속속	속속/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.245.6.1
볼빅의 컬러볼이 이 같은 명성을 얻게 된 것은 볼빅만이 갖고 있는 기술력 덕분이다.

볼빅의	볼빅/NNP+의/JKG
컬러볼이	컬러볼/NNG+이/JKS
이	이/NP
같은	같/VA+은/ETM
명성을	명성/NNG+을/JKO
얻게	얻/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
볼빅만이	볼빅/NNP+만/JX+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
기술력	기술력/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.6.2
볼빅은 37개의 국내외 특허를 갖고 있다.

볼빅은	볼빅/NNP+은/JX
37개의	37/SN+개/NNB+의/JKG
국내외	국내외/NNG
특허를	특허/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.245.6.3
볼빅의 기술력이 집대성된 제품은 프리미엄 4피스볼인 비스타 iV를 업그레이드해 올해 새로 내놓은 ‘뉴 비스타 iV’다.

볼빅의	볼빅/NNP+의/JKG
기술력이	기술력/NNG+이/JKS
집대성된	집대성/NNG+되/XSV+ㄴ/ETM
제품은	제품/NNG+은/JX
프리미엄	프리미엄/NNG
4피스볼인	4/SN+피스/NNG+볼/NNG+이/VCP+ㄴ/ETM
비스타	비스타/NNP
iV를	iV/SL+를/JKO
업그레이드해	업그레이드/NNG+하/XSV+아/EC
올해	올해/NNG
새로	새로/MAG
내놓은	내놓/VV+은/ETM
‘뉴	‘/SS+뉴/NNP
iV’다.	iV/SL+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.245.7.1
이 공에는 한국, 미국, 일본, 영국 등 4개국에 특허 등록이 되어 있는 ‘이중 코어’ 기술이 사용됐다.

이	이/MMD
공에는	공/NNG+에/JKB+는/JX
한국,	한국/NNP+,/SP
미국,	미국/NNP+,/SP
일본,	일본/NNP+,/SP
영국	영국/NNP
등	등/NNB
4개국에	4/SN+개국/NNB+에/JKB
특허	특허/NNG
등록이	등록/NNG+이/JKC
되어	되/VV+어/EC
있는	있/VX+는/ETM
‘이중	‘/SS+이중/NNG
코어’	코어/NNG+’/SS
기술이	기술/NNG+이/JKS
사용됐다.	사용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.245.7.2
일반적으로 비거리와 스핀 양은 반비례한다.

일반적으로	일반/NNG+적/XSN+으로/JKB
비거리와	비거리/NNG+와/JC
스핀	스핀/NNG
양은	양/NNG+은/JX
반비례한다.	반/XPN+비례/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.245.7.3
하지만 내측 코어를 딱딱하게 하고 외측 코어를 부드러운 재질로 사용하는 이중 코어 기술은 비거리와 스핀 양을 동시에 만족시킨다.

하지만	하지만/MAJ
내측	내측/NNG
코어를	코어/NNG+를/JKO
딱딱하게	딱딱하/VA+게/EC
하고	하/VX+고/EC
외측	외측/NNG
부드러운	부드럽/VA+ㄴ/ETM
재질로	재질/NNG+로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
이중	이중/NNG
코어	코어/NNG
기술은	기술/NNG+은/JX
비거리와	비거리/NNG+와/JC
스핀	스핀/NNG
양을	양/NNG+을/JKO
동시에	동시/NNG+에/JKB
만족시킨다.	만족/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.245.7.4
강한 샷에서는 파워가 내부까지 전달되면서 거리 손해를 보지 않고, 쇼트게임이나 퍼트처럼 약한 샷에서는 부드러운 타격감과 적당한 스핀을 얻을 수 있기 때문이다.

강한	강하/VA+ㄴ/ETM
샷에서는	샷/NNG+에서/JKB+는/JX
파워가	파워/NNG+가/JKS
내부까지	내부/NNG+까지/JX
전달되면서	전달/NNG+되/XSV+면서/EC
거리	거리/NNG
손해를	손해/NNG+를/JKO
