# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.115
metadata : {}


# id : NWRW1800000053.115.1.1
[단독] 오동나무 책장과 트렁크… 묘하게 닮았네

[단독]	[/SS+단독/NNG+]/SS
오동나무	오동나무/NNG
책장과	책장/NNG+과/JC
트렁크…	트렁크/NNG+…/SE
묘하게	묘하/VA+게/EC
닮았네	닮/VV+았/EP+네/EF


# id : NWRW1800000053.115.2.1
한국가구박물관서 열린 루이비통 ‘트렁크 전시회’ 가보니

한국가구박물관서	한국가구박물관/NNP+서/JKB
열린	열리/VV+ㄴ/ETM
루이비통	루이비통/NNP
‘트렁크	‘/SS+트렁크/NNG
전시회’	전시회/NNG+’/SS
가보니	가/VV+아/EC+보/VX+니/EF


# id : NWRW1800000053.115.3.1
11일 서울 성북구 대사관로 한국가구박물관.

11일	11/SN+일/NNB
서울	서울/NNP
성북구	성북구/NNP
대사관로	대사관로/NNP
한국가구박물관.	한국가구박물관/NNP+./SF


# id : NWRW1800000053.115.3.2
마당을 따라 한옥에 들어서니 대청마루 한편에 의(衣)걸이장이 놓여 있었다.

마당을	마당/NNG+을/JKO
따라	따르/VV+아/EC
한옥에	한옥/NNG+에/JKB
들어서니	들어서/VV+니/EC
대청마루	대청마루/NNG
한편에	한편/NNG+에/JKB
의(衣)걸이장이	의/NA+(/SS+衣/SH+)/SS+걸이장/NF+이/JKS
놓여	놓이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.115.3.3
내부에 막대를 달아 두루마기처럼 긴 옷을 걸쳐두게 했던 19세기 말 한국의 옷장이다.

내부에	내부/NNG+에/JKB
막대를	막대/NNG+를/JKO
달아	달/VV+아/EC
두루마기처럼	두루마기/NNG+처럼/JKB
긴	길/VA+ㄴ/ETM
옷을	옷/NNG+을/JKO
걸쳐두게	걸치/VV+어/EC+두/VX+게/EC
했던	하/VX+았/EP+던/ETM
19세기	19/SN+세기/NNG
말	말/NNB
한국의	한국/NNP+의/JKG
옷장이다.	옷장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.115.4.1
그 옷장 바로 옆에는 프랑스 럭셔리 브랜드인 루이비통의 여행 트렁크가 세워져 있었다.

그	그/MMD
옷장	옷장/NNG
바로	바로/MAG
옆에는	옆/NNG+에/JKB+는/JX
프랑스	프랑스/NNP
럭셔리	럭셔리/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
루이비통의	루이비통/NNP+의/JKG
여행	여행/NNG
트렁크가	트렁크/NNG+가/JKS
세워져	세우/VV+어/EC+지/VX+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.115.4.2
옷걸이가 안에 달려 주름 없이 옷을 보관할 수 있게 한 가방이다.

옷걸이가	옷걸이/NNG+가/JKS
안에	안/NNG+에/JKB
달려	달리/VV+어/EC
주름	주름/NNG
없이	없이/MAG
옷을	옷/NNG+을/JKO
보관할	보관/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
가방이다.	가방/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.115.4.3
1854년 탄생한 루이비통이 트렁크 안에 옷걸이를 달기 시작한 게 역시 19세기 말인 1890년.

1854년	1854/SN+년/NNB
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
루이비통이	루이비통/NNP+이/JKS
트렁크	트렁크/NNG
안에	안/NNG+에/JKB
옷걸이를	옷걸이/NNG+를/JKO
달기	달/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
역시	역시/MAG
19세기	19/SN+세기/NNG
말인	말/NNB+이/VCP+ㄴ/ETM
1890년.	1890/SN+년/NNB+./SF


# id : NWRW1800000053.115.4.4
루이비통코리아 관계자는 “외형상 닮은 한국 의걸이장과 루이비통 트렁크는 대를 이어 물려 쓴다는 점에서도 공통점이 있다”고 말했다.

루이비통코리아	루이비통/NNP+코리아/NNP
관계자는	관계자/NNG+는/JX
“외형상	“/SS+외형/NNG+상/XSN
닮은	닮/VV+은/ETM
한국	한국/NNP
의걸이장과	의걸이장/NNG+과/JC
루이비통	루이비통/NNP
트렁크는	트렁크/NNG+는/JX
대를	대/NNG+를/JKO
이어	잇/VV+어/EC
물려	물리/VV+어/EC
쓴다는	쓰/VV+ㄴ다는/ETM
점에서도	점/NNG+에서/JKB+도/JX
공통점이	공통점/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.115.5.1
루이비통이 12∼16일 한국가구박물관에서 자사의 최우수 고객들을 대상으로 진행하는 ‘맞춤 제작 트렁크 전시회’에 동아일보가 미리 다녀왔다.

루이비통이	루이비통/NNP+이/JKS
12∼16일	12/SN+∼/SO+16/SN+일/NNB
한국가구박물관에서	한국가구박물관/NNP+에서/JKB
자사의	자사/NNG+의/JKG
최우수	최/XPN+우수/NNG
고객들을	고객/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
진행하는	진행/NNG+하/XSV+는/ETM
‘맞춤	‘/SS+맞춤/NNG
제작	제작/NNG
트렁크	트렁크/NNG
전시회’에	전시회/NNG+’/SS+에/JKB
동아일보가	동아일보/NNP+가/JKS
미리	미리/MAG
다녀왔다.	다녀오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.115.5.2
이 박물관은 저명한 정치인이었던 정일형 박사와 한국 최초 여성 변호사인 이태영 박사의 딸인 정미숙 관장(70)이 15년간 한옥 10채를 복원해 2011년 개관한 곳이다.

이	이/MMD
박물관은	박물관/NNG+은/JX
저명한	저명/NNG+하/XSA+ㄴ/ETM
정치인이었던	정치인/NNG+이/VCP+었/EP+던/ETM
정일형	정일형/NNP
박사와	박사/NNG+와/JC
한국	한국/NNP
최초	최초/NNG
여성	여성/NNG
변호사인	변호사/NNG+이/VCP+ㄴ/ETM
이태영	이태영/NNP
박사의	박사/NNG+의/JKG
딸인	딸/NNG+이/VCP+ㄴ/ETM
정미숙	정미숙/NNP
관장(70)이	관장/NNG+(/SS+70/SN+)/SS+이/JKS
15년간	15/SN+년/NNB+간/XSN
한옥	한옥/NNG
10채를	10/SN+채/NNB+를/JKO
복원해	복원/NNG+하/XSV+아/EC
2011년	2011/SN+년/NNB
개관한	개관/NNG+하/XSV+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.115.5.3
미국 CNN은 이곳을 ‘서울에서 가장 아름다운 박물관’으로 꼽기도 했다.

미국	미국/NNP
CNN은	CNN/SL+은/JX
이곳을	이곳/NP+을/JKO
‘서울에서	‘/SS+서울/NNP+에서/JKB
가장	가장/MAG
아름다운	아름답/VA+ㄴ/ETM
박물관’으로	박물관/NNG+’/SS+으로/JKB
꼽기도	꼽/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.115.5.4
루이비통과 한국의 장인정신이 일맥상통하기 때문에 이곳을 골랐다는 게 루이비통 측의 설명이다.

루이비통과	루이비통/NNP+과/JC
한국의	한국/NNP+의/JKG
장인정신이	장인/NNG+정신/NNG+이/JKS
일맥상통하기	일맥상통/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
이곳을	이곳/NP+을/JKO
골랐다는	고르/VV+았/EP+다는/ETM
게	거/NNB+이/JKS
루이비통	루이비통/NNP
측의	측/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.115.6.1
배우 브래드 피트가 와서 보고 감탄했다는 오동나무 책장은 여러 개의 책함을 쌓아올린 것이다.

배우	배우/NNG
브래드	브래드/NNP
피트가	피트/NNP+가/JKS
와서	오/VV+아서/EC
보고	보/VV+고/EC
감탄했다는	감탄/NNG+하/XSV+았/EP+다는/ETM
오동나무	오동나무/NNG
책장은	책장/NNG+은/JX
여러	여러/MMN
개의	개/NNB+의/JKG
책함을	책/NNG+함/NNG+을/JKO
