# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.100
metadata : {}


# id : NWRW1800000038.100.1.1
[발자취] 물리학자 윤세원 박사

[발자취]	[/SS+발자취/NNG+]/SS
물리학자	물리학자/NNG
윤세원	윤세원/NNP
박사	박사/NNG


# id : NWRW1800000038.100.2.1
국내 원자력 발전 이끈 주역… 인재 양성에도 큰 功

국내	국내/NNG
원자력	원자력/NNG
발전	발전/NNG
이끈	이끌/VV+ㄴ/ETM
주역…	주역/NNG+…/SE
인재	인재/NNG
양성에도	양성/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
功	功/SH


# id : NWRW1800000038.100.3.1
국내 원자력 연구의 선구자 역할을 했던 윤세원(91·사진) 박사가 16일 오후 10시 노환으로 별세했다.

국내	국내/NNG
원자력	원자력/NNG
연구의	연구/NNG+의/JKG
선구자	선구자/NNG
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
윤세원(91·사진)	윤세원/NNP+(/SS+91/SN+·/SP+사진/NNG+)/SS
박사가	박사/NNG+가/JKS
16일	16/SN+일/NNB
오후	오후/NNG
10시	10/SN+시/NNB
노환으로	노환/NNG+으로/JKB
별세했다.	별세/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.3.2
고인은 1950년대 이승만 대통령 지시로 국내 원자력 연구의 산실인 한국원자력연구원 설립을 주도했다.

고인은	고인/NNG+은/JX
1950년대	1950/SN+년대/NNB
이승만	이승만/NNP
대통령	대통령/NNG
지시로	지시/NNG+로/JKB
국내	국내/NNG
원자력	원자력/NNG
연구의	연구/NNG+의/JKG
산실인	산실/NNG+이/VCP+ㄴ/ETM
한국원자력연구원	한국원자력연구원/NNP
설립을	설립/NNG+을/JKO
주도했다.	주도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.4.1
1957년 서울대 물리학과 교수이던 고인은 이 대통령의 호출을 받았다.

1957년	1957/SN+년/NNB
서울대	서울대/NNP
물리학과	물리학과/NNG
교수이던	교수/NNG+이/VCP+던/ETM
고인은	고인/NNG+은/JX
이	이/NNP
대통령의	대통령/NNG+의/JKG
호출을	호출/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.4.2
이 대통령은 "자네 원자력을 공부했다지"라고 운을 뗀 뒤 그와 원자력연구소 설립을 논의했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
"자네	"/SS+자네/NP
원자력을	원자력/NNG+을/JKO
공부했다지"라고	공부/NNG+하/XSV+았/EP+다지/EF+"/SS+라고/JKQ
운을	운/NNG+을/JKO
뗀	떼/VV+ㄴ/ETM
뒤	뒤/NNG
그와	그/NP+와/JKB
원자력연구소	원자력/NNG+연구소/NNG
설립을	설립/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.100.4.3
이 대통령은 당시 핵무기를 만들 요량으로 연구소 설립을 논의했다고 한다.

이	이/NNP
대통령은	대통령/NNG+은/JX
당시	당시/NNG
핵무기를	핵무기/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
요량으로	요량/NNG+으로/JKB
연구소	연구소/NNG
설립을	설립/NNG+을/JKO
논의했다고	논의/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.100.5.1
이때 나눈 두 사람의 대화는 이후 국내 원자력발전과 연구분야의 큰 디딤돌이 됐다.

이때	이때/NNG
나눈	나누/VV+ㄴ/ETM
두	두/MMN
사람의	사람/NNG+의/JKG
대화는	대화/NNG+는/JX
이후	이후/NNG
국내	국내/NNG
원자력발전과	원자력/NNG+발전/NNG+과/JC
연구분야의	연구/NNG+분야/NNG+의/JKG
큰	크/VA+ㄴ/ETM
디딤돌이	디딤돌/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.5.2
고인은 자서전에서 "(이 대통령을 만난 지) 며칠 후 원자력연구소 설립에 관한 대통령 결재 서류에 문교부, 외교부 등 5개 부처 장관이 합의했다"고 밝혔다.

고인은	고인/NNG+은/JX
자서전에서	자서전/NNG+에서/JKB
"(이	"/SS+(/SS+이/NNP
대통령을	대통령/NNG+을/JKO
만난	만나/VV+ㄴ/ETM
지)	지/NNB+)/SS
며칠	며칠/NNG
후	후/NNG
원자력연구소	원자력/NNG+연구소/NNG
설립에	설립/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
대통령	대통령/NNG
결재	결재/NNG
서류에	서류/NNG+에/JKB
문교부,	문교부/NNG+,/SP
외교부	외교부/NNG
등	등/NNB
5개	5/SN+개/NNB
부처	부처/NNG
장관이	장관/NNG+이/JKS
합의했다"고	합의/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.5.3
그로부터 2년이 지난 1959년 2월 3일 마침내 한국원자력연구원이 설립됐다.

그로부터	그/NP+로부터/JKB
2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
1959년	1959/SN+년/NNB
2월	2/SN+월/NNB
3일	3/SN+일/NNB
마침내	마침내/MAG
한국원자력연구원이	한국원자력연구원/NNP+이/JKS
설립됐다.	설립/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.6.1
고인은 원자력연구원이 설립되던 첫해 국내 첫 원자로 도입 사업을 맡고, 미국의 '트리가 마크(TRIGA Mark)2'의 도입을 성사시켰다.

고인은	고인/NNG+은/JX
원자력연구원이	원자력연구원/NNP+이/JKS
설립되던	설립/NNG+되/XSV+던/ETM
첫해	첫해/NNG
국내	국내/NNG
첫	첫/MMN
원자로	원자로/NNG
도입	도입/NNG
사업을	사업/NNG+을/JKO
맡고,	맡/VV+고/EC+,/SP
미국의	미국/NNP+의/JKG
'트리가	'/SS+트리가/NNP
마크(TRIGA	마크/NNP+(/SS+TRIGA/SL
Mark)2'의	Mark/SL+)/SS+2/SN+'/SS+의/JKG
도입을	도입/NNG+을/JKO
성사시켰다.	성사/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.100.6.2
트리가 마크2가 1962년 가동되면서 우리나라의 첫 인공 핵분열은 시작됐다.

트리가	트리가/NNP
마크2가	마크2/NNP+가/JKS
1962년	1962/SN+년/NNB
가동되면서	가동/NNG+되/XSV+면서/EC
우리나라의	우리나라/NNG+의/JKG
첫	첫/MMN
인공	인공/NNG
핵분열은	핵분열/NNG+은/JX
