# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.48
metadata : {}


# id : NWRW1800000041.48.1.1
美 뿔났나… 케리, 2월 日 빼고 韓中 방문

美	美/SH
뿔났나…	뿔나/VV+았/EP+나/EF+…/SE
케리,	케리/NNP+,/SP
2월	2/SN+월/NNB
日	日/SH
빼고	빼/VV+고/EC
韓中	韓中/SH
방문	방문/NNG


# id : NWRW1800000041.48.2.1
“아베정권 잇단 도발에 간접 경고”

“아베정권	“/SS+아베/NNP+정권/NNG
잇단	잇달/VV+ㄴ/ETM
도발에	도발/NNG+에/JKB
간접	간접/NNG
경고”	경고/NNG+”/SS


# id : NWRW1800000041.48.3.1
존 케리 미국 국무장관이 2월 한국과 중국을 방문하면서 일본에는 들르지 않을 것으로 27일 알려졌다.

존	존/NNP
케리	케리/NNP
미국	미국/NNP
국무장관이	국무/NNG+장관/NNG+이/JKS
2월	2/SN+월/NNB
한국과	한국/NNP+과/JC
중국을	중국/NNP+을/JKO
방문하면서	방문/NNG+하/XSV+면서/EC
일본에는	일본/NNP+에/JKB+는/JX
들르지	들르/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
27일	27/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.48.3.2
과거사 문제로 한국 중국과 첨예한 갈등을 일으키고 있는 아베 신조 일본 총리에 대한 미국의 ‘정치적 경고’라는 해석이 나온다.

과거사	과거사/NNG
문제로	문제/NNG+로/JKB
한국	한국/NNP
중국과	중국/NNP+과/JC
첨예한	첨예하/VA+ㄴ/ETM
갈등을	갈등/NNG+을/JKO
일으키고	일으키/VV+고/EC
있는	있/VX+는/ETM
아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리에	총리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
‘정치적	‘/SS+정치/NNG+적/XSN
경고’라는	경고/NNG+’/SS+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.48.4.1
워싱턴 외교 소식통에 따르면 케리 장관은 한국과 중국 방문을 통해 최근 동아시아의 현안으로 떠오른 과거사 갈등과 영유권 분쟁에 따른 긴장을 완화하는 방안을 논의할 예정이다.

워싱턴	워싱턴/NNP
외교	외교/NNG
소식통에	소식통/NNG+에/JKB
따르면	따르/VV+면/EC
케리	케리/NNP
장관은	장관/NNG+은/JX
한국과	한국/NNP+과/JC
중국	중국/NNP
방문을	방문/NNG+을/JKO
통해	통하/VV+아/EC
최근	최근/MAG
동아시아의	동아시아/NNP+의/JKG
현안으로	현안/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
과거사	과거사/NNG
갈등과	갈등/NNG+과/JC
영유권	영유/NNG+권/XSN
분쟁에	분쟁/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
긴장을	긴장/NNG+을/JKO
완화하는	완화/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.48.4.2
하지만 일본 방문 계획은 없는 것으로 전해졌다.

하지만	하지만/MAJ
일본	일본/NNP
방문	방문/NNG
계획은	계획/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.48.4.3
케리 장관은 지난해 4월 아시아 순방에서는 한중일 3국을 모두 방문했다.

케리	케리/NNP
장관은	장관/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
아시아	아시아/NNP
순방에서는	순방/NNG+에서/JKB+는/JX
한중일	한중일/NNP
3국을	3국/NNG+을/JKO
모두	모두/MAG
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.48.4.4
이에 대해 미 정부 관계자는 “케리 장관이 지난해 10월 도쿄(東京)에서 열린 미일 안전보장협의위원회(2+2)에 참석했기 때문에 이번에는 일본을 방문하지 않는다”고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
미	미/NNP
정부	정부/NNG
관계자는	관계자/NNG+는/JX
“케리	“/SS+케리/NNP
장관이	장관/NNG+이/JKS
지난해	지난해/NNG
10월	10/SN+월/NNB
도쿄(東京)에서	도쿄/NNP+(/SS+東京/SH+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
미일	미일/NNP
안전보장협의위원회(2+2)에	안전/NNG+보장/NNG+협의/NNG+위원회/NNG+(/SS+2/SN++/SW+2/SN+)/SS+에/JKB
참석했기	참석/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
이번에는	이번/NNG+에/JKB+는/JX
일본을	일본/NNP+을/JKO
방문하지	방문/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.48.5.1
그러나 케리 장관의 ‘일본 제외’ 움직임은 미일 관계가 불편하다는 증거라는 관측에 무게가 실리고 있다.

그러나	그러나/MAJ
케리	케리/NNP
장관의	장관/NNG+의/JKG
‘일본	‘/SS+일본/NNP
제외’	제외/NNG+’/SS
움직임은	움직임/NNG+은/JX
미일	미일/NNP
관계가	관계/NNG+가/JKS
불편하다는	불편/NNG+하/XSA+다는/ETM
증거라는	증거/NNG+이/VCP+라는/ETM
관측에	관측/NNG+에/JKB
무게가	무게/NNG+가/JKS
실리고	실리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.48.5.2
특히 아베 총리가 23일 스위스 다보스포럼에서 야스쿠니(靖國)신사 참배에 대해 “그저 전쟁으로 목숨을 잃은 이들의 넋을 기리기 위한 행동이었을 뿐”이라며 참배를 계속할 뜻을 밝힌 것이 미 정부를 자극했을 개연성이 크다는 해석도 나온다.

특히	특히/MAG
아베	아베/NNP
총리가	총리/NNG+가/JKS
23일	23/SN+일/NNB
스위스	스위스/NNP
다보스포럼에서	다보스/NNP+포럼/NNG+에서/JKB
야스쿠니(靖國)신사	야스쿠니/NNP+(/SS+靖國/SH+)/SS+신사/NNG
참배에	참배/NNG+에/JKB
대해	대하/VV+아/EC
“그저	“/SS+그저/MAG
전쟁으로	전쟁/NNG+으로/JKB
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
이들의	이/NNB+들/XSN+의/JKG
넋을	넋/NNG+을/JKO
기리기	기리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
행동이었을	행동/NNG+이/VCP+었/EP+을/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
참배를	참배/NNG+를/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것이	것/NNB+이/JKS
미	미/NNP
정부를	정부/NNG+를/JKO
자극했을	자극/NNG+하/XSV+았/EP+을/ETM
개연성이	개연/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
해석도	해석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.48.6.1
한편 아베 총리가 25∼27일 방문한 인도는 중국과 영유권 분쟁을 빚고 있는 아루나찰프라데시 주 등 자국 동북부 지역에 일본의 인프라 투자를 요청했다.

한편	한편/MAG
아베	아베/NNP
총리가	총리/NNG+가/JKS
25∼27일	25/SN+∼/SO+27/SN+일/NNB
방문한	방문/NNG+하/XSV+ㄴ/ETM
인도는	인도/NNP+는/JX
중국과	중국/NNP+과/JC
영유권	영유/NNG+권/XSN
분쟁을	분쟁/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
아루나찰프라데시	아루나찰프라데시/NNP
주	주/NNG
등	등/NNB
자국	자국/NNG
동북부	동북부/NNG
지역에	지역/NNG+에/JKB
일본의	일본/NNP+의/JKG
인프라	인프라/NNG
투자를	투자/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.48.6.2
중국은 아루나찰프라데시 주내 9만 km²를 자국 영토라고 주장하고 있다.

중국은	중국/NNP+은/JX
아루나찰프라데시	아루나찰프라데시/NNP
주내	주/NNG+내/NNB
9만	9/SN+만/NR
km²를	km²/SW+를/JKO
자국	자국/NNG
영토라고	영토/NNG+이/VCP+라고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.48.6.3
일본 기업이 투자한다면 중국의 강력한 반발은 불 보듯 뻔하다.

일본	일본/NNP
기업이	기업/NNG+이/JKS
투자한다면	투자/NNG+하/XSV+ㄴ다면/EC
중국의	중국/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
반발은	반발/NNG+은/JX
불	불/NNG
보듯	보/VV+듯/EC
뻔하다.	뻔하/VA+다/EF+./SF


