# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.36
metadata : {}


# id : NWRW1800000030.36.1.1
美, 피임약에도 건강보험 혜택

美,	美/SH+,/SP
피임약에도	피임약/NNG+에/JKB+도/JX
건강보험	건강/NNG+보험/NNG
혜택	혜택/NNG


# id : NWRW1800000030.36.2.1
•임신성 당뇨병 검진도 포함… 내년 8월부터 적용될 듯

•임신성	•/SW+임신/NNG+성/XSN
당뇨병	당뇨병/NNG
검진도	검진/NNG+도/JX
포함…	포함/NNG+…/SE
내년	내년/NNG
8월부터	8/SN+월/NNB+부터/JX
적용될	적용/NNG+되/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000030.36.3.1
미국에서 내년 8월부터 건강보험에 피임약이 포함될 전망이다.

미국에서	미국/NNP+에서/JKB
내년	내년/NNG
8월부터	8/SN+월/NNB+부터/JX
건강보험에	건강/NNG+보험/NNG+에/JKB
피임약이	피임약/NNG+이/JKS
포함될	포함/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.36.3.2
미 보건부는 1일(현지시각) 자문기구인 국립의학연구소(IOM)의 권고를 받아들여 건강보험에 가입한 여성들의 피임약(사후피임약 포함), 피임용구, 피임상담 등에 대해 보험 혜택을 적용할 것이라고 발표했다.

미	미/NNP
보건부는	보건부/NNG+는/JX
1일(현지시각)	1/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
자문기구인	자문/NNG+기구/NNG+이/VCP+ㄴ/ETM
국립의학연구소(IOM)의	국립의학연구소/NNP+(/SS+IOM/SL+)/SS+의/JKG
권고를	권고/NNG+를/JKO
받아들여	받아들이/VV+어/EC
건강보험에	건강/NNG+보험/NNG+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
여성들의	여성/NNG+들/XSN+의/JKG
피임약(사후피임약	피임약/NNG+(/SS+사후/NNG+피임약/NNG
포함),	포함/NNG+)/SS+,/SP
피임용구,	피임/NNG+용구/NNG+,/SP
피임상담	피임/NNG+상담/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
보험	보험/NNG
혜택을	혜택/NNG+을/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.36.4.1
보건부의 이번 결정은 버락 오바마 대통령이 추진해온 건강보험 개혁 작업의 일부다.

보건부의	보건부/NNG+의/JKG
이번	이번/NNG
결정은	결정/NNG+은/JX
버락	버락/NNP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
건강보험	건강/NNG+보험/NNG
개혁	개혁/NNG
작업의	작업/NNG+의/JKG
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.36.4.2
오바마 정부의 위임을 받은 IOM은 지난달 19일 보고서를 통해 피임을 건강보험에 포함시키는 내용을 건의했다.

오바마	오바마/NNP
정부의	정부/NNG+의/JKG
위임을	위임/NNG+을/JKO
받은	받/VV+은/ETM
IOM은	IOM/SL+은/JX
지난달	지난달/NNG
19일	19/SN+일/NNB
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
피임을	피임/NNG+을/JKO
건강보험에	건강/NNG+보험/NNG+에/JKB
포함시키는	포함/NNG+시키/XSV+는/ETM
내용을	내용/NNG+을/JKO
건의했다.	건의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.36.5.1
보건부는 피임약과 더불어 임신성 당뇨병 검진, HIV·성병 검진과 상담 등을 건강보험에 포함시켰다.

보건부는	보건부/NNG+는/JX
피임약과	피임약/NNG+과/JKB
더불어	더불/VV+어/EC
임신성	임신/NNG+성/XSN
당뇨병	당뇨병/NNG
검진,	검진/NNG+,/SP
HIV·성병	HIV/SL+·/SP+성병/NNG
검진과	검진/NNG+과/JC
상담	상담/NNG
등을	등/NNB+을/JKO
건강보험에	건강/NNG+보험/NNG+에/JKB
포함시켰다.	포함/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.36.5.2
30세 이상의 여성은 자궁경부암의 원인 중 하나로 알려진 인유두종 바이러스 진단도 무료로 받을 수 있다.

30세	30/SN+세/NNB
이상의	이상/NNG+의/JKG
여성은	여성/NNG+은/JX
자궁경부암의	자궁/NNG+경부암/NNG+의/JKG
원인	원인/NNG
중	중/NNB
하나로	하나/NR+로/JKB
알려진	알려지/VV+ㄴ/ETM
인유두종	인유두종/NNG
바이러스	바이러스/NNG
진단도	진단/NNG+도/JX
무료로	무료/NNG+로/JKB
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.36.5.3
모유 수유를 하는 여성이 원할 경우 착유기가 제공된다.

모유	모유/NNG
수유를	수유/NNG+를/JKO
하는	하/VV+는/ETM
여성이	여성/NNG+이/JKS
원할	원/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
착유기가	착유기/NNG+가/JKS
제공된다.	제공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.36.5.4
캐슬린 시벨리우스 보건장관은 "이 역사적인 지침으로 인해 많은 여성들이 건강상 예방조치를 받을 수 있게 될 것"이라고 말했다.

캐슬린	캐슬린/NNP
시벨리우스	시벨리우스/NNP
보건장관은	보건/NNG+장관/NNG+은/JX
"이	"/SS+이/MMD
역사적인	역사/NNG+적/XSN+이/VCP+ㄴ/ETM
지침으로	지침/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
여성들이	여성/NNG+들/XSN+이/JKS
건강상	건강/NNG+상/XSN
예방조치를	예방/NNG+조치/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.36.6.1
현재 대부분의 건강보험은 피임약 값의 일부만 지급하고 나머지는 가입자가 부담하도록 하고 있다.

현재	현재/MAG
대부분의	대/XPN+부분/NNG+의/JKG
건강보험은	건강/NNG+보험/NNG+은/JX
피임약	피임약/NNG
값의	값/NNG+의/JKG
일부만	일부/NNG+만/JX
지급하고	지급/NNG+하/XSV+고/EC
나머지는	나머지/NNG+는/JX
가입자가	가입자/NNG+가/JKS
부담하도록	부담/NNG+하/XSV+도록/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.36.6.2
새 건의안은 보험 가입자의 부담을 아예 없애도록 했다.

새	새/MMA
건의안은	건의안/NNG+은/JX
보험	보험/NNG
가입자의	가입자/NNG+의/JKG
부담을	부담/NNG+을/JKO
아예	아예/MAG
없애도록	없애/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.36.7.1
피임을 의료보험에 포함시키면 미국 내 10대 임신과 미혼모의 수를 줄일 수 있다는 것이 IOM의 판단이다.

피임을	피임/NNG+을/JKO
의료보험에	의료/NNG+보험/NNG+에/JKB
포함시키면	포함/NNG+시키/XSV+면/EC
미국	미국/NNP
내	내/NNB
10대	10/SN+대/NNB
임신과	임신/NNG+과/JC
미혼모의	미혼모/NNG+의/JKG
수를	수/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
IOM의	IOM/SL+의/JKG
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.36.7.2
IOM 조사결과에 따르면 미국에서는 전체 임신의 절반 정도가 의도하지 않은 임신이다.

IOM	IOM/SL
조사결과에	조사/NNG+결과/NNG+에/JKB
따르면	따르/VV+면/EC
미국에서는	미국/NNP+에서/JKB+는/JX
전체	전체/NNG
임신의	임신/NNG+의/JKG
절반	절반/NNG
정도가	정도/NNG+가/JKS
의도하지	의도/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
임신이다.	임신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.36.8.1
그러나 보수단체와 종교계는 피임에 국민 세금을 사용한다며 강하게 반발하고 있다.

그러나	그러나/MAJ
보수단체와	보수/NNG+단체/NNG+와/JC
종교계는	종교/NNG+계/XSN+는/JX
피임에	피임/NNG+에/JKB
국민	국민/NNG
세금을	세금/NNG+을/JKO
