# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.164
metadata : {}


# id : NWRW1800000024.164.1.1
쓰촨 지진피해 어린이 청와대 초청

쓰촨	쓰촨/NNP
지진피해	지진/NNG+피해/NNG
어린이	어린이/NNG
청와대	청와대/NNP
초청	초청/NNG


# id : NWRW1800000024.164.2.1
이명박 대통령 부부가 지난해 5월 중국 쓰촨성 대지진으로 부모를 잃은 어린이 20명을 17일 청와대 녹지원으로 초대해 격려했다.

이명박	이명박/NNP
대통령	대통령/NNG
부부가	부부/NNG+가/JKS
지난해	지난해/NNG
5월	5/SN+월/NNB
중국	중국/NNP
쓰촨성	쓰촨성/NNP
대지진으로	대/XPN+지진/NNG+으로/JKB
부모를	부모/NNG+를/JKO
잃은	잃/VV+은/ETM
어린이	어린이/NNG
20명을	20/SN+명/NNB+을/JKO
17일	17/SN+일/NNB
청와대	청와대/NNP
녹지원으로	녹지원/NNP+으로/JKB
초대해	초대/NNG+하/XSV+아/EC
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.164.2.2
청와대 방문은 이 대통령이 지난해 5월30일 쓰촨성 두장옌을 방문했을 때 끌어안고 위로한 웨이웨하오(9) 어린이가 지난달 이 대통령에게 “만나뵙고 싶다”는 편지를 보낸 게 계기가 됐다.

청와대	청와대/NNP
방문은	방문/NNG+은/JX
이	이/NNP
대통령이	대통령/NNG+이/JKS
지난해	지난해/NNG
5월30일	5/SN+월/NNB+30/SN+일/NNB
쓰촨성	쓰촨성/NNP
두장옌을	두장옌/NNP+을/JKO
방문했을	방문/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
끌어안고	끌어안/VV+고/EC
위로한	위로/NNG+하/XSV+ㄴ/ETM
웨이웨하오(9)	웨이웨하오/NNP+(/SS+9/SN+)/SS
어린이가	어린이/NNG+가/JKS
지난달	지난달/NNG
대통령에게	대통령/NNG+에게/JKB
“만나뵙고	“/SS+만나/VV+아/EC+뵙/VV+고/EC
싶다”는	싶/VX+다/EF+”/SS+는/ETM
편지를	편지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
게	거/NNB+이/JKS
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.164.2.3
이 대통령은 어린이들에게 “당당하게 어려움을 극복하고 성장할 것이라고 생각한다. 두 나라 국민들이 서로 어려울 때 도우면 가장 가까운 이웃으로 발전하는 계기가 될 것”이라고 강조하고, 손목시계를 선물했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
어린이들에게	어린이/NNG+들/XSN+에게/JKB
“당당하게	“/SS+당당/MAG+하/XSA+게/EC
어려움을	어려움/NNG+을/JKO
극복하고	극복/NNG+하/XSV+고/EC
성장할	성장/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF
두	두/MMN
나라	나라/NNG
국민들이	국민/NNG+들/XSN+이/JKS
서로	서로/MAG
어려울	어렵/VA+ㄹ/ETM
때	때/NNG
도우면	돕/VV+으면/EC
가장	가장/MAG
가까운	가깝/VA+ㄴ/ETM
이웃으로	이웃/NNG+으로/JKB
발전하는	발전/NNG+하/XSV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조하고,	강조/NNG+하/XSV+고/EC+,/SP
손목시계를	손목시계/NNG+를/JKO
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.164.2.4
중국 어린이들은 전통 무용과 ‘감사의 노래’를, 쓰촨성 정부 쪽에서는 현지 화가가 그린 민속화를 이 대통령에게 각각 선물했다.

중국	중국/NNP
어린이들은	어린이/NNG+들/XSN+은/JX
전통	전통/NNG
무용과	무용/NNG+과/JC
‘감사의	‘/SS+감사/NNG+의/JKG
노래’를,	노래/NNG+’/SS+를/JKO+,/SP
쓰촨성	쓰촨성/NNP
정부	정부/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
현지	현지/NNG
화가가	화가/NNG+가/JKS
그린	그리/VV+ㄴ/ETM
민속화를	민속화/NNG+를/JKO
이	이/NNP
대통령에게	대통령/NNG+에게/JKB
각각	각각/MAG
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.164.2.5
이들 어린이는 한국의 한중문화경제우호협회와 중국인민대외우호협회 주선으로 4박5일 일정으로 지난 15일 방한했다.

이들	이/NP+들/XSN
어린이는	어린이/NNG+는/JX
한국의	한국/NNP+의/JKG
한중문화경제우호협회와	한중문화경제우호협회/NNP+와/JC
중국인민대외우호협회	중국인민대외우호협회/NNP
주선으로	주선/NNG+으로/JKB
4박5일	4/SN+박/NNB+5/SN+일/NNB
일정으로	일정/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
방한했다.	방한/NNG+하/XSV+았/EP+다/EF+./SF


