# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.260
metadata : {}


# id : NWRW1800000026.260.1.1
[수도권Ⅰ] 광명·김포·이천·안성·오산 부시장 교체

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
광명·김포·이천·안성·오산	광명/NNP+·/SP+김포/NNP+·/SP+이천/NNP+·/SP+안성/NNP+·/SP+오산/NNP
부시장	부시장/NNG
교체	교체/NNG


# id : NWRW1800000026.260.2.1
경기도는 30일 실·국장 및 부단체장에 대한 인사를 단행했다.

경기도는	경기도/NNP+는/JX
30일	30/SN+일/NNB
실·국장	실·국장/NNG
및	및/MAG
부단체장에	부단체장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인사를	인사/NNG+를/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.260.2.2
이번 인사로 광명·김포·이천·안성·오산시 등 5명의 부시장이 새로 부임했다.

이번	이번/NNG
인사로	인사/NNG+로/JKB
광명·김포·이천·안성·오산시	광명/NNP+·/SP+김포/NNP+·/SP+이천/NNP+·/SP+안성/NNP+·/SP+오산시/NNP
등	등/NNB
5명의	5/SN+명/NNB+의/JKG
부시장이	부시장/NNG+이/JKS
새로	새로/MAG
부임했다.	부임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.260.3.1
광명시 부시장에는 이지형(57) 경기도 신도시정책관이 임명됐다.

광명시	광명시/NNP
부시장에는	부시장/NNG+에/JKB+는/JX
이지형(57)	이지형/NNP+(/SS+57/SN+)/SS
경기도	경기도/NNP
신도시정책관이	신/XPN+도시/NNG+정책관/NNG+이/JKS
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.260.3.2
이 부시장은 경기도 뉴타운 사업과장과 군포시 건설도시국장 등을 역임했다.

이	이/NNP
부시장은	부시장/NNG+은/JX
경기도	경기도/NNP
뉴타운	뉴타운/NNG
사업과장과	사업/NNG+과장/NNG+과/JC
군포시	군포시/NNP
건설도시국장	건설/NNG+도시/NNG+국장/NNG
등을	등/NNB+을/JKO
역임했다.	역임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.260.3.3
김포시 부시장에는 박성권(55) 경기도 교통건설국장이 임명됐다.

김포시	김포시/NNP
부시장에는	부시장/NNG+에/JKB+는/JX
박성권(55)	박성권/NNP+(/SS+55/SN+)/SS
경기도	경기도/NNP
교통건설국장이	교통/NNG+건설국장/NNG+이/JKS
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.260.3.4
박 부시장은 경기도 신도시정책관와 건설본부장 등으로 일했다.

박	박/NNP
부시장은	부시장/NNG+은/JX
경기도	경기도/NNP
신도시정책관와	신/XPN+도시/NNG+정책관/NNG+와/JC
건설본부장	건설/NNG+본부장/NNG
등으로	등/NNB+으로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.260.3.5
이천시 부시장에는 김창규(57) 경기도 복지건강국장, 안성시 부시장에는 이철섭(58) 경기도 환경국장, 오산시 부시장에는 안수현(55) 경기도 2청 교통도로국장이 각각 임명됐다.

이천시	이천시/NNP
부시장에는	부시장/NNG+에/JKB+는/JX
김창규(57)	김창규/NNP+(/SS+57/SN+)/SS
경기도	경기도/NNP
복지건강국장,	복지/NNG+건강국장/NNG+,/SP
안성시	안성시/NNP
이철섭(58)	이철섭/NNP+(/SS+58/SN+)/SS
환경국장,	환경국장/NNG+,/SP
오산시	오산시/NNP
안수현(55)	안수현/NNP+(/SS+55/SN+)/SS
2청	2/SN+청/NNG
교통도로국장이	교통/NNG+도로국장/NNG+이/JKS
각각	각각/MAG
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.260.3.6
김 부시장은 경기도 수도권교통본부장과 수원시 권선구청장 등을 지냈고 이 부시장은 의왕시 부시장과 경기도 복지정책과장 등을 거쳤다.

김	김/NNP
부시장은	부시장/NNG+은/JX
경기도	경기도/NNP
수도권교통본부장과	수도/NNG+권/XSN+교통/NNG+본부장/NNG+과/JC
수원시	수원시/NNP
권선구청장	권선구청장/NNG
등을	등/NNB+을/JKO
지냈고	지내/VV+었/EP+고/EC
이	이/NNP
의왕시	의왕시/NNP
부시장과	부시장/NNG+과/JC
복지정책과장	복지/NNG+정책과장/NNG
거쳤다.	거치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.260.3.7
안 부시장은 경기도 대중교통과장과 경기도의회사무처 문화공보전문위원 등을 지냈다.

안	안/NNP
부시장은	부시장/NNG+은/JX
경기도	경기도/NNP
대중교통과장과	대중교통과장/NNG+과/JC
경기도의회사무처	경기도의회사무처/NNP
문화공보전문위원	문화/NNG+공보/NNG+전문/NNG+위원/NNG
등을	등/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


