# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.313
metadata : {}


# id : NWRW1800000049.313.1.1
월세-외식비 비중 높여… 5년만에 새 물가지수 나온다

월세-외식비	월세/NNG+-/SO+외식비/NNG
비중	비중/NNG
높여…	높이/VV+어/EC+…/SE
5년만에	5/SN+년/NNB+만/NNB+에/JKB
새	새/MMA
물가지수	물가/NNG+지수/NNG
나온다	나오/VV+ㄴ다/EF


# id : NWRW1800000049.313.2.1
정부가 신(新)소비자물가지수에 월세와 외식비의 반영 비중(가중치)을 대폭 높이기로 했다.

정부가	정부/NNG+가/JKS
신(新)소비자물가지수에	신/XPN+(/SS+新/SH+)/SS+소비자/NNG+물가/NNG+지수/NNG+에/JKB
월세와	월세/NNG+와/JC
외식비의	외식비/NNG+의/JKG
반영	반영/NNG
비중(가중치)을	비중/NNG+(/SS+가중/NNG+치/XSN+)/SS+을/JKO
대폭	대폭/MAG
높이기로	높이/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.313.2.2
현재 통계 기준이 만들어진 기준연도(2012년)와 비교했을 때 실제주거비의 지출 비중이 가장 큰 폭으로 상승하고 외식비 지출도 크게 높아졌기 때문이다.

현재	현재/MAG
통계	통계/NNG
기준이	기준/NNG+이/JKS
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
기준연도(2012년)와	기준/NNG+연도/NNG+(/SS+2012/SN+년/NNB+)/SS+와/JKB
비교했을	비교/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
실제주거비의	실제/NNG+주거비/NNG+의/JKG
지출	지출/NNG
비중이	비중/NNG+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
상승하고	상승/NNG+하/XSV+고/EC
외식비	외식비/NNG
지출도	지출/NNG+도/JX
크게	크/VA+게/EC
높아졌기	높아지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.313.3.1
통계청이 최근 발표한 2015년 연간 가계동향을 보면 지난해 전국 2인 이상 가구의 소비지출(256만3092원)에서 차지하는 주거·수도·광열 지출 비중은 10.83%(27만7468원)로 2012년보다 0.41%포인트 상승했다.

통계청이	통계청/NNG+이/JKS
최근	최근/MAG
발표한	발표/NNG+하/XSV+ㄴ/ETM
2015년	2015/SN+년/NNB
연간	연간/NNG
가계동향을	가계/NNG+동향/NNG+을/JKO
보면	보/VV+면/EC
지난해	지난해/NNG
전국	전국/NNG
2인	2/SN+인/NNG
이상	이상/NNG
가구의	가구/NNG+의/JKG
소비지출(256만3092원)에서	소비/NNG+지출/NNG+(/SS+256/SN+만/NR+3092/SN+원/NNB+)/SS+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
주거·수도·광열	주거/NNG+·/SP+수도/NNG+·/SP+광열/NNG
지출	지출/NNG
비중은	비중/NNG+은/JX
10.83%(27만7468원)로	10/SN+./SP+83/SN+%/SW+(/SS+27/SN+만/NR+7468/SN+원/NNB+)/SS+로/JKB
2012년보다	2012/SN+년/NNB+보다/JKB
0.41%포인트	0/SN+./SP+41/SN+%포인트/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.313.4.1
특히 주거·수도·광열 항목에 포함되는 월세의 지출 비중은 2.90%로 2012년(2.25%)보다 0.65%포인트 올라 주요 품목 가운데 상승폭이 가장 컸다.

특히	특히/MAG
주거·수도·광열	주거/NNG+·/SP+수도/NNG+·/SP+광열/NNG
항목에	항목/NNG+에/JKB
포함되는	포함/NNG+되/XSV+는/ETM
월세의	월세/NNG+의/JKG
지출	지출/NNG
비중은	비중/NNG+은/JX
2.90%로	2/SN+./SP+90/SN+%/SW+로/JKB
2012년(2.25%)보다	2012/SN+년/NNB+(/SS+2/SN+./SP+25/SN+%/SW+)/SS+보다/JKB
0.65%포인트	0/SN+./SP+65/SN+%포인트/NNG
올라	오르/VV+아/EC
주요	주요/NNG
품목	품목/NNG
가운데	가운데/NNG
상승폭이	상승/NNG+폭/NNG+이/JKS
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.313.4.2
최근 월세 전환율이 높아지면서 가구의 부담이 커지고 있지만 소비자물가지수(가중치 총합 1000)에 반영되는 월세 가중치는 30.8에 불과했다.

최근	최근/MAG
월세	월세/NNG
전환율이	전환/NNG+율/XSN+이/JKS
높아지면서	높아지/VV+면서/EC
가구의	가구/NNG+의/JKG
부담이	부담/NNG+이/JKS
커지고	커지/VV+고/EC
있지만	있/VX+지만/EC
소비자물가지수(가중치	소비자/NNG+물가/NNG+지수/NNG+(/SS+가중/NNG+치/XSN
총합	총합/NNG
1000)에	1000/SN+)/SS+에/JKB
반영되는	반영/NNG+되/XSV+는/ETM
가중치는	가중/NNG+치/XSN+는/JX
30.8에	30/SN+./SP+8/SN+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.313.4.3
가중치가 낮을수록 해당 품목이 물가지수에 미치는 영향이 적다.

가중치가	가중/NNG+치/XSN+가/JKS
낮을수록	낮/VA+을수록/EC
해당	해당/NNG
품목이	품목/NNG+이/JKS
물가지수에	물가/NNG+지수/NNG+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
적다.	적/VA+다/EF+./SF


# id : NWRW1800000049.313.4.4
월세 가중치는 스마트폰 이용료(33.9), 휘발유(31.2)보다 낮아 정부 발표 물가가 체감물가를 제대로 반영하지 못한다는 지적을 받았다.

월세	월세/NNG
가중치는	가중/NNG+치/XSN+는/JX
스마트폰	스마트폰/NNG
이용료(33.9),	이용료/NNG+(/SS+33/SN+./SP+9/SN+)/SS+,/SP
휘발유(31.2)보다	휘발유/NNG+(/SS+31/SN+./SP+2/SN+)/SS+보다/JKB
낮아	낮/VA+아/EC
정부	정부/NNG
발표	발표/NNG
물가가	물가/NNG+가/JKS
체감물가를	체감/NNG+물가/NNG+를/JKO
제대로	제대로/MAG
반영하지	반영/NNG+하/XSV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
지적을	지적/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.313.5.1
통계청 관계자는 “가구지출에서 월세 부담이 커져 새 지수에서는 월세 가중치를 높일 것”이라고 밝혔다.

통계청	통계청/NNG
관계자는	관계자/NNG+는/JX
“가구지출에서	“/SS+가구/NNG+지출/NNG+에서/JKB
월세	월세/NNG
부담이	부담/NNG+이/JKS
커져	커지/VV+어/EC
새	새/MMA
지수에서는	지수/NNG+에서/JKB+는/JX
가중치를	가중/NNG+치/XSN+를/JKO
높일	높이/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.313.5.2
외식비의 가중치도 높아질 것으로 전망된다.

외식비의	외식비/NNG+의/JKG
가중치도	가중/NNG+치/XSN+도/JX
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.313.5.3
가계동향에서 외식비 지출 비중은 지난해 12.87%(32만9913원)로 2012년(12.40%)보다 0.47%포인트 늘었다.

가계동향에서	가계/NNG+동향/NNG+에서/JKB
외식비	외식비/NNG
지출	지출/NNG
비중은	비중/NNG+은/JX
지난해	지난해/NNG
12.87%(32만9913원)로	12/SN+./SP+87/SN+%/SW+(/SS+32/SN+만/NR+9913/SN+원/NNB+)/SS+로/JKB
2012년(12.40%)보다	2012/SN+년/NNB+(/SS+12/SN+./SP+40/SN+%/SW+)/SS+보다/JKB
0.47%포인트	0/SN+./SP+47/SN+%포인트/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.313.6.1
반면 저유가의 영향으로 2012년에 비해 가구지출 비중이 줄어든 난방비(4.83%→4.14%)와 자동차 연료비(5.46%→4.70%) 등 에너지 품목 가중치는 줄어들 것으로 보인다.

반면	반면/NNG
저유가의	저/XPN+유가/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
2012년에	2012/SN+년/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
가구지출	가구/NNG+지출/NNG
비중이	비중/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
난방비(4.83%→4.14%)와	난방비/NNG+(/SS+4/SN+./SP+83/SN+%/SW+→/SW+4/SN+./SP+14/SN+%/SW+)/SS+와/JC
자동차	자동차/NNG
