# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.468
metadata : {}


# id : NWRW1800000028.468.1.1
강석주는 중·러, 김계관은 미·일 /북 ‘한·미·일 맞대응’ 외교 정비

강석주는	강석주/NNP+는/JX
중·러,	중/NNP+·/SP+러/NNP+,/SP
김계관은	김계관/NNP+은/JX
미·일	미/NNP+·/SP+일/NNP
/북	//SP+북/NNP
‘한·미·일	‘/SS+한·미·일/NNP
맞대응’	맞대응/NNG+’/SS
외교	외교/NNG
정비	정비/NNG


# id : NWRW1800000028.468.2.1
북한 당국이 최근 미국·중국·러시아·일본 등 주요국 관련 외교라인의 역할을 조정한 것으로 전해졌다.

북한	북한/NNP
당국이	당국/NNG+이/JKS
최근	최근/MAG
미국·중국·러시아·일본	미국/NNP+·/SP+중국/NNP+·/SP+러시아/NNP+·/SP+일본/NNP
등	등/NNB
주요국	주요국/NNG
관련	관련/NNG
외교라인의	외교/NNG+라인/NNG+의/JKG
역할을	역할/NNG+을/JKO
조정한	조정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.468.3.1
북한 내부 사정에 정통한 외교소식통은 30일 “내각 부총리로 승진한 강석주가 중국과 러시아를 맡고, 외무성 제1부상이 된 김계관은 미국·일본 등 이른바 ‘적성국’을 맡는 쪽으로 역할을 분담한 것으로 알고 있다”고 말했다.

북한	북한/NNP
내부	내부/NNG
사정에	사정/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
외교소식통은	외교/NNG+소식통/NNG+은/JX
30일	30/SN+일/NNB
“내각	“/SS+내각/NNG
부총리로	부총리/NNG+로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
강석주가	강석주/NNP+가/JKS
중국과	중국/NNP+과/JC
러시아를	러시아/NNP+를/JKO
맡고,	맡/VV+고/EC+,/SP
외무성	외무성/NNG
제1부상이	제/XPN+1/SN+부상/NNG+이/JKC
된	되/VV+ㄴ/ETM
김계관은	김계관/NNP+은/JX
미국·일본	미국/NNP+·/SP+일본/NNP
등	등/NNB
이른바	이른바/MAG
‘적성국’을	‘/SS+적성국/NNG+’/SS+을/JKO
맡는	맡/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
역할을	역할/NNG+을/JKO
분담한	분담/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.468.3.2
이 소식통은 “김계관 외무성 제1부상의 역할이 전보다 커졌다”고 덧붙였다.

이	이/MMD
소식통은	소식통/NNG+은/JX
“김계관	“/SS+김계관/NNP
외무성	외무성/NNG
제1부상의	제/XPN+1/SN+부상/NNG+의/JKG
역할이	역할/NNG+이/JKS
전보다	전/NNG+보다/JKB
커졌다”고	커지/VV+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.468.3.3
이 소식통은 또 “북한 외무성의 국장·부국장급에는 이른바 ‘다음 세대군’의 뛰어난 인재들이 새로 배치됐다”고 전해, 이런 외교라인의 역할 조정에 ‘세대교체’의 측면도 있음을 내비쳤다.

이	이/MMD
소식통은	소식통/NNG+은/JX
또	또/MAG
“북한	“/SS+북한/NNP
외무성의	외무성/NNG+의/JKG
국장·부국장급에는	국장/NNG+·/SP+부국장급/NNG+에/JKB+는/JX
이른바	이른바/MAG
‘다음	‘/SS+다음/NNG
세대군’의	세대/NNG+군/NNG+’/SS+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
인재들이	인재/NNG+들/XSN+이/JKS
새로	새로/MAG
배치됐다”고	배치/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
전해,	전하/VV+아/EC+,/SP
이런	이런/MMD
외교라인의	외교/NNG+라인/NNG+의/JKG
역할	역할/NNG
조정에	조정/NNG+에/JKB
‘세대교체’의	‘/SS+세대교체/NNG+’/SS+의/JKG
측면도	측면/NNG+도/JX
있음을	있/VA+음/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.468.4.1
실제 강석주(71) 부총리는 김정일 국방위원장의 올해 5월과 8월 중국 방문을 수행하고, 12월9일 김 위원장의 다이빙궈 중국 국무위원 면담에 배석하는 등 ‘대중 외교’에 자주 모습을 드러냈다.

실제	실제/MAG
강석주(71)	강석주/NNP+(/SS+71/SN+)/SS
부총리는	부총리/NNG+는/JX
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
올해	올해/NNG
5월과	5/SN+월/NNB+과/JC
8월	8/SN+월/NNB
중국	중국/NNP
방문을	방문/NNG+을/JKO
수행하고,	수행/NNG+하/XSV+고/EC+,/SP
12월9일	12/SN+월/NNB+9/SN+일/NNB
김	김/NNP
위원장의	위원장/NNG+의/JKG
다이빙궈	다이빙궈/NNP
국무위원	국무/NNG+위원/NNG
면담에	면담/NNG+에/JKB
배석하는	배석/NNG+하/XSV+는/ETM
등	등/NNB
‘대중	‘/SS+대중/NNG
외교’에	외교/NNG+’/SS+에/JKB
자주	자주/MAG
모습을	모습/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.468.4.2
반면에 김계관(67) 외무성 제1부상은 지난 8월 지미 카터 전 미국 대통령 및 12월 빌 리처드슨 미 뉴멕시코 주지사 방북 때 상대역을 맡는 등 ‘대미 외교의 얼굴’로 나서고 있다.

반면에	반면/NNG+에/JKB
김계관(67)	김계관/NNP+(/SS+67/SN+)/SS
외무성	외무성/NNG
제1부상은	제/XPN+1/SN+부상/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
지미	지미/NNP
카터	카터/NNP
전	전/MMD
미국	미국/NNP
대통령	대통령/NNG
및	및/MAG
12월	12/SN+월/NNB
빌	빌/NNP
리처드슨	리처드슨/NNP
미	미/NNP
뉴멕시코	뉴멕시코/NNP
주지사	주지사/NNG
방북	방북/NNG
때	때/NNG
상대역을	상대역/NNG+을/JKO
맡는	맡/VV+는/ETM
등	등/NNB
‘대미	‘/SS+대미/NNG
외교의	외교/NNG+의/JKG
얼굴’로	얼굴/NNG+’/SS+로/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.468.5.1
북한의 이런 외교라인 역할 조정에는 대외전략의 지속과 변화가 함께 내포돼 있을 것이라고 전문가들은 평가했다.

북한의	북한/NNP+의/JKG
이런	이런/MMD
외교라인	외교/NNG+라인/NNG
역할	역할/NNG
조정에는	조정/NNG+에/JKB+는/JX
대외전략의	대외/NNG+전략/NNG+의/JKG
지속과	지속/NNG+과/JC
변화가	변화/NNG+가/JKS
함께	함께/MAG
내포돼	내포/NNG+되/XSV+어/EC
있을	있/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.468.6.1
우선 대외전략에 관한 한 김정일 국방위원장의 최측근 참모인 강석주 부총리의 ‘총괄 조정’ 역할은 지속될 것으로 전망했다.

우선	우선/MAG
대외전략에	대외/NNG+전략/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
한	한/NNG
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
최측근	최/XPN+측근/NNG
참모인	참모/NNG+이/VCP+ㄴ/ETM
강석주	강석주/NNP
부총리의	부총리/NNG+의/JKG
‘총괄	‘/SS+총괄/NNG
조정’	조정/NNG+’/SS
역할은	역할/NNG+은/JX
지속될	지속/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.468.6.2
당 중앙위 정치국원이기도 한 강 부총리의 위상은 중국의 외교담당 국무위원인 다이빙궈에 견줄 수 있으리라는 것이다(김연철 인제대 교수).

당	당/NNG
중앙위	중앙위/NNG
정치국원이기도	정치국원/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
강	강/NNP
부총리의	부총리/NNG+의/JKG
위상은	위상/NNG+은/JX
중국의	중국/NNP+의/JKG
외교담당	외교/NNG+담당/NNG
국무위원인	국무/NNG+위원/NNG+이/VCP+ㄴ/ETM
다이빙궈에	다이빙궈/NNP+에/JKB
견줄	견주/VV+ㄹ/ETM
수	수/NNB
있으리라는	있/VA+으리라는/ETM
것이다(김연철	것/NNB+이/VCP+다/EF+(/SS+김연철/NNP
인제대	인제대/NNP
교수).	교수/NNG+)/SS+./SF


# id : NWRW1800000028.468.6.3
둘째, 강 부총리가 중국·러시아를 맡기로 한 것을 두고는 ‘대중·러 외교 강화 포석’이라는 분석도 나온다.

둘째,	둘째/NR+,/SP
강	강/NNP
부총리가	부총리/NNG+가/JKS
중국·러시아를	중국/NNP+·/SP+러시아/NNP+를/JKO
맡기로	맡/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
두고는	두/VV+고/EC+는/JX
‘대중·러	‘/SS+대중/NNG+·/SP+러/NNP
외교	외교/NNG
강화	강화/NNG
포석’이라는	포석/NNG+’/SS+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.468.6.4
익명을 요구한 한 전문가는 “북쪽이 중-러 관계 강화를 통해 기존의 대미 접근 일변도 대외전략에 변화를 주려는 것일 수 있다”고 지적했다.

익명을	익명/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
한	한/MMN
전문가는	전문가/NNG+는/JX
“북쪽이	“/SS+북쪽/NNG+이/JKS
중-러	중/NNP+-/SO+러/NNP
관계	관계/NNG
강화를	강화/NNG+를/JKO
통해	통하/VV+아/EC
기존의	기존/NNG+의/JKG
대미	대미/NNG
접근	접근/NNG
일변도	일변도/NNG
대외전략에	대외/NNG+전략/NNG+에/JKB
변화를	변화/NNG+를/JKO
주려는	주/VV+려는/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.468.6.5
북-중 관계를 약화시키려는 한·미·일의 행보에 대한 맞대응의 측면도 느껴진다.

북-중	북-중/NNP
관계를	관계/NNG+를/JKO
약화시키려는	약화/NNG+시키/XSV+려는/ETM
한·미·일의	한·미·일/NNP+의/JKG
행보에	행보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
맞대응의	맞대응/NNG+의/JKG
측면도	측면/NNG+도/JX
느껴진다.	느끼/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.468.6.6
셋째, 북쪽의 6자회담 수석대표인 김계관 제1부상의 역할 공간이 전보다 넓어질 수 있다는 전망도 있다.

셋째,	셋째/NR+,/SP
북쪽의	북쪽/NNG+의/JKG
6자회담	6/SN+자/NNB+회담/NNG
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
김계관	김계관/NNP
제1부상의	제/XPN+1/SN+부상/NNG+의/JKG
역할	역할/NNG
공간이	공간/NNG+이/JKS
전보다	전/NNG+보다/JKB
넓어질	넓어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망도	전망/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.468.6.7
넷째는 외교라인의 ‘세대교체 촉진’이다.

넷째는	넷째/NR+는/JX
외교라인의	외교/NNG+라인/NNG+의/JKG
‘세대교체	‘/SS+세대교체/NNG
촉진’이다.	촉진/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.468.6.8
6자회담 차석대표를 맡아온 리용호(57) 외무성 참사가 지난 9월 외무성 부상으로 승진한 게 대표적이다.

6자회담	6/SN+자/NNB+회담/NNG
차석대표를	차석/NNG+대표/NNG+를/JKO
맡아온	맡/VV+아/EC+오/VX+ㄴ/ETM
리용호(57)	리용호/NNP+(/SS+57/SN+)/SS
외무성	외무성/NNG
참사가	참사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
부상으로	부상/NNG+으로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.468.6.9
영국대사를 지낸 리 부상은 영어를 자유롭게 구사할뿐만 아니라 외교매너가 세련됐다는 평가를 받아왔다.

영국대사를	영국/NNP+대사/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
리	리/NNP
부상은	부상/NNG+은/JX
영어를	영어/NNP+를/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
구사할뿐만	구사/NNG+하/XSV+ㄹ/ETM+뿐/NNB+만/JX
아니라	아니/VCN+라/EC
외교매너가	외교/NNG+매너/NNG+가/JKS
세련됐다는	세련/NNG+되/XSA+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


