# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.314
metadata : {}


# id : NWRW1800000046.314.1.1
"재직자는 더 내고 덜 받게… 신입은 국민연금 수준지급"

"재직자는	"/SS+재직자/NNG+는/JX
더	더/MAG
내고	내/VV+고/EC
덜	덜/MAG
받게…	받/VV+게/EC+…/SE
신입은	신입/NNG+은/JX
국민연금	국민연금/NNG
수준지급"	수준/NNG+지급/NNG+"/SS


# id : NWRW1800000046.314.2.1
정부, 공무원 연금개혁 초안 제시… 野는 개혁안 안내놔

정부,	정부/NNG+,/SP
공무원	공무원/NNG
연금개혁	연금/NNG+개혁/NNG
초안	초안/NNG
제시…	제시/NNG+…/SE
野는	野/SH+는/JX
개혁안	개혁안/NNG
안내놔	안/MAG+내놓/VV+아/EF


# id : NWRW1800000046.314.3.1
정부가 5일 공무원연금 개혁을 위한 국민대타협기구 회의에서 작년 10월 발표한 정부안(案)과는 다른 수정 방향을 제시했다.

정부가	정부/NNG+가/JKS
5일	5/SN+일/NNB
공무원연금	공무원/NNG+연금/NNG
개혁을	개혁/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국민대타협기구	국민/NNG+대/XPN+타협/NNG+기구/NNG
회의에서	회의/NNG+에서/JKB
작년	작년/NNG
10월	10/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
정부안(案)과는	정부안/NNG+(/SS+案/SH+)/SS+과/JKB+는/JX
다른	다르/VA+ㄴ/ETM
수정	수정/NNG
방향을	방향/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.314.3.2
재직자의 연금 지급률을 다소 낮추고, 신규 임용된 공무원에게는 민간 수준의 퇴직금을 지급하겠다는 내용이다.

재직자의	재직자/NNG+의/JKG
연금	연금/NNG
지급률을	지급/NNG+률/XSN+을/JKO
다소	다소/MAG
낮추고,	낮추/VV+고/EC+,/SP
신규	신규/NNG
임용된	임용/NNG+되/XSV+ㄴ/ETM
공무원에게는	공무원/NNG+에게/JKB+는/JX
민간	민간/NNG
수준의	수준/NNG+의/JKG
퇴직금을	퇴직금/NNG+을/JKO
지급하겠다는	지급/NNG+하/XSV+겠/EP+다는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.314.4.1
이근면〈사진〉 인사혁신처장은 이날 국회에서 열린 4차 회의 도중 '정부가 검토하고 있는 기초안이 있느냐'는 질문에 "정부가 입장을 가지고 대타협기구에서 논의하기 위해 준비한 안이 있다"며 미리 준비해온 내용을 읽었다.

이근면〈사진〉	이근면/NNP+〈/SS+사진/NNG+〉/SS
