# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.252
metadata : {}


# id : NWRW1800000037.252.1.1
뭘 맡겨도… 다 잘해서 고민인 구자철

뭘	뭐/NP+ㄹ/JKO
맡겨도…	맡기/VV+어도/EC+…/SE
다	다/MAG
잘해서	잘/MAG+하/XSV+아서/EC
고민인	고민/NNG+이/VCP+ㄴ/ETM
구자철	구자철/NNP


# id : NWRW1800000037.252.2.1
■ 10일 크로아티아전 ‘키 플레이어’

■	■/SW
10일	10/SN+일/NNB
크로아티아전	크로아티아전/NNG
‘키	‘/SS+키/NNG
플레이어’	플레이어/NNG+’/SS


# id : NWRW1800000037.252.3.1
“구자철의 장점을 극대화할 수 있는 방안을 계획 중이다.”

“구자철의	“/SS+구자철/NNP+의/JKG
장점을	장점/NNG+을/JKO
극대화할	극대/NNG+화/XSN+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
계획	계획/NNG
중이다.”	중/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000037.252.4.1
홍명보 축구 국가대표팀 감독이 크로아티아와의 평가전(10일 오후 8시 전주월드컵경기장·KBS2)을 앞두고 9일 공식 기자회견을 했다.

홍명보	홍명보/NNP
축구	축구/NNG
국가대표팀	국가/NNG+대표/NNG+팀/NNG
감독이	감독/NNG+이/JKS
크로아티아와의	크로아티아/NNP+와/JKB+의/JKG
평가전(10일	평가전/NNG+(/SS+10/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
전주월드컵경기장·KBS2)을	전주월드컵경기장/NNP+·/SP+KBS/SL+2/SN+)/SS+을/JKO
앞두고	앞두/VV+고/EC
9일	9/SN+일/NNB
공식	공식/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.4.2
이날 홍 감독은 구자철(볼프스부르크)과 함께 참석했다.

이날	이날/NNG
홍	홍/NNP
감독은	감독/NNG+은/JX
구자철(볼프스부르크)과	구자철/NNP+(/SS+볼프스부르크/NNP+)/SS+과/JKB
함께	함께/MAG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.252.5.1
지금까지 홍 감독은 공식 기자회견에 동석한 선수를 통해 그 경기에서 보여 주고 싶은 축구를 드러냈다.

지금까지	지금/NNG+까지/JX
홍	홍/NNP
감독은	감독/NNG+은/JX
공식	공식/NNG
기자회견에	기자/NNG+회견/NNG+에/JKB
동석한	동석/NNG+하/XSV+ㄴ/ETM
선수를	선수/NNG+를/JKO
통해	통하/VV+아/EC
그	그/MMD
경기에서	경기/NNG+에서/JKB
보여	보이/VV+어/EC
주고	주/VX+고/EC
싶은	싶/VX+은/ETM
축구를	축구/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.252.5.2
조직력 구축을 강조한 동아시안컵을 앞두고는 주장 하대성(서울)을 동석시켰다.

조직력	조직력/NNG
구축을	구축/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
동아시안컵을	동아시안/NNP+컵/NNG+을/JKO
앞두고는	앞두/VV+고/EC+는/JX
주장	주장/NNG
하대성(서울)을	하대성/NNP+(/SS+서울/NNP+)/SS+을/JKO
동석시켰다.	동석/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.252.5.3
