# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.195
metadata : {}


# id : NWRW1800000024.195.1.1
아리랑TV ‘한류’ 싣고 미국 지상파 진출

아리랑TV	아리랑TV/NNP
‘한류’	‘/SS+한류/NNG+’/SS
싣고	싣/VV+고/EC
미국	미국/NNP
지상파	지상파/NNG
진출	진출/NNG


# id : NWRW1800000024.195.2.1
“그동안 아시아권에 머물렀던 한류를 미국에 본격적으로 알릴 수 있는 좋은 기회입니다.”

“그동안	“/SS+그동안/NNG
아시아권에	아시아/NNP+권/XSN+에/JKB
머물렀던	머무르/VV+었/EP+던/ETM
한류를	한류/NNG+를/JKO
미국에	미국/NNP+에/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
알릴	알리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
좋은	좋/VA+은/ETM
기회입니다.”	기회/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000024.195.3.1
국내외 거주 외국인들에게 한국을 알리는 영어방송 <아리랑 티브이>가 미국 지상파티브이 진출에 성공했다.

국내외	국내외/NNG
거주	거주/NNG
외국인들에게	외국인/NNG+들/XSN+에게/JKB
한국을	한국/NNP+을/JKO
알리는	알리/VV+는/ETM
영어방송	영어/NNP+방송/NNG
<아리랑	</SS+아리랑/NNP
티브이>가	티브이/NNG+>/SS+가/JKS
미국	미국/NNP
지상파티브이	지상파/NNG+티브이/NNG
진출에	진출/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.195.3.2
아리랑티브이는 지난 1일부터 미국 제2의 도시인 로스앤젤레스에서 디지털지상파방송 채널 44-5번으로 24시간 방송을 하고 있다.

아리랑티브이는	아리랑티브이/NNP+는/JX
지난	지나/VV+ㄴ/ETM
1일부터	1/SN+일/NNB+부터/JX
미국	미국/NNP
제2의	제/XPN+2/SN+의/JKG
도시인	도시/NNG+이/VCP+ㄴ/ETM
로스앤젤레스에서	로스앤젤레스/NNP+에서/JKB
디지털지상파방송	디지털/NNG+지상파/NNG+방송/NNG
채널	채널/NNG
44-5번으로	44/SN+-/SO+5/SN+번/NNB+으로/JKB
24시간	24/SN+시간/NNB
방송을	방송/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.195.3.3
대상 시청자만 560만가구나 된다.

대상	대상/NNG
시청자만	시청자/NNG+만/JX
560만가구나	560/SN+만/NR+가구/NNG+나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.195.3.4
아리랑티브이 정국록(62) 사장은 “1996년 출범 이후 가장 큰 성과”라고 강조했다.

아리랑티브이	아리랑티브이/NNP
정국록(62)	정국록/NNP+(/SS+62/SN+)/SS
사장은	사장/NNG+은/JX
“1996년	“/SS+1996/SN+년/NNB
출범	출범/NNG
이후	이후/NNG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
성과”라고	성과/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.195.4.1
99년 아시아권 해외위성방송을 개국한 아리랑티브이는 2000년 이후 유럽 등 전세계로 시장을 넓혔고, 미국에서는 2001년 24시간 위성방송을, 2007년부터는 로스앤젤레스·뉴욕 등 주요 도시 케이블방송을 통해 서비스하고 있다.

99년	99/SN+년/NNB
아시아권	아시아/NNP+권/XSN
해외위성방송을	해외/NNG+위성/NNG+방송/NNG+을/JKO
개국한	개국/NNG+하/XSV+ㄴ/ETM
아리랑티브이는	아리랑티브이/NNP+는/JX
2000년	2000/SN+년/NNB
이후	이후/NNG
유럽	유럽/NNP
등	등/NNB
전세계로	전/MMN+세계/NNG+로/JKB
시장을	시장/NNG+을/JKO
넓혔고,	넓히/VV+었/EP+고/EC+,/SP
미국에서는	미국/NNP+에서/JKB+는/JX
2001년	2001/SN+년/NNB
24시간	24/SN+시간/NNB
위성방송을,	위성/NNG+방송/NNG+을/JKO+,/SP
2007년부터는	2007/SN+년/NNB+부터/JX+는/JX
로스앤젤레스·뉴욕	로스앤젤레스/NNP+·/SP+뉴욕/NNP
주요	주요/NNG
도시	도시/NNG
케이블방송을	케이블/NNG+방송/NNG+을/JKO
통해	통하/VV+아/EC
서비스하고	서비스/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.195.4.2
하지만 위성방송과 케이블 채널은 유료 서비스라는 한계가 있었다.

하지만	하지만/MAJ
위성방송과	위성/NNG+방송/NNG+과/JC
케이블	케이블/NNG
채널은	채널/NNG+은/JX
유료	유료/NNG
서비스라는	서비스/NNG+이/VCP+라는/ETM
한계가	한계/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.195.4.3
정 사장은 “지상파 채널을 통해 24시간 무료로 방송하기 때문에 미국 현지인은 물론 동포들이 한국을 접할 수 있는 기회가 획기적으로 늘어날 것”이라고 자신했다.

정	정/NNP
사장은	사장/NNG+은/JX
“지상파	“/SS+지상파/NNG
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
24시간	24/SN+시간/NNB
무료로	무료/NNG+로/JKB
방송하기	방송/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
미국	미국/NNP
현지인은	현지인/NNG+은/JX
물론	물론/MAG
동포들이	동포/NNG+들/XSN+이/JKS
한국을	한국/NNP+을/JKO
접할	접하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKS
획기적으로	획기적/NNG+으로/JKB
늘어날	늘어나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
자신했다.	자신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.195.4.4
특히 한국말이 서툰 동포 2세, 3세들이 쉽고 편하게 한국 문화를 만날 수 있다는 점에서 동포 1세들의 기대가 높다고 그는 덧붙였다.

특히	특히/MAG
한국말이	한국말/NNG+이/JKS
서툰	서툴/VA+ㄴ/ETM
동포	동포/NNG
2세,	2/SN+세/NNB+,/SP
3세들이	3/SN+세/NNB+들/XSN+이/JKS
쉽고	쉽/VA+고/EC
편하게	편하/VA+게/EC
한국	한국/NNP
문화를	문화/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
1세들의	1/SN+세/NNB+들/XSN+의/JKG
기대가	기대/NNG+가/JKS
높다고	높/VA+다고/EC
그는	그/NP+는/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.195.5.1
7월 뉴욕을 비롯, 애틀랜타·시카고·워싱턴 등 미국내 주요 도시로 지상파방송을 확대하고, 유럽 등 다른 대륙에서도 추진해 2~3년내 전세계 1억가구가 시청할 수 있도록 할 계획이라고 정 사장은 전망했다.

7월	7/SN+월/NNB
뉴욕을	뉴욕/NNP+을/JKO
비롯,	비롯/XR+,/SP
애틀랜타·시카고·워싱턴	애틀랜타/NNP+·/SP+시카고/NNP+·/SP+워싱턴/NNP
등	등/NNB
미국내	미국/NNP+내/NNB
주요	주요/NNG
도시로	도시/NNG+로/JKB
지상파방송을	지상파/NNG+방송/NNG+을/JKO
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
유럽	유럽/NNP
다른	다른/MMD
대륙에서도	대륙/NNG+에서/JKB+도/JX
추진해	추진/NNG+하/XSV+아/EC
2~3년내	2/SN+~/SO+3/SN+년/NNB+내/NNB
전세계	전/MMN+세계/NNG
1억가구가	1/SN+억/NR+가구/NNG+가/JKS
시청할	시청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
정	정/NNP
사장은	사장/NNG+은/JX
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


