# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.18
metadata : {}


# id : NWRW1800000029.18.1.1
東日本 대지진 / 日서 부품조달 中企 수급 비상

東日本	東日本/SH
대지진	대/XPN+지진/NNG
/	//SP
日서	日/SH+서/JKB
부품조달	부품/NNG+조달/NNG
中企	中企/SH
수급	수급/NNG
비상	비상/NNG


# id : NWRW1800000029.18.2.1
전자기업 30%가 日서 조달… 수출 액수는 적어 피해 덜해 중기청 대책반 실태조사

전자기업	전자/NNG+기업/NNG
30%가	30/SN+%/SW+가/JKS
日서	日/SH+서/JKB
조달…	조달/NNG+…/SE
수출	수출/NNG
액수는	액수/NNG+는/JX
적어	적/VA+어/EC
피해	피해/NNG
덜해	덜/MAG+하/XSA+아/EF
중기청	중기청/NNG
대책반	대책반/NNG
실태조사	실태/NNG+조사/NNG


# id : NWRW1800000029.18.3.1
동일본 대지진 여파가 계속되면서 일본과 무역을 하는 국내 중소기업들도 사태 파악과 대책 마련에 고심하고 있다.

동일본	동일본/NNP
대지진	대/XPN+지진/NNG
여파가	여파/NNG+가/JKS
계속되면서	계속/NNG+되/XSV+면서/EC
일본과	일본/NNP+과/JKB
무역을	무역/NNG+을/JKO
하는	하/VV+는/ETM
국내	국내/NNG
중소기업들도	중소기업/NNG+들/XSN+도/JX
사태	사태/NNG
파악과	파악/NNG+과/JC
대책	대책/NNG
마련에	마련/NNG+에/JKB
고심하고	고심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.18.3.2
14일 중소기업청에 따르면 일본에 수출을 하는 국내 중소기업은 1만9000여 개이며 일본으로부터 수입을 하는 국내 업체는 3만여 개에 이른다.

14일	14/SN+일/NNB
중소기업청에	중소기업청/NNG+에/JKB
따르면	따르/VV+면/EC
일본에	일본/NNP+에/JKB
수출을	수출/NNG+을/JKO
하는	하/VV+는/ETM
국내	국내/NNG
중소기업은	중소기업/NNG+은/JX
1만9000여	1/SN+만/NR+9000/SN+여/XSN
개이며	개/NNB+이/VCP+며/EC
일본으로부터	일본/NNP+으로부터/JKB
수입을	수입/NNG+을/JKO
업체는	업체/NNG+는/JX
3만여	3/SN+만/NR+여/XSN
개에	개/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.18.4.1
지진으로 인한 중소기업 피해가 적지 않을 것으로 예상되는 가운데 중기청과 중소기업중앙회는 동일본 대지진 관련 중소기업지원 대책반을 각각 구성해 14일부터 본격적으로 피해 파악에 나섰다.

지진으로	지진/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
중소기업	중소기업/NNG
