# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.382
metadata : {}


# id : NWRW1800000036.382.1.1
노동자 보호·탈핵 등 진보가치 내걸었지만… 입지 좁아진 소수정당

노동자	노동자/NNG
보호·탈핵	보호/NNG+·/SP+탈핵/NNG
등	등/NNB
진보가치	진보/NNG+가치/NNG
내걸었지만…	내걸/VV+었/EP+지만/EC+…/SE
입지	입지/NNG
좁아진	좁아지/VV+ㄴ/ETM
소수정당	소수/NNG+정당/NNG


# id : NWRW1800000036.382.2.1
[한겨레] 득표율 2% 안되고, 당선자 못낸 16개 정당 등록 취소

[한겨레]	[/SS+한겨레/NNP+]/SS
득표율	득표/NNG+율/XSN
2%	2/SN+%/SW
안되고,	안/MAG+되/XSV+고/EC+,/SP
당선자	당선자/NNG
못낸	못/MAG+내/VV+ㄴ/ETM
16개	16/SN+개/NNB
정당	정당/NNG
등록	등록/NNG
취소	취소/NNG


# id : NWRW1800000036.382.3.1
진보·녹색·청년당도 ‘벽’…“제2창당, 도전 계속할 것”

진보·녹색·청년당도	진보·녹색·청년당/NNP+도/JX
‘벽’…“제2창당,	‘/SS+벽/NNG+’/SS+…/SE+“/SS+제/XPN+2/SN+창당/NNG+,/SP
도전	도전/NNG
계속할	계속/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000036.382.4.1
4·11 총선에서 다양한 진보적 가치를 내걸고 원내 진입에 도전했던 정당들은 이번에도 참담한 성적표를 받았다.

4·11	4/SN+·/SP+11/SN
총선에서	총선/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
진보적	진보/NNG+적/XSN
가치를	가치/NNG+를/JKO
내걸고	내걸/VV+고/EC
원내	원내/NNG
진입에	진입/NNG+에/JKB
도전했던	도전/NNG+하/XSV+았/EP+던/ETM
정당들은	정당/NNG+들/XSN+은/JX
이번에도	이번/NNG+에/JKB+도/JX
참담한	참담/NNG+하/XSA+ㄴ/ETM
성적표를	성적표/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.382.4.2
기성 정당의 높은 벽을 넘지 못한 진보신당과 녹색당, 청년당, 창조한국당 등은 이번 총선을 끝으로 공중분해 될 처지에 놓였다.

기성	기성/NNG
정당의	정당/NNG+의/JKG
높은	높/VA+은/ETM
벽을	벽/NNG+을/JKO
넘지	넘/VV+지/EC
못한	못하/VX+ㄴ/ETM
진보신당과	진보신당/NNP+과/JC
녹색당,	녹색당/NNP+,/SP
청년당,	청년당/NNP+,/SP
창조한국당	창조한국당/NNP
등은	등/NNB+은/JX
이번	이번/NNG
총선을	총선/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
공중분해	공중분해/NNG
될	되/VV+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.4.3
현행 정당법상 지역구 당선자를 내지 못하고, 정당 득표율 2%를 넘지 못한 당은 등록취소가 되기 때문이다.

현행	현행/NNG
정당법상	정당법/NNG+상/XSN
지역구	지역구/NNG
당선자를	당선자/NNG+를/JKO
내지	내/VV+지/EC
못하고,	못하/VX+고/EC+,/SP
정당	정당/NNG
득표율	득표/NNG+율/XSN
2%를	2/SN+%/SW+를/JKO
넘지	넘/VV+지/EC
못한	못하/VX+ㄴ/ETM
당은	당/NNG+은/JX
등록취소가	등록/NNG+취소/NNG+가/JKC
되기	되/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.382.4.4
이번 총선에 나선 정당 20곳 가운데 새누리당, 민주통합당, 통합진보당, 자유선진당을 제외한 16개 정당이 당선자를 내지 못했고 정당지지율도 2%를 못 넘겼다.

이번	이번/NNG
총선에	총선/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
정당	정당/NNG
20곳	20/SN+곳/NNG
가운데	가운데/NNG
새누리당,	새누리당/NNP+,/SP
민주통합당,	민주통합당/NNP+,/SP
통합진보당,	통합진보당/NNP+,/SP
자유선진당을	자유선진당/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
16개	16/SN+개/NNB
정당이	정당/NNG+이/JKS
당선자를	당선자/NNG+를/JKO
내지	내/VV+지/EC
못했고	못하/VX+았/EP+고/EC
정당지지율도	정당/NNG+지지/NNG+율/XSN+도/JX
2%를	2/SN+%/SW+를/JKO
못	못/MAG
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.5.1
각 정당별 정당투표 득표율을 보면, 진보신당이 1.13%를 얻었고, 녹색당 0.48%, 창조한국당 0.43%, 청년당 0.34%를 각각 얻었다.

각	각/MMD
정당별	정당/NNG+별/XSN
정당투표	정당/NNG+투표/NNG
득표율을	득표/NNG+율/XSN+을/JKO
보면,	보/VV+면/EC+,/SP
진보신당이	진보신당/NNP+이/JKS
1.13%를	1/SN+./SP+13/SN+%/SW+를/JKO
얻었고,	얻/VV+었/EP+고/EC+,/SP
녹색당	녹색당/NNP
0.48%,	0/SN+./SP+48/SN+%/SW+,/SP
창조한국당	창조한국당/NNP
0.43%,	0/SN+./SP+43/SN+%/SW+,/SP
청년당	청년당/NNP
0.34%를	0/SN+./SP+34/SN+%/SW+를/JKO
각각	각각/MAG
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.6.1
진보신당은 경남 거제시에 출마한 김한주 후보의 당선을 기대했으나 박빙의 차이로 낙선해 당 전체가 분루를 삼켰다.

진보신당은	진보신당/NNP+은/JX
경남	경남/NNP
거제시에	거제시/NNP+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
김한주	김한주/NNP
후보의	후보/NNG+의/JKG
당선을	당선/NNG+을/JKO
기대했으나	기대/NNG+하/XSV+았/EP+으나/EC
박빙의	박빙/NNG+의/JKG
차이로	차이/NNG+로/JKB
낙선해	낙선/NNG+하/XSV+아/EC
당	당/NNG
전체가	전체/NNG+가/JKS
분루를	분루/NNG+를/JKO
삼켰다.	삼키/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.6.2
김 후보는 새누리당 진성진 후보, 무소속 김한표 후보와 개표 마지막까지 피 말리는 3파전을 벌였다.

김	김/NNP
후보는	후보/NNG+는/JX
새누리당	새누리당/NNP
진성진	진성진/NNP
후보,	후보/NNG+,/SP
무소속	무/XPN+소속/NNG
김한표	김한표/NNP
후보와	후보/NNG+와/JKB
개표	개표/NNG
마지막까지	마지막/NNG+까지/JX
피	피/NNG
말리는	말리/VV+는/ETM
3파전을	3파전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.6.3
최종 개표 결과 김 후보는 32.96%를 얻어 31.69%를 얻은 새누리당 진 후보를 따돌렸으나, 35.33%를 얻은 무소속 김 후보에게 2190표(2.37%포인트) 차이로 고배를 마셨다.

최종	최종/NNG
개표	개표/NNG
결과	결과/NNG
김	김/NNP
후보는	후보/NNG+는/JX
32.96%를	32/SN+./SP+96/SN+%/SW+를/JKO
얻어	얻/VV+어/EC
31.69%를	31/SN+./SP+69/SN+%/SW+를/JKO
얻은	얻/VV+은/ETM
새누리당	새누리당/NNP
진	진/NNP
후보를	후보/NNG+를/JKO
따돌렸으나,	따돌리/VV+었/EP+으나/EC+,/SP
35.33%를	35/SN+./SP+33/SN+%/SW+를/JKO
무소속	무/XPN+소속/NNG
후보에게	후보/NNG+에게/JKB
2190표(2.37%포인트)	2190/SN+표/NNG+(/SS+2/SN+./SP+37/SN+%포인트/NNG+)/SS
차이로	차이/NNG+로/JKB
고배를	고배/NNG+를/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.6.4
홍세화 진보신당 대표는 12일 대국민 메시지를 내어 “저희의 실력을 확인한 현실 앞에서 겸허히 결과를 받아들이며, 정당투표에서 저희를 찍어주신 24만2995명의 소망을 끌어안고 다시 시작하겠다”며 “사회당과 통합한 저희 진보신당은 앞으로 노동, 학계 등과 함께 제2창당을 통해 새로운 진보좌파정당으로 다시 국민들을 만나뵙겠다”고 밝혔다.

홍세화	홍세화/NNP
진보신당	진보신당/NNP
대표는	대표/NNG+는/JX
12일	12/SN+일/NNB
대국민	대국민/NNG
메시지를	메시지/NNG+를/JKO
내어	내/VV+어/EC
“저희의	“/SS+저희/NP+의/JKG
실력을	실력/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
현실	현실/NNG
앞에서	앞/NNG+에서/JKB
겸허히	겸허히/MAG
결과를	결과/NNG+를/JKO
받아들이며,	받아들이/VV+며/EC+,/SP
정당투표에서	정당/NNG+투표/NNG+에서/JKB
저희를	저희/NP+를/JKO
찍어주신	찍/VV+어/EC+주/VX+시/EP+ㄴ/ETM
24만2995명의	24/SN+만/NR+2995/SN+명/NNB+의/JKG
소망을	소망/NNG+을/JKO
끌어안고	끌어안/VV+고/EC
다시	다시/MAG
시작하겠다”며	시작/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“사회당과	“/SS+사회당/NNP+과/JKB
통합한	통합/NNG+하/XSV+ㄴ/ETM
저희	저희/NP
진보신당은	진보신당/NNP+은/JX
앞으로	앞/NNG+으로/JKB
노동,	노동/NNG+,/SP
학계	학계/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
제2창당을	제/XPN+2/SN+창당/NNG+을/JKO
통해	통하/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
진보좌파정당으로	진보/NNG+좌파/NNG+정당/NNG+으로/JKB
국민들을	국민/NNG+들/XSN+을/JKO
만나뵙겠다”고	만나/VV+아/EC+뵙/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.7.1
국내에서 생태주의를 전면에 내건 첫 정당으로 기록될 녹색당도 ‘탈핵’을 제 1공약으로 삼아 원자력발전소 폐기와 동물 생명권, 양심에 따른 병역거부 인정 등 파격적인 공약을 내걸었으나, 유권자들의 시선을 붙드는 데 실패했다.

국내에서	국내/NNG+에서/JKB
생태주의를	생태주의/NNG+를/JKO
전면에	전면/NNG+에/JKB
내건	내걸/VV+ㄴ/ETM
첫	첫/MMN
정당으로	정당/NNG+으로/JKB
기록될	기록/NNG+되/XSV+ㄹ/ETM
녹색당도	녹색당/NNP+도/JX
‘탈핵’을	‘/SS+탈핵/NNG+’/SS+을/JKO
제	제/XPN
1공약으로	1/SN+공약/NNG+으로/JKB
삼아	삼/VV+아/EC
원자력발전소	원자력/NNG+발전소/NNG
폐기와	폐기/NNG+와/JC
동물	동물/NNG
생명권,	생명/NNG+권/XSN+,/SP
양심에	양심/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
병역거부	병역/NNG+거부/NNG
인정	인정/NNG
등	등/NNB
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
공약을	공약/NNG+을/JKO
내걸었으나,	내걸/VV+었/EP+으나/EC+,/SP
유권자들의	유권자/NNG+들/XSN+의/JKG
시선을	시선/NNG+을/JKO
붙드는	붙들/VV+는/ETM
데	데/NNB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.382.7.2
녹색당에서는 박혜령 후보와 구자상 후보가 각각 핵발전소가 있는 경북 영양·영덕·봉화·울진과 부산 해운대·기장을에 나섰지만 새누리당의 아성에 좌절해야 했다.

녹색당에서는	녹색당/NNP+에서/JKB+는/JX
박혜령	박혜령/NNP
후보와	후보/NNG+와/JC
구자상	구자상/NNP
후보가	후보/NNG+가/JKS
각각	각각/MAG
핵발전소가	핵/NNG+발전소/NNG+가/JKS
있는	있/VA+는/ETM
경북	경북/NNP
영양·영덕·봉화·울진과	영양/NNP+·/SP+영덕/NNP+·/SP+봉화/NNP+·/SP+울진/NNP+과/JC
부산	부산/NNP
해운대·기장을에	해운대·기장을/NNP+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
새누리당의	새누리당/NNP+의/JKG
아성에	아성/NNG+에/JKB
좌절해야	좌절/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.382.8.1
청년들이 직접 일자리와 대학 등록금 등의 문제를 해결하겠다며 만든 청년당도 1달도 안 돼 그 꿈을 접어야 할 처지가 됐다.

청년들이	청년/NNG+들/XSN+이/JKS
직접	직접/MAG
일자리와	일자리/NNG+와/JC
대학	대학/NNG
등록금	등록금/NNG
등의	등/NNB+의/JKG
문제를	문제/NNG+를/JKO
해결하겠다며	해결/NNG+하/XSV+겠/EP+다며/EC
만든	만들/VV+ㄴ/ETM
청년당도	청년당/NNP+도/JX
1달도	1/SN+달/NNB+도/JX
안	안/MAG
돼	되/VV+어/EC
그	그/MMD
꿈을	꿈/NNG+을/JKO
접어야	접/VV+어야/EC
할	하/VX+ㄹ/ETM
처지가	처지/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.382.8.2
지난 3월13일 창당해 8000여명의 당원을 모은 청년당은 서울 마포을 권완수 후보 등 지역구 3곳과 비례대표로 후보 4명을 냈지만 역시 기성 정치권에 반향을 일으키기엔 역부족임을 실감해야 했다.

지난	지나/VV+ㄴ/ETM
3월13일	3/SN+월/NNB+13/SN+일/NNB
창당해	창당/NNG+하/XSV+아/EC
8000여명의	8000/SN+여/XSN+명/NNB+의/JKG
당원을	당원/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
청년당은	청년당/NNP+은/JX
서울	서울/NNP
마포을	마포을/NNP
권완수	권완수/NNP
후보	후보/NNG
등	등/NNB
지역구	지역구/NNG
3곳과	3/SN+곳/NNG+과/JC
비례대표로	비례/NNG+대표/NNG+로/JKB
4명을	4/SN+명/NNB+을/JKO
냈지만	내/VV+었/EP+지만/EC
역시	역시/MAG
기성	기성/NNG
정치권에	정치/NNG+권/XSN+에/JKB
반향을	반향/NNG+을/JKO
일으키기엔	일으키/VV+기/ETN+에/JKB+ㄴ/JX
