# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.191
metadata : {}


# id : NWRW1800000028.191.1.1
LH, 땅투자 해약해도 ‘원금+이자’ 준다

LH,	LH/SL+,/SP
땅투자	땅/NNG+투자/NNG
해약해도	해약/NNG+하/XSV+아도/EC
‘원금+이자’	‘/SS+원금/NNG++/SW+이자/NNG+’/SS
준다	주/VV+ㄴ다/EF


# id : NWRW1800000028.191.2.1
한국토지주택공사(LH)는 기존에 시행하던 토지 리턴제도를 파격적으로 개선해 일정기간이 지난 뒤 계약 해지를 요구하면 계약금을 돌려주고, 그동안 낸 중도금의 이자도 주기로 했다고 9일 밝혔다.

한국토지주택공사(LH)는	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+는/JX
기존에	기존/NNG+에/JKB
시행하던	시행/NNG+하/XSV+던/ETM
토지	토지/NNG
리턴제도를	리턴/NNG+제도/NNG+를/JKO
파격적으로	파격/NNG+적/XSN+으로/JKB
개선해	개선/NNG+하/XSV+아/EC
일정기간이	일정/NNG+기간/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
계약	계약/NNG
해지를	해지/NNG+를/JKO
요구하면	요구/NNG+하/XSV+면/EC
계약금을	계약금/NNG+을/JKO
돌려주고,	돌려주/VV+고/EC+,/SP
그동안	그동안/NNG
낸	내/VV+ㄴ/ETM
중도금의	중도금/NNG+의/JKG
이자도	이자/NNG+도/JX
주기로	주/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
9일	9/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.191.2.2
토지주택공사가 토지 리턴제를 개선한 것은 토지 판매를 촉진하기 위해서다.

토지주택공사가	토지주택공사/NNP+가/JKS
토지	토지/NNG
리턴제를	리턴/NNG+제/XSN+를/JKO
개선한	개선/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
판매를	판매/NNG+를/JKO
촉진하기	촉진/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000028.191.3.1
개선안을 보면, 토지 매수자는 계약 체결일로부터 매수 토지가 2년 이하 할부 토지면 1년, 2년 초과 할부 토지는 2년이 지난 시점부터 잔금 약정일까지 계약금 귀속 없이 리턴(해약)이 가능하다.

개선안을	개선안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
토지	토지/NNG
매수자는	매수자/NNG+는/JX
계약	계약/NNG
체결일로부터	체결일/NNG+로부터/JKB
매수	매수/NNG
토지가	토지/NNG+가/JKS
2년	2/SN+년/NNB
이하	이하/NNG
할부	할부/NNG
토지면	토지/NNG+이/VCP+면/EC
1년,	1/SN+년/NNB+,/SP
초과	초과/NNG
토지는	토지/NNG+는/JX
2년이	2/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
시점부터	시점/NNG+부터/JX
잔금	잔금/NNG
약정일까지	약정일/NNG+까지/JX
계약금	계약금/NNG
귀속	귀속/NNG
없이	없이/MAG
리턴(해약)이	리턴/NNG+(/SS+해약/NNG+)/SS+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.191.3.2
또 납부한 중도금도 5%의 이자를 가산해 반환받을 수 있다.

또	또/MAG
납부한	납부/NNG+하/XSV+ㄴ/ETM
중도금도	중도금/NNG+도/JX
5%의	5/SN+%/SW+의/JKG
이자를	이자/NNG+를/JKO
가산해	가산/NNG+하/XSV+아/EC
반환받을	반환/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.191.3.3
현재 시행 중인 토지 리턴제는 해약 때 이미 납부한 중도금에 대한 이자 지급이 없고, 30일 이상 연체하면 리턴권이 소멸하고 일반계약으로 전환돼 계약금이 토지주택공사에 귀속된다.

현재	현재/MAG
시행	시행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
토지	토지/NNG
리턴제는	리턴/NNG+제/XSN+는/JX
해약	해약/NNG
때	때/NNG
이미	이미/MAG
납부한	납부/NNG+하/XSV+ㄴ/ETM
중도금에	중도금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이자	이자/NNG
지급이	지급/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
30일	30/SN+일/NNB
이상	이상/NNG
연체하면	연체/NNG+하/XSV+면/EC
리턴권이	리턴/NNG+권/XSN+이/JKS
소멸하고	소멸/NNG+하/XSV+고/EC
일반계약으로	일반/NNG+계약/NNG+으로/JKB
