# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.34
metadata : {}


# id : NWRW1800000036.34.1.1
르노-닛산 곤 회장 “르노삼성 1700억 지원”…‘희망고문’ 되나

르노-닛산	르노-닛산/NNP
곤	곤/NNP
회장	회장/NNG
“르노삼성	“/SS+르노삼성/NNP
1700억	1700/SN+억/NR
지원”…‘희망고문’	지원/NNG+”/SS+…/SE+‘/SS+희망/NNG+고문/NNG+’/SS
되나	되/VV+나/EF


# id : NWRW1800000036.34.2.1
[한겨레] 부산공장서 ‘로그’ 생산방안도 제시

[한겨레]	[/SS+한겨레/NNP+]/SS
부산공장서	부산/NNP+공장/NNG+서/JKB
‘로그’	‘/SS+로그/NNP+’/SS
생산방안도	생산/NNG+방안/NNG+도/JX
제시	제시/NNG


# id : NWRW1800000036.34.3.1
사실상 현상유지…구조조정 우려도

사실상	사실상/MAG
현상유지…구조조정	현상/NNG+유지/NNG+…/SE+구조/NNG+조정/NNG
우려도	우려/NNG+도/JX


# id : NWRW1800000036.34.4.1
카를로스 곤 르노-닛산그룹 회장이 20일 극심한 경영난에 빠진 르노삼성 지원책을 내놨다.

카를로스	카를로스/NNP
곤	곤/NNP
르노-닛산그룹	르노-닛산그룹/NNP
회장이	회장/NNG+이/JKS
20일	20/SN+일/NNB
극심한	극심하/VA+ㄴ/ETM
경영난에	경영난/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
르노삼성	르노삼성/NNP
지원책을	지원책/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.34.4.2
하지만 곤 회장의 지원책이 얼마나 적절한 처방인지에 의문이 제기되고 있다.

하지만	하지만/MAJ
곤	곤/NNP
회장의	회장/NNG+의/JKG
지원책이	지원책/NNG+이/JKS
얼마나	얼마나/MAG
적절한	적절하/VA+ㄴ/ETM
처방인지에	처방/NNG+이/VCP+ㄴ지/EF+에/JKB
의문이	의문/NNG+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.34.5.1
지난 19일 저녁 전용기를 타고 김해공항을 통해 입국한 곤 회장은 하루 뒤인 20일 르노삼성 부산공장과 경기도 기흥연구소를 돌아본 뒤, 서울 63빌딩 컨벤션센터에서 기자간담회를 열었다.

지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
저녁	저녁/NNG
전용기를	전용기/NNG+를/JKO
타고	타/VV+고/EC
김해공항을	김해공항/NNP+을/JKO
통해	통하/VV+아/EC
입국한	입국/NNG+하/XSV+ㄴ/ETM
곤	곤/NNP
회장은	회장/NNG+은/JX
하루	하루/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
20일	20/SN+일/NNB
르노삼성	르노삼성/NNP
부산공장과	부산/NNP+공장/NNG+과/JC
경기도	경기도/NNP
기흥연구소를	기흥/NNP+연구소/NNG+를/JKO
돌아본	돌아보/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
서울	서울/NNP
63빌딩	63빌딩/NNP
컨벤션센터에서	컨벤션/NNG+센터/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.34.5.2
곤 회장은 이 자리에서 현재 일본에서 생산하고 있는 닛산의 소형 스포츠실용차(SUV) ‘로그’를 2014년부터 부산공장에서 연 8만대가량 생산하겠다고 밝혔다.

곤	곤/NNP
회장은	회장/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
현재	현재/MAG
일본에서	일본/NNP+에서/JKB
생산하고	생산/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
닛산의	닛산/NNP+의/JKG
소형	소형/NNG
스포츠실용차(SUV)	스포츠/NNG+실용/NNG+차/NNG+(/SS+SUV/SL+)/SS
‘로그’를	‘/SS+로그/NNP+’/SS+를/JKO
2014년부터	2014/SN+년/NNB+부터/JX
부산공장에서	부산/NNP+공장/NNG+에서/JKB
연	연/NNG
8만대가량	8/SN+만/NR+대/NNB+가량/XSN
생산하겠다고	생산/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.34.6.1
그는 “부산공장에서 생산될 로그는 전량 수출되고, 판매시장은 미국을 포함한 북미 대륙”이라고 말했다.

그는	그/NP+는/JX
“부산공장에서	“/SS+부산/NNP+공장/NNG+에서/JKB
생산될	생산/NNG+되/XSV+ㄹ/ETM
로그는	로그/NNP+는/JX
전량	전량/NNG
수출되고,	수출/NNG+되/XSV+고/EC+,/SP
판매시장은	판매/NNG+시장/NNG+은/JX
미국을	미국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
북미	북미/NNP
대륙”이라고	대륙/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.34.6.2
애초 닛산은 미국 현지 공장 증설을 검토했지만 부산공장의 유휴 설비를 이용하는 쪽으로 방향을 선회한 것으로 알려졌다.

애초	애초/NNG
닛산은	닛산/NNP+은/JX
미국	미국/NNP
현지	현지/NNG
공장	공장/NNG
증설을	증설/NNG+을/JKO
검토했지만	검토/NNG+하/XSV+았/EP+지만/EC
부산공장의	부산/NNP+공장/NNG+의/JKG
유휴	유휴/NNG
설비를	설비/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
방향을	방향/NNG+을/JKO
선회한	선회/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.34.7.1
르노-닛산은 로그의 부산공장 생산을 지원하기 위해 2014년까지 모두 1억6000만달러(약 1800억원)를 투자하기로 했다.

르노-닛산은	르노-닛산/NNP+은/JX
로그의	로그/NNP+의/JKG
부산공장	부산/NNP+공장/NNG
생산을	생산/NNG+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2014년까지	2014/SN+년/NNB+까지/JX
모두	모두/MAG
1억6000만달러(약	1/SN+억/NR+6000/SN+만/NR+달러/NNB+(/SS+약/MMA
1800억원)를	1800/SN+억/NR+원/NNB+)/SS+를/JKO
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.34.7.2
주로 부산공장 라인 정비와 로그에 들어갈 부품망 구축과 관련된 용도로 쓰인다.

주로	주로/MAG
부산공장	부산/NNP+공장/NNG
라인	라인/NNG
정비와	정비/NNG+와/JC
로그에	로그/NNP+에/JKB
들어갈	들어가/VV+ㄹ/ETM
부품망	부품/NNG+망/NNG
구축과	구축/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
용도로	용도/NNG+로/JKB
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.34.8.1
업계와 전문가들은 곤 회장의 지원책이 응급조치 수준일 뿐 본질적 해법은 아니라는 반응을 보였다.

업계와	업계/NNG+와/JC
전문가들은	전문가/NNG+들/XSN+은/JX
곤	곤/NNP
회장의	회장/NNG+의/JKG
지원책이	지원책/NNG+이/JKS
응급조치	응급조치/NNG
수준일	수준/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
본질적	본질/NNG+적/XSN
해법은	해법/NNG+은/JX
아니라는	아니/VCN+라는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.34.8.2
곤 회장은 기자간담회 내내 르노삼성이 르노-닛산그룹에서 차지하는 생산 거점으로서의 가능성에 대해선 강조했지만, 설비 증설에 대해선 “계획 없다”고 잘라 말했다.

곤	곤/NNP
회장은	회장/NNG+은/JX
기자간담회	기자/NNG+간담회/NNG
내내	내내/MAG
르노삼성이	르노삼성/NNP+이/JKS
르노-닛산그룹에서	르노-닛산그룹/NNP+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
생산	생산/NNG
거점으로서의	거점/NNG+으로서/JKB+의/JKG
가능성에	가능/NNG+성/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
강조했지만,	강조/NNG+하/XSV+았/EP+지만/EC+,/SP
설비	설비/NNG
증설에	증설/NNG+에/JKB
“계획	“/SS+계획/NNG
없다”고	없/VA+다/EF+”/SS+고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.34.9.1
부산공장의 연간 생산능력은 30만대인데, 지난해 실제 생산량은 24만대 수준에 그쳤다.

부산공장의	부산/NNP+공장/NNG+의/JKG
연간	연간/NNG
생산능력은	생산/NNG+능력/NNG+은/JX
30만대인데,	30/SN+만/NR+대/NNB+이/VCP+ㄴ데/EC+,/SP
지난해	지난해/NNG
실제	실제/NNG
생산량은	생산량/NNG+은/JX
24만대	24/SN+만/NR+대/NNB
수준에	수준/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.34.9.2
올해엔 18만대 안팎으로 추정되고 있다.

올해엔	올해/NNG+에/JKB+ㄴ/JX
18만대	18/SN+만/NR+대/NNB
안팎으로	안팎/NNG+으로/JKB
추정되고	추정/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.34.9.3
결국 로그 8만대 물량은 부산공장 가동률을 정상 수준으로 끌어올리는 정도 의미인 셈이다.

결국	결국/MAG
로그	로그/NNP
8만대	8/SN+만/NR+대/NNB
물량은	물량/NNG+은/JX
부산공장	부산/NNP+공장/NNG
가동률을	가동/NNG+률/XSN+을/JKO
정상	정상/NNG
수준으로	수준/NNG+으로/JKB
끌어올리는	끌어올리/VV+는/ETM
정도	정도/NNG
의미인	의미/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.34.10.1
김필수 대림대 교수(자동차학)는 “내수시장에서 르노삼성의 경쟁력 강화 방안이 포함되지 않았다”며 “르노삼성의 자체 연구·개발 기능은 줄어들고 단순 생산거점으로 전락하는 것 같다”고 말했다.

김필수	김필수/NNP
대림대	대림대/NNP
교수(자동차학)는	교수/NNG+(/SS+자동차학/NNG+)/SS+는/JX
“내수시장에서	“/SS+내수/NNG+시장/NNG+에서/JKB
르노삼성의	르노삼성/NNP+의/JKG
경쟁력	경쟁력/NNG
강화	강화/NNG
방안이	방안/NNG+이/JKS
포함되지	포함/NNG+되/XSV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
“르노삼성의	“/SS+르노삼성/NNP+의/JKG
자체	자체/NNG
연구·개발	연구/NNG+·/SP+개발/NNG
