# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.134
metadata : {}


# id : NWRW1800000025.134.1.1
“심리상담, 이젠 선택 아닌 필수입니다”

“심리상담,	“/SS+심리/NNG+상담/NNG+,/SP
이젠	이제/NNG+ㄴ/JX
선택	선택/NNG
아닌	아니/VCN+ㄴ/ETM
필수입니다”	필수/NNG+이/VCP+ㅂ니다/EF+”/SS


# id : NWRW1800000025.134.2.1
수도권 구단의 한 포수는 몇 년 전부터 불면증을 달고 산다.

수도권	수도/NNG+권/XSN
구단의	구단/NNG+의/JKG
한	한/MMN
포수는	포수/NNG+는/JX
몇	몇/NR
년	년/NNB
전부터	전/NNG+부터/JX
불면증을	불면증/NNG+을/JKO
달고	달/VV+고/EC
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.134.2.2
자신이 요구한 공이 빌미가 돼 팀이 진 날이면 뜬눈으로 밤을 새우기 일쑤다.

자신이	자신/NNG+이/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
공이	공/NNG+이/JKS
빌미가	빌미/NNG+가/JKC
돼	되/VV+어/EC
팀이	팀/NNG+이/JKS
진	지/VV+ㄴ/ETM
날이면	날/NNG+이/VCP+면/EC
뜬눈으로	뜬눈/NNG+으로/JKB
밤을	밤/NNG+을/JKO
새우기	새우/VV+기/ETN
일쑤다.	일쑤/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.134.2.3
처음엔 수면제 한두 알이면 잠을 이룰 수 있었지만 요즘은 점점 양이 늘어나 걱정이다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
수면제	수면제/NNG
한두	한두/MMN
알이면	알/NNB+이/VCP+면/EC
잠을	잠/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있었지만	있/VA+었/EP+지만/EC
요즘은	요즘/NNG+은/JX
점점	점점/MAG
양이	양/NNG+이/JKS
늘어나	늘어나/VV+아/EC
걱정이다.	걱정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.134.3.1
지방 구단의 한 신인급 투수는 완벽주의 성향 때문에 힘들 때가 많다.

지방	지방/NNG
구단의	구단/NNG+의/JKG
한	한/MMN
신인급	신인급/NNG
투수는	투수/NNG+는/JX
완벽주의	완벽주의/NNG
성향	성향/NNG
때문에	때문/NNB+에/JKB
힘들	힘들/VA+ㄹ/ETM
때가	때/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000025.134.3.2
투구 내용이 마음에 들지 않으면 며칠 동안 기분이 언짢다.

투구	투구/NNG
내용이	내용/NNG+이/JKS
마음에	마음/NNG+에/JKB
들지	들/VV+지/EC
않으면	않/VX+으면/EC
며칠	며칠/NNG
동안	동안/NNG
기분이	기분/NNG+이/JKS
언짢다.	언짢/VA+다/EF+./SF


# id : NWRW1800000025.134.3.3
더 잘하려고 노력할수록 이상하게 몸은 더 말을 듣지 않는 것 같다.

더	더/MAG
