# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.430
metadata : {}


# id : NWRW1800000048.430.1.1
선거구획정위 “법정 기한인 13일까지 결론”

선거구획정위	선거구/NNG+획정위/NNG
“법정	“/SS+법정/NNG
기한인	기한/NNG+이/VCP+ㄴ/ETM
13일까지	13/SN+일/NNB+까지/JX
결론”	결론/NNG+”/SS


# id : NWRW1800000048.430.2.1
여야 원내대표 오늘 만나

여야	여야/NNG
원내대표	원내/NNG+대표/NNG
오늘	오늘/NNG
만나	만나/VV+아/EF


# id : NWRW1800000048.430.3.1
지역-비례 의석비율 등 논의

지역-비례	지역/NNG+-/SO+비례/NNG
의석비율	의석/NNG+비율/NNG
등	등/NNB
논의	논의/NNG


# id : NWRW1800000048.430.4.1
지난 2일 내년 20대 총선에 적용할 지역구 의석수 단일안 마련에 실패한 중앙선거관리위원회 산하 선거구획정위원회가 이번주 초 임시회의를 소집해 법정 기한인 오는 13일까지 단일 획정안을 제출하겠다고 밝혔다.

지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
내년	내년/NNG
20대	20/SN+대/NNB
총선에	총선/NNG+에/JKB
적용할	적용/NNG+하/XSV+ㄹ/ETM
지역구	지역구/NNG
의석수	의석수/NNG
단일안	단일안/NNG
마련에	마련/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
중앙선거관리위원회	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG
산하	산하/NNG
선거구획정위원회가	선거구/NNG+획정/NNG+위원회/NNG+가/JKS
이번주	이번/NNG+주/NNG
초	초/NNB
임시회의를	임시/NNG+회의/NNG+를/JKO
소집해	소집/NNG+하/XSV+아/EC
법정	법정/NNG
기한인	기한/NNG+이/VCP+ㄴ/ETM
오는	오/VV+는/ETM
13일까지	13/SN+일/NNB+까지/JX
단일	단일/NNG
획정안을	획정/NNG+안/NNG+을/JKO
제출하겠다고	제출/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.430.4.2
획정위는 이 과정에서 현재 법으로 금지돼 있는 자치구·시·군 분할을 예외적으로 허용하는 방안을 집중적으로 논의할 방침이어서 논란이 예상된다.

획정위는	획정위/NNG+는/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
현재	현재/MAG
법으로	법/NNG+으로/JKB
금지돼	금지/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
자치구·시·군	자치구/NNG+·/SP+시/NNG+·/SP+군/NNG
분할을	분할/NNG+을/JKO
예외적으로	예외/NNG+적/XSN+으로/JKB
허용하는	허용/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
논의할	논의/NNG+하/XSV+ㄹ/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.430.5.1
획정위는 4일 “선거사상 첫 독립기구로 출범한 획정위가 역사적 소임을 다하기 위한 출발점이 법정기한 준수”라며 “이번 주 초라도 임시회의를 소집해 오는 13일로 예정된 제출기한은 반드시 지키겠다”고 밝혔다.

획정위는	획정위/NNG+는/JX
4일	4/SN+일/NNB
“선거사상	“/SS+선거사/NNG+상/XSN
첫	첫/MMN
독립기구로	독립/NNG+기구/NNG+로/JKB
출범한	출범/NNG+하/XSV+ㄴ/ETM
획정위가	획정위/NNG+가/JKS
역사적	역사/NNG+적/XSN
소임을	소임/NNG+을/JKO
다하기	다/MAG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
출발점이	출발점/NNG+이/JKS
법정기한	법정/NNG+기한/NNG
준수”라며	준수/NNG+”/SS+이/VCP+라며/EC
“이번	“/SS+이번/NNG
주	주/NNG
초라도	초/NNB+라도/JX
임시회의를	임시/NNG+회의/NNG+를/JKO
