# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.381
metadata : {}


# id : NWRW1800000030.381.1.1
[수도권Ⅲ] 과잉행동장애 검사 초교 4학년까지 확대

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
과잉행동장애	과잉/NNG+행동/NNG+장애/NNG
검사	검사/NNG
초교	초교/NNG
4학년까지	4/SN+학년/NNG+까지/JX
확대	확대/NNG


# id : NWRW1800000030.381.2.1
•용인시 조기 치료 나서

•용인시	•/SW+용인시/NNP
조기	조기/NNG
치료	치료/NNG
나서	나서/VV+어/EF


# id : NWRW1800000030.381.3.1
아동들에게 나타나는 대표적인 정신질환으로 주의력결핍과잉행동장애(ADHD)와 소아우울증이 대두되고 있다.

아동들에게	아동/NNG+들/XSN+에게/JKB
나타나는	나타나/VV+는/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
정신질환으로	정신/NNG+질환/NNG+으로/JKB
주의력결핍과잉행동장애(ADHD)와	주의력/NNG+결핍/NNG+과잉/NNG+행동/NNG+장애/NNG+(/SS+ADHD/SL+)/SS+와/JC
소아우울증이	소아/NNG+우울증/NNG+이/JKS
대두되고	대두/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.381.3.2
ADHD는 발병률이 3~8%로 국내에선 26만명 정도가 ADHD 아동으로 추정되고 있지만 진료받는 경우는 약 10%에도 미치지 못할 정도로 병에 대한 인식이 매우 부족한 상황이다.

ADHD는	ADHD/SL+는/JX
발병률이	발병/NNG+률/XSN+이/JKS
3~8%로	3/SN+~/SO+8/SN+%/SW+로/JKB
국내에선	국내/NNG+에서/JKB+ㄴ/JX
26만명	26/SN+만/NR+명/NNB
정도가	정도/NNG+가/JKS
ADHD	ADHD/SL
아동으로	아동/NNG+으로/JKB
추정되고	추정/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
진료받는	진료/NNG+받/XSV+는/ETM
경우는	경우/NNG+는/JX
약	약/MMA
10%에도	10/SN+%/SW+에/JKB+도/JX
미치지	미치/VV+지/EC
못할	못하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
병에	병/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
매우	매우/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.381.3.3
전문가들은 "ADHD는 진단이 늦어질수록 치료가 어렵고 70% 이상이 청소년기, 50~65%는 성인기까지 이어지는 질환으로 조기 발견과 치료가 매우 중요하다"고 말하고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
"ADHD는	"/SS+ADHD/SL+는/JX
진단이	진단/NNG+이/JKS
늦어질수록	늦어지/VV+ㄹ수록/EC
치료가	치료/NNG+가/JKS
어렵고	어렵/VA+고/EC
70%	70/SN+%/SW
이상이	이상/NNG+이/JKS
청소년기,	청소년기/NNG+,/SP
50~65%는	50/SN+~/SO+65/SN+%/SW+는/JX
성인기까지	성인기/NNG+까지/JX
이어지는	이어지/VV+는/ETM
질환으로	질환/NNG+으로/JKB
조기	조기/NNG
발견과	발견/NNG+과/JC
매우	매우/MAG
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말하고	말/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.381.3.4
소아우울증 역시 발병률이 2%(7~12세 아동)이나 발견이 어려운 경우가 많다고 한다.

소아우울증	소아/NNG+우울증/NNG
역시	역시/MAG
발병률이	발병/NNG+률/XSN+이/JKS
2%(7~12세	2/SN+%/SW+(/SS+7/SN+~/SO+12/SN+세/NNB
아동)이나	아동/NNG+)/SS+이나/JC
발견이	발견/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다고	많/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.381.4.1
이에 따라 용인시정신보건센터와 용인교육지원청은 13일 "4월부터 학생 정서·행동발달 검사를 확대 실시해 ADHD와 소아우울증 고위험군 학생을 조기에 발견하고 치료를 돕겠다"고 밝혔다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
용인시정신보건센터와	용인시정신보건센터/NNP+와/JC
