# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.215
metadata : {}


# id : NWRW1800000041.215.1.1
“獨 가전전시회 기간 매장 세탁기 파손”… 삼성전자, LG전자 사장 檢 수사의뢰

“獨	“/SS+獨/SH
가전전시회	가전/NNG+전시회/NNG
기간	기간/NNG
매장	매장/NNG
세탁기	세탁기/NNG
파손”…	파손/NNG+”/SS+…/SE
삼성전자,	삼성전자/NNP+,/SP
LG전자	LG전자/NNP
사장	사장/NNG
檢	檢/SH
수사의뢰	수사/NNG+의뢰/NNG


# id : NWRW1800000041.215.2.1
“도어 연결부분 파손 CCTV 확인”, LG측 “고의성 없어… 제품 문제 탓”

“도어	“/SS+도어/NNG
연결부분	연결/NNG+부분/NNG
파손	파손/NNG
CCTV	CCTV/SL
확인”,	확인/NNG+”/SS+,/SP
LG측	LG/SL+측/NNB
“고의성	“/SS+고의/NNG+성/XSN
없어…	없/VA+어/EF+…/SE
제품	제품/NNG
문제	문제/NNG
탓”	탓/NNG+”/SS


# id : NWRW1800000041.215.3.1
삼성전자가 이달 초 독일 베를린에서 열린 ‘가전전시회(IFA) 2014’ 기간에 현지 전자제품 매장에서 자사(自社) 세탁기를 파손시킨 혐의(업무방해, 명예훼손, 재물손괴 등)로 조성진 LG전자 홈어플라이언스(HA) 사업본부장(사장·사진) 등 10명에 대한 수사를 서울중앙지검에 의뢰했다고 14일 밝혔다.

삼성전자가	삼성전자/NNP+가/JKS
이달	이달/NNG
초	초/NNB
독일	독일/NNP
베를린에서	베를린/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘가전전시회(IFA)	‘/SS+가전/NNG+전시회/NNG+(/SS+IFA/SL+)/SS
2014’	2014/SN+’/SS
기간에	기간/NNG+에/JKB
현지	현지/NNG
전자제품	전자/NNG+제품/NNG
매장에서	매장/NNG+에서/JKB
자사(自社)	자사/NNG+(/SS+自社/SH+)/SS
세탁기를	세탁기/NNG+를/JKO
파손시킨	파손/NNG+시키/XSV+ㄴ/ETM
혐의(업무방해,	혐의/NNG+(/SS+업무/NNG+방해/NNG+,/SP
명예훼손,	명예/NNG+훼손/NNG+,/SP
재물손괴	재물/NNG+손괴/NNG
등)로	등/NNB+)/SS+로/JKB
조성진	조성진/NNP
LG전자	LG전자/NNP
홈어플라이언스(HA)	홈어플라이언스/NNG+(/SS+HA/SL+)/SS
사업본부장(사장·사진)	사업/NNG+본부장/NNG+(/SS+사장/NNG+·/SP+사진/NNG+)/SS
등	등/NNB
10명에	10/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
수사를	수사/NNG+를/JKO
서울중앙지검에	서울중앙지검/NNP+에/JKB
의뢰했다고	의뢰/NNG+하/XSV+았/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.215.4.1
삼성전자는 조 사장이 3일(현지 시간) 오전 10시 반경 베를린에 있는 자투른 슈테글리츠 매장에서 ‘삼성 크리스탈 블루 세탁기’ 도어를 힘껏 눌러서 파손시켰다고 설명했다.

삼성전자는	삼성전자/NNP+는/JX
조	조/NNP
사장이	사장/NNG+이/JKS
3일(현지	3/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
오전	오전/NNG
10시	10/SN+시/NNB
반경	반/NNG+경/XSN
베를린에	베를린/NNP+에/JKB
있는	있/VA+는/ETM
자투른	자투른/NNP
슈테글리츠	슈테글리츠/NNP
매장에서	매장/NNG+에서/JKB
‘삼성	‘/SS+삼성/NNP
크리스탈	크리스탈/NNP
블루	블루/NNP
세탁기’	세탁기/NNG+’/SS
도어를	도어/NNG+를/JKO
힘껏	힘껏/MAG
눌러서	누르/VV+어서/EC
파손시켰다고	파손/NNG+시키/XSV+었/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.215.4.2
삼성전자 관계자는 “이날 오후 12시 반경 조모 LG전자 상무가 자투른 유로파센터 매장에서 삼성 세탁기를 파손한 것과 관련해 다른 매장 상황을 조사하다 이런 사실을 알게 됐다”고 말했다.

삼성전자	삼성전자/NNP
관계자는	관계자/NNG+는/JX
“이날	“/SS+이날/NNG
오후	오후/NNG
12시	12/SN+시/NNB
반경	반/NNG+경/XSN
조모	조/NNP+모/NP
LG전자	LG전자/NNP
상무가	상무/NNG+가/JKS
자투른	자투른/NNP
유로파센터	유로파/NNG+센터/NNG
매장에서	매장/NNG+에서/JKB
삼성	삼성/NNP
세탁기를	세탁기/NNG+를/JKO
파손한	파손/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
다른	다른/MMD
매장	매장/NNG
상황을	상황/NNG+을/JKO
조사하다	조사/NNG+하/XSV+다/EC
이런	이런/MMD
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.215.5.1
슈테글리츠 매장에서 조 상무가 파손한 것과 똑같은 형태로 훼손된 크리스탈 블루 세탁기 3대를 발견해 매장 측 협조를 얻어 폐쇄회로(CC) TV를 확인한 결과 이 중 한 대를 조 사장이 손상시키는 모습이 찍혔다는 것이 삼성전자 측의 설명이다.

슈테글리츠	슈테글리츠/NNP
매장에서	매장/NNG+에서/JKB
조	조/NNP
상무가	상무/NNG+가/JKS
파손한	파손/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
똑같은	똑같/VA+은/ETM
형태로	형태/NNG+로/JKB
훼손된	훼손/NNG+되/XSV+ㄴ/ETM
크리스탈	크리스탈/NNP
블루	블루/NNP
세탁기	세탁기/NNG
3대를	3/SN+대/NNB+를/JKO
발견해	발견/NNG+하/XSV+아/EC
매장	매장/NNG
측	측/NNB
협조를	협조/NNG+를/JKO
얻어	얻/VV+어/EC
폐쇄회로(CC)	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS
