# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.176
metadata : {}


# id : NWRW1800000024.176.1.1
녹색바람 타고 친환경제품 잘나가네~

녹색바람	녹색/NNG+바람/NNG
타고	타/VV+고/EC
친환경제품	친/XPN+환경/NNG+제품/NNG
잘나가네~	잘나가/VV+네/EF+~/SO


# id : NWRW1800000024.176.2.1
소비자들 사이에서 이산화탄소 배출 등을 줄일 수 있는 친환경 소비에 대한 관심이 높아지고 있다.

소비자들	소비자/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
이산화탄소	이산화/NNG+탄소/NNG
배출	배출/NNG
등을	등/NNB+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
친환경	친/XPN+환경/NNG
소비에	소비/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.176.2.2
이런 소비 경향을 좇아 유통업체들은 친환경 마케팅에 적극적으로 뛰어들고 있다.

이런	이런/MMD
소비	소비/NNG
경향을	경향/NNG+을/JKO
좇아	좇/VV+아/EC
유통업체들은	유통업체/NNG+들/XSN+은/JX
친환경	친/XPN+환경/NNG
마케팅에	마케팅/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
뛰어들고	뛰어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.176.2.3
과거 선언적으로 ‘친환경 기업’임을 알리는 데 그쳤던 유통업체들은 소비자들이 자연스럽게 친환경 소비에 동참할 수 있도록 다양한 제도와 서비스 등을 마련하고 있다.

과거	과거/NNG
선언적으로	선언/NNG+적/XSN+으로/JKB
‘친환경	‘/SS+친/XPN+환경/NNG
기업’임을	기업/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
알리는	알리/VV+는/ETM
데	데/NNB
그쳤던	그치/VV+었/EP+던/ETM
유통업체들은	유통업체/NNG+들/XSN+은/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
자연스럽게	자연/NNG+스럽/XSA+게/EC
친환경	친/XPN+환경/NNG
소비에	소비/NNG+에/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
제도와	제도/NNG+와/JC
서비스	서비스/NNG
등을	등/NNB+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.176.3.1
롯데백화점 본점 8층에는 친환경 제품을 파는 ‘에코숍’(Eco-shop)이 있다.

롯데백화점	롯데백화점/NNP
본점	본점/NNG
8층에는	8/SN+층/NNG+에/JKB+는/JX
친환경	친/XPN+환경/NNG
제품을	제품/NNG+을/JKO
파는	팔/VV+는/ETM
‘에코숍’(Eco-shop)이	‘/SS+에코숍/NNP+’/SS+(/SS+Eco/SL+-/SO+shop/SL+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.176.3.2
이곳에서는 친환경 소재로 만든 문구류와 인형 등을 판다.

이곳에서는	이곳/NP+에서/JKB+는/JX
친환경	친/XPN+환경/NNG
소재로	소재/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
문구류와	문구/NNG+류/XSN+와/JC
인형	인형/NNG
등을	등/NNB+을/JKO
판다.	팔/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.176.3.3
값은 좀 비싼 편이지만, 매출은 꾸준히 증가하고 있다.

값은	값/NNG+은/JX
좀	좀/MAG
비싼	비싸/VA+ㄴ/ETM
편이지만,	편/NNB+이/VCP+지만/EC+,/SP
매출은	매출/NNG+은/JX
꾸준히	꾸준히/MAG
증가하고	증가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.176.3.4
경기침체로 최근 백화점 의류부문 매출이 감소세에 있는 것과 반대다.

경기침체로	경기/NNG+침체/NNG+로/JKB
최근	최근/MAG
백화점	백화점/NNG
의류부문	의류/NNG+부문/NNG
매출이	매출/NNG+이/JKS
감소세에	감소세/NNG+에/JKB
있는	있/VA+는/ETM
것과	것/NNB+과/JKB
반대다.	반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.176.3.5
올해 1~4월 에코숍의 매출은 지난해 같은 기간보다 8% 증가했다.

올해	올해/NNG
1~4월	1/SN+~/SO+4/SN+월/NNB
에코숍의	에코숍/NNG+의/JKG
매출은	매출/NNG+은/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
8%	8/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.176.4.1
이런 성장세는 주기적으로 이곳을 찾는 소비자들이 많아졌기 때문이라는 게 롯데백화점 관계자의 설명이다.

이런	이런/MMD
성장세는	성장세/NNG+는/JX
주기적으로	주기/NNG+적/XSN+으로/JKB
이곳을	이곳/NP+을/JKO
찾는	찾/VV+는/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
많아졌기	많아지/VV+었/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
롯데백화점	롯데백화점/NNP
관계자의	관계자/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.176.4.2
26일 에코숍을 찾은 김지민(35)씨는 “아이들이 쓰는 공책을 사려고 들렀다”며 “큰일은 아니지만 아이들에게 안전한 제품을 사주면서도 조금이나마 환경을 생각하는 소비를 할 수 있다는 점이 이곳을 꾸준히 찾게 되는 이유”라고 말했다.

26일	26/SN+일/NNB
에코숍을	에코숍/NNG+을/JKO
찾은	찾/VV+은/ETM
김지민(35)씨는	김지민/NNP+(/SS+35/SN+)/SS+씨/NNB+는/JX
“아이들이	“/SS+아이/NNG+들/XSN+이/JKS
쓰는	쓰/VV+는/ETM
공책을	공책/NNG+을/JKO
사려고	사/VV+려고/EC
들렀다”며	들르/VV+었/EP+다/EF+”/SS+며/EC
“큰일은	“/SS+큰일/NNG+은/JX
아니지만	아니/VCN+지만/EC
아이들에게	아이/NNG+들/XSN+에게/JKB
안전한	안전/NNG+하/XSA+ㄴ/ETM
제품을	제품/NNG+을/JKO
사주면서도	사/VV+아/EC+주/VX+면서/EC+도/JX
조금이나마	조금/NNG+이나마/JX
환경을	환경/NNG+을/JKO
생각하는	생각/NNG+하/XSV+는/ETM
소비를	소비/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점이	점/NNG+이/JKS
이곳을	이곳/NP+을/JKO
꾸준히	꾸준히/MAG
찾게	찾/VV+게/EC
되는	되/VV+는/ETM
이유”라고	이유/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.176.4.3
이처럼 소비자들의 호응이 이어지자 롯데백화점 쪽은 에코숍을 더 열 계획이다.

이처럼	이/NP+처럼/JKB
소비자들의	소비자/NNG+들/XSN+의/JKG
호응이	호응/NNG+이/JKS
이어지자	이어지/VV+자/EC
롯데백화점	롯데백화점/NNP
쪽은	쪽/NNB+은/JX
에코숍을	에코숍/NNG+을/JKO
더	더/MAG
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.176.4.4
롯데백화점 사회공헌담당 박상호 매니저는 “현재 본점에만 운영하고 있는 ‘에코숍’을 올해 말까지 수도권 2~3개 점포로 확대할 예정”이라고 말했다.

롯데백화점	롯데백화점/NNP
사회공헌담당	사회/NNG+공헌/NNG+담당/NNG
박상호	박상호/NNP
매니저는	매니저/NNG+는/JX
“현재	“/SS+현재/MAG
본점에만	본점/NNG+에/JKB+만/JX
운영하고	운영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘에코숍’을	‘/SS+에코숍/NNP+’/SS+을/JKO
올해	올해/NNG
말까지	말/NNB+까지/JX
수도권	수도/NNG+권/XSN
2~3개	2/SN+~/SO+3/SN+개/NNB
점포로	점포/NNG+로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF
