# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.179
metadata : {}


# id : NWRW1800000046.179.1.1
위안부·천안함·연평도 포격사건, 高校 한국사 교과서에 서술 강화

위안부·천안함·연평도	위안부/NNG+·/SP+천안함/NNP+·/SP+연평도/NNP
포격사건,	포격/NNG+사건/NNG+,/SP
高校	高校/SH
한국사	한국사/NNG
교과서에	교과서/NNG+에/JKB
서술	서술/NNG
강화	강화/NNG


# id : NWRW1800000046.179.2.1
국사편찬委 공청회 열어… 이르면 2017년부터 시행

국사편찬委	국사/NNG+편찬/NNG+委/SH
공청회	공청회/NNG
열어…	열/VV+어/EF+…/SE
이르면	이르/VA+면/EC
2017년부터	2017/SN+년/NNB+부터/JX
시행	시행/NNG


# id : NWRW1800000046.179.3.1
이르면 2017년부터 고교 한국사 교과서에 일본군의 위안부 동원, 천안함·연평도 사건 등에 대한 서술이 대폭 강화된다.

이르면	이르/VA+면/EC
2017년부터	2017/SN+년/NNB+부터/JX
고교	고교/NNG
한국사	한국사/NNG
교과서에	교과서/NNG+에/JKB
일본군의	일본군/NNG+의/JKG
위안부	위안부/NNG
동원,	동원/NNG+,/SP
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건	사건/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
서술이	서술/NNG+이/JKS
대폭	대폭/MAG
강화된다.	강화/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.179.3.2
고구려 시대를 다룰 땐 정확한 동아시아 정세를 이해하도록 기술하기로 했다.

고구려	고구려/NNP
시대를	시대/NNG+를/JKO
다룰	다루/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
정확한	정확/NNG+하/XSA+ㄴ/ETM
동아시아	동아시아/NNP
정세를	정세/NNG+를/JKO
이해하도록	이해/NNG+하/XSV+도록/EC
기술하기로	기술/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.4.1
국사편찬위원회는 11일 '역사과 편찬 준거 개발 시안 공청회'를 열고 이 같은 내용이 포함된 고교 한국사 교과서 집필 기준 시안을 공개했다.

국사편찬위원회는	국사/NNG+편찬/NNG+위원회/NNG+는/JX
11일	11/SN+일/NNB
'역사과	'/SS+역사/NNG+과/NNG
편찬	편찬/NNG
준거	준거/NNG
개발	개발/NNG
시안	시안/NNG
공청회'를	공청회/NNG+'/SS+를/JKO
열고	열/VV+고/EC
이	이/MMD
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
고교	고교/NNG
한국사	한국사/NNG
교과서	교과서/NNG
집필	집필/NNG
기준	기준/NNG
시안을	시안/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.4.2
교과서 집필 기준이란 저자들이 교과서 내용을 적을 때 따라야 하는 일종의 '가이드라인'이다.

교과서	교과서/NNG
집필	집필/NNG
기준이란	기준/NNG+이/VCP+란/ETM
저자들이	저자/NNG+들/XSN+이/JKS
내용을	내용/NNG+을/JKO
적을	적/VV+을/ETM
때	때/NNG
따라야	따르/VV+아야/EC
하는	하/VX+는/ETM
일종의	일종/NNG+의/JKG
'가이드라인'이다.	'/SS+가이드라인/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.179.5.1
시안에 따르면 특히 위안부에 대해 '일제가 수많은 여성을 일본군 위안부로 끌고 가 여성 인권을 유린했다는 사실을 명확히 서술하라'고 집필 방향을 정했다.

시안에	시안/NNG+에/JKB
따르면	따르/VV+면/EC
특히	특히/MAG
위안부에	위안부/NNG+에/JKB
대해	대하/VV+아/EC
'일제가	'/SS+일제/NNG+가/JKS
수많은	수많/VA+은/ETM
여성을	여성/NNG+을/JKO
일본군	일본군/NNG
위안부로	위안부/NNG+로/JKB
끌고	끌/VV+고/EC
가	가/VV+아/EC
여성	여성/NNG
인권을	인권/NNG+을/JKO
유린했다는	유린/NNG+하/XSV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
명확히	명확히/MAG
서술하라'고	서술/NNG+하/XSV+라/EF+'/SS+고/JKQ
집필	집필/NNG
방향을	방향/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.5.2
또 국제기구와 세계 각국이 위안부 문제를 전쟁 범죄로 규정하고 있다는 점에 유의하고, 일본 관헌에 강제로 끌려간 사례를 소개하라고 명시했다.

또	또/MAG
국제기구와	국제기구/NNG+와/JKB
세계	세계/NNG
각국이	각국/NNG+이/JKS
위안부	위안부/NNG
문제를	문제/NNG+를/JKO
전쟁	전쟁/NNG
범죄로	범죄/NNG+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점에	점/NNG+에/JKB
유의하고,	유의/NNG+하/XSV+고/EC+,/SP
일본	일본/NNP
관헌에	관헌/NNG+에/JKB
강제로	강제/NNG+로/JKB
끌려간	끌려가/VV+ㄴ/ETM
사례를	사례/NNG+를/JKO
소개하라고	소개/NNG+하/XSV+라고/EC
명시했다.	명시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.5.3
독도·간도에 대해서도 명확히 기술토록 했다.

독도·간도에	독도/NNP+·/SP+간도/NNP+에/JKB
대해서도	대하/VV+아서/EC+도/JX
명확히	명확히/MAG
기술토록	기술/NNG+하/XSV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.5.4
예컨대 독도에 대해선 '우리의 고유한 영토라는 사실을 설명하라'고 하고, 간도에 대해선 '일제가 자국의 이익을 앞세워 간도협약을 체결했다는 점에 유의하라'고 시안을 정했다.

예컨대	예컨대/MAG
독도에	독도/NNP+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
'우리의	'/SS+우리/NP+의/JKG
고유한	고유/NNG+하/XSA+ㄴ/ETM
영토라는	영토/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
설명하라'고	설명/NNG+하/XSV+라/EF+'/SS+고/JKQ
하고,	하/VV+고/EC+,/SP
간도에	간도/NNP+에/JKB
'일제가	'/SS+일제/NNG+가/JKS
자국의	자국/NNG+의/JKG
이익을	이익/NNG+을/JKO
앞세워	앞세우/VV+어/EC
간도협약을	간도/NNP+협약/NNG+을/JKO
체결했다는	체결/NNG+하/XSV+았/EP+다는/ETM
점에	점/NNG+에/JKB
유의하라'고	유의/NNG+하/XSV+라/EF+'/SS+고/JKQ
시안을	시안/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.6.1
또 현대사에선 북한의 3대 세습, 핵 문제와 함께 천안함·연평도 사건 등 최근 북한 동향에 유의하라고 명시했다.

또	또/MAG
현대사에선	현대사/NNG+에서/JKB+ㄴ/JX
북한의	북한/NNP+의/JKG
3대	3/SN+대/NNB
세습,	세습/NNG+,/SP
핵	핵/NNG
문제와	문제/NNG+와/JKB
함께	함께/MAG
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건	사건/NNG
등	등/NNB
최근	최근/MAG
북한	북한/NNP
동향에	동향/NNG+에/JKB
유의하라고	유의/NNG+하/XSV+라고/EC
명시했다.	명시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.179.6.2
현재 천안함·연평도 사건을 모두 소개한 교과서는 고교 한국사 교과서 8종 중 3종뿐인데, 시안이 확정되면 서술이 강화될 전망이다.

현재	현재/MAG
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건을	사건/NNG+을/JKO
모두	모두/MAG
소개한	소개/NNG+하/XSV+ㄴ/ETM
교과서는	교과서/NNG+는/JX
고교	고교/NNG
한국사	한국사/NNG
교과서	교과서/NNG
8종	8/SN+종/NNG
중	중/NNB
3종뿐인데,	3/SN+종/NNG+뿐/JX+이/VCP+ㄴ데/EC+,/SP
시안이	시안/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
서술이	서술/NNG+이/JKS
강화될	강화/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.179.7.1
아울러 1940년대 대한민국 임시정부 활동에 대해 쓸 땐 '한국독립당과 조선민족혁명당이 힘을 합쳐 광복을 준비했다는 데 유의해 내용을 구성하라'고 했다.

아울러	아울러/MAG
1940년대	1940/SN+년대/NNB
대한민국	대한민국/NNP
임시정부	임시/NNG+정부/NNG
활동에	활동/NNG+에/JKB
대해	대하/VV+아/EC
쓸	쓰/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
'한국독립당과	'/SS+한국독립당/NNP+과/JC
조선민족혁명당이	조선민족혁명당/NNP+이/JKS
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
광복을	광복/NNG+을/JKO
